,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,335.0,2000-01-07,27.8268,2000-01-07,3054587200,2000-01-07,18009.48755,2000-01-07,0.0101,2000-01-07,15999.5001,2000-01-07,0.0,2000-01-07,2343.0,2000-01-07,120.0
1,2000-01-14,335.0,2000-01-14,28.089,2000-01-14,3345686400,2000-01-14,18009.48755,2000-01-14,0.0101,2000-01-14,16150.2492,2000-01-14,0.0,2000-01-14,2343.0,2000-01-14,120.0
2,2000-01-21,335.0,2000-01-21,31.1304,2000-01-21,3383374400,2000-01-21,18009.48755,2000-01-21,0.0101,2000-01-21,17898.9382,2000-01-21,0.0,2000-01-21,2343.0,2000-01-21,120.0
3,2000-01-28,335.0,2000-01-28,28.4211,2000-01-28,2068852800,2000-01-28,18009.48755,2000-01-28,0.0101,2000-01-28,16341.198,2000-01-28,0.0,2000-01-28,2343.0,2000-01-28,120.0
4,2000-02-04,335.0,2000-02-04,30.204,2000-02-04,2384424000,2000-02-04,18057.08789,2000-02-04,0.0101,2000-02-04,17412.1919,2000-02-04,0.0,2000-02-04,2343.0,2000-02-04,120.0
5,2000-02-11,335.0,2000-02-11,30.4137,2000-02-11,1664308800,2000-02-11,18057.08789,2000-02-11,0.0101,2000-02-11,17533.1099,2000-02-11,0.0,2000-02-11,2343.0,2000-02-11,120.0
6,2000-02-18,335.0,2000-02-18,31.1129,2000-02-18,1754468800,2000-02-18,18057.08789,2000-02-18,0.0101,2000-02-18,17936.1699,2000-02-18,0.0,2000-02-18,2343.0,2000-02-18,120.0
7,2000-02-25,335.0,2000-02-25,30.8682,2000-02-25,1520971200,2000-02-25,18057.08789,2000-02-25,0.0101,2000-02-25,17795.0989,2000-02-25,0.0,2000-02-25,2343.0,2000-02-25,120.0
8,2000-03-03,335.0,2000-03-03,35.7973,2000-03-03,2408918400,2000-03-03,18057.08789,2000-03-03,0.0101,2000-03-03,20636.6719,2000-03-03,0.0,2000-03-03,2343.0,2000-03-03,120.0
9,2000-03-10,335.0,2000-03-10,35.1681,2000-03-10,1280126400,2000-03-10,18057.08789,2000-03-10,0.0101,2000-03-10,20273.9179,2000-03-10,0.0,2000-03-10,2343.0,2000-03-10,120.0
10,2000-03-17,335.0,2000-03-17,34.9583,2000-03-17,1860096000,2000-03-17,18057.08789,2000-03-17,0.0101,2000-03-17,20152.9999,2000-03-17,0.0,2000-03-17,2343.0,2000-03-17,120.0
11,2000-03-24,335.0,2000-03-24,38.7863,2000-03-24,2306292800,2000-03-24,18057.08789,2000-03-24,0.0101,2000-03-24,22359.7534,2000-03-24,0.0,2000-03-24,2343.0,2000-03-24,120.0
12,2000-03-31,34.0,2000-03-31,37.562,2000-03-31,1541075200,2000-03-31,18057.08789,2000-03-31,0.0129,2000-03-31,21896.2344,2000-03-31,0.0,2000-03-31,1945.0,2000-03-31,191.0
13,2000-04-07,34.0,2000-04-07,36.4384,2000-04-07,1948643200,2000-04-07,18057.08789,2000-04-07,0.0129,2000-04-07,21241.2619,2000-04-07,0.0,2000-04-07,1945.0,2000-04-07,191.0
14,2000-04-14,34.0,2000-04-14,30.9416,2000-04-14,2893060800,2000-04-14,18057.08789,2000-04-14,0.0129,2000-04-14,18036.9349,2000-04-14,0.0,2000-04-14,1945.0,2000-04-14,191.0
15,2000-04-21,34.0,2000-04-21,32.8776,2000-04-21,2042689600,2000-04-21,18057.08789,2000-04-21,0.0129,2000-04-21,19165.5029,2000-04-21,0.0,2000-04-21,1945.0,2000-04-21,191.0
16,2000-04-28,34.0,2000-04-28,34.3123,2000-04-28,1778358400,2000-04-28,18057.08789,2000-04-28,0.0129,2000-04-28,20001.8524,2000-04-28,0.0,2000-04-28,1945.0,2000-04-28,191.0
17,2000-05-05,34.0,2000-05-05,31.2873,2000-05-05,1636017600,2000-05-05,18057.08789,2000-05-05,0.0129,2000-05-05,18238.4649,2000-05-05,0.0,2000-05-05,1945.0,2000-05-05,191.0
18,2000-05-12,34.0,2000-05-12,29.7661,2000-05-12,1853790400,2000-05-12,18220.15918,2000-05-12,0.0129,2000-05-12,17508.4342,2000-05-12,0.0,2000-05-12,1945.0,2000-05-12,191.0
19,2000-05-19,34.0,2000-05-19,25.9978,2000-05-19,2631921600,2000-05-19,18227.29419,2000-05-19,0.0129,2000-05-19,15297.9076,2000-05-19,0.0,2000-05-19,1945.0,2000-05-19,191.0
20,2000-05-26,34.0,2000-05-26,23.889,2000-05-26,2539566400,2000-05-26,18227.29419,2000-05-26,0.0129,2000-05-26,14056.9869,2000-05-26,0.0,2000-05-26,1945.0,2000-05-26,191.0
21,2000-06-02,34.0,2000-06-02,25.6003,2000-06-02,2843254400,2000-06-02,18227.29419,2000-06-02,0.0129,2000-06-02,15063.9636,2000-06-02,0.0,2000-06-02,1945.0,2000-06-02,191.0
22,2000-06-09,34.0,2000-06-09,26.4818,2000-06-09,1677054400,2000-06-09,18227.29419,2000-06-09,0.0129,2000-06-09,15582.7091,2000-06-09,0.0,2000-06-09,1945.0,2000-06-09,191.0
