,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2001-12-14 00:00:00,,2001-12-14 00:00:00,,2001-12-14 00:00:00,46624234.0,2001-12-14 00:00:00,1060.30474,2001-12-14 00:00:00,,2001-12-14 00:00:00,16746.5917,2001-12-14 00:00:00,,2001-12-14 00:00:00,,2001-12-14 00:00:00,
1,2001-12-21 00:00:00,,2001-12-21 00:00:00,,2001-12-21 00:00:00,20789521.0,2001-12-21 00:00:00,1060.30474,2001-12-21 00:00:00,,2001-12-21 00:00:00,17147.8221,2001-12-21 00:00:00,,2001-12-21 00:00:00,,2001-12-21 00:00:00,
2,2001-12-28 00:00:00,,2001-12-28 00:00:00,,2001-12-28 00:00:00,2008807.0,2001-12-28 00:00:00,1060.30474,2001-12-28 00:00:00,,2001-12-28 00:00:00,16994.9725,2001-12-28 00:00:00,,2001-12-28 00:00:00,,2001-12-28 00:00:00,
3,2002-01-04 00:00:00,,2002-01-04 00:00:00,,2002-01-04 00:00:00,4316161.0,2002-01-04 00:00:00,1060.30474,2002-01-04 00:00:00,,2002-01-04 00:00:00,16899.4414,2002-01-04 00:00:00,,2002-01-04 00:00:00,,2002-01-04 00:00:00,
4,2002-01-11 00:00:00,,2002-01-11 00:00:00,,2002-01-11 00:00:00,11296013.0,2002-01-11 00:00:00,1060.30474,2002-01-11 00:00:00,,2002-01-11 00:00:00,17405.7559,2002-01-11 00:00:00,,2002-01-11 00:00:00,,2002-01-11 00:00:00,
5,2002-01-18 00:00:00,,2002-01-18 00:00:00,,2002-01-18 00:00:00,9655807.0,2002-01-18 00:00:00,1060.30474,2002-01-18 00:00:00,,2002-01-18 00:00:00,17768.7739,2002-01-18 00:00:00,,2002-01-18 00:00:00,,2002-01-18 00:00:00,
6,2002-01-25 00:00:00,,2002-01-25 00:00:00,,2002-01-25 00:00:00,10139768.0,2002-01-25 00:00:00,1060.30474,2002-01-25 00:00:00,,2002-01-25 00:00:00,17959.836,2002-01-25 00:00:00,,2002-01-25 00:00:00,,2002-01-25 00:00:00,
7,2002-02-01 00:00:00,,2002-02-01 00:00:00,,2002-02-01 00:00:00,4990732.0,2002-02-01 00:00:00,1060.30474,2002-02-01 00:00:00,,2002-02-01 00:00:00,17692.3491,2002-02-01 00:00:00,,2002-02-01 00:00:00,,2002-02-01 00:00:00,
8,2002-02-08 00:00:00,,2002-02-08 00:00:00,,2002-02-08 00:00:00,5206786.0,2002-02-08 00:00:00,1060.30474,2002-02-08 00:00:00,,2002-02-08 00:00:00,17300.6718,2002-02-08 00:00:00,,2002-02-08 00:00:00,,2002-02-08 00:00:00,
9,2002-02-15 00:00:00,,2002-02-15 00:00:00,,2002-02-15 00:00:00,6483916.0,2002-02-15 00:00:00,1060.30474,2002-02-15 00:00:00,,2002-02-15 00:00:00,18103.1326,2002-02-15 00:00:00,,2002-02-15 00:00:00,,2002-02-15 00:00:00,
10,2002-02-22 00:00:00,,2002-02-22 00:00:00,,2002-02-22 00:00:00,2980807.0,2002-02-22 00:00:00,1060.30474,2002-02-22 00:00:00,,2002-02-22 00:00:00,17673.2429,2002-02-22 00:00:00,,2002-02-22 00:00:00,,2002-02-22 00:00:00,
11,2002-03-01 00:00:00,,2002-03-01 00:00:00,,2002-03-01 00:00:00,2236730.0,2002-03-01 00:00:00,1060.30474,2002-03-01 00:00:00,,2002-03-01 00:00:00,18198.6636,2002-03-01 00:00:00,,2002-03-01 00:00:00,,2002-03-01 00:00:00,
12,2002-03-08 00:00:00,,2002-03-08 00:00:00,,2002-03-08 00:00:00,6200373.0,2002-03-08 00:00:00,1079.06157,2002-03-08 00:00:00,,2002-03-08 00:00:00,18326.1566,2002-03-08 00:00:00,,2002-03-08 00:00:00,,2002-03-08 00:00:00,
13,2002-03-15 00:00:00,,2002-03-15 00:00:00,,2002-03-15 00:00:00,5967113.0,2002-03-15 00:00:00,1079.06157,2002-03-15 00:00:00,,2002-03-15 00:00:00,18666.4301,2002-03-15 00:00:00,,2002-03-15 00:00:00,,2002-03-15 00:00:00,
14,2002-03-22 00:00:00,,2002-03-22 00:00:00,,2002-03-22 00:00:00,13454336.0,2002-03-22 00:00:00,1079.06157,2002-03-22 00:00:00,,2002-03-22 00:00:00,20124.7449,2002-03-22 00:00:00,,2002-03-22 00:00:00,,2002-03-22 00:00:00,
