date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,8916719,2000-01-07,529.96068,2000-01-07,,2000-01-07,14046.9863,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,7622277,2000-01-14,529.96068,2000-01-14,,2000-01-14,14212.8303,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,9324476,2000-01-21,529.96068,2000-01-21,,2000-01-21,12446.5918,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,7632995,2000-01-28,529.96068,2000-01-28,,2000-01-28,13002.1691,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,5379598,2000-02-04,529.96068,2000-02-04,,2000-02-04,13350.4415,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,5345009,2000-02-11,529.96068,2000-02-11,,2000-02-11,12189.5336,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,5670724,2000-02-18,529.96068,2000-02-18,,2000-02-18,11658.8328,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,5885272,2000-02-25,529.96068,2000-02-25,,2000-02-25,12230.9946,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,9538756,2000-03-03,529.96068,2000-03-03,,2000-03-03,11592.4952,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,7039961,2000-03-10,529.96068,2000-03-10,,2000-03-10,11003.749,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,7000758,2000-03-17,529.96068,2000-03-17,,2000-03-17,11799.8002,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,5592798,2000-03-24,529.96068,2000-03-24,,2000-03-24,12206.118,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,6435096,2000-03-31,529.96068,2000-03-31,,2000-03-31,12031.9818,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,5092964,2000-04-07,529.96068,2000-04-07,,2000-04-07,12620.728,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,4938869,2000-04-14,529.96068,2000-04-14,,2000-04-14,12338.7932,2000-04-14,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,2838487,2000-04-21,529.96068,2000-04-21,,2000-04-21,12181.2414,2000-04-21,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,7347288,2000-04-28,529.96068,2000-04-28,,2000-04-28,11874.43,2000-04-28,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,5823976,2000-05-05,529.96068,2000-05-05,,2000-05-05,12139.7804,2000-05-05,,2000-05-05,,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,7718578,2000-05-12,529.96068,2000-05-12,,2000-05-12,11957.352,2000-05-12,,2000-05-12,,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,4706611,2000-05-19,524.98843,2000-05-19,,2000-05-19,12075.1676,2000-05-19,,2000-05-19,,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,9274836,2000-05-26,524.98843,2000-05-26,,2000-05-26,11886.2364,2000-05-26,,2000-05-26,,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,9678759,2000-06-02,529.64496,2000-06-02,,2000-06-02,12472.3258,2000-06-02,,2000-06-02,,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,8856528,2000-06-09,529.64496,2000-06-09,,2000-06-09,11900.5049,2000-06-09,,2000-06-09,,2000-06-09,
2000-06-16,,2000-06-16,,2000-06-16,5191433,2000-06-16,529.6452,2000-06-16,,2000-06-16,12224.5422,2000-06-16,,2000-06-16,,2000-06-16,
2000-06-23,,2000-06-23,,2000-06-23,4361176,2000-06-23,529.69808,2000-06-23,,2000-06-23,11760.8008,2000-06-23,,2000-06-23,,2000-06-23,
2000-06-30,,2000-06-30,,2000-06-30,6070557,2000-06-30,529.72716,2000-06-30,0.5628,2000-06-30,12454.3689,2000-06-30,,2000-06-30,3820.7,2000-06-30,
2000-07-07,,2000-07-07,,2000-07-07,5422856,2000-07-07,529.72716,2000-07-07,0.5628,2000-07-07,12399.6645,2000-07-07,,2000-07-07,3820.7,2000-07-07,
2000-07-14,,2000-07-14,,2000-07-14,2768009,2000-07-14,529.73177,2000-07-14,0.5628,2000-07-14,12126.248,2000-07-14,,2000-07-14,3820.7,2000-07-14,
2000-07-21,,2000-07-21,,2000-07-21,3894448,2000-07-21,529.73177,2000-07-21,0.5628,2000-07-21,12217.4228,2000-07-21,,2000-07-21,3820.7,2000-07-21,
2000-07-28,,2000-07-28,,2000-07-28,6972848,2000-07-28,531.0408,2000-07-28,0.5628,2000-07-28,12293.3135,2000-07-28,,2000-07-28,3820.7,2000-07-28,
2000-08-04,,2000-08-04,,2000-08-04,4061917,2000-08-04,531.0408,2000-08-04,0.5628,2000-08-04,12576.6539,2000-08-04,,2000-08-04,3820.7,2000-08-04,
2000-08-11,,2000-08-11,,2000-08-11,3478342,2000-08-11,531.0408,2000-08-11,0.5628,2000-08-11,12814.2941,2000-08-11,,2000-08-11,3820.7,2000-08-11,
2000-08-18,,2000-08-18,,2000-08-18,3547930,2000-08-18,531.0408,2000-08-18,0.5628,2000-08-18,13125.0545,2000-08-18,,2000-08-18,3820.7,2000-08-18,
2000-08-25,,2000-08-25,,2000-08-25,4241721,2000-08-25,531.0408,2000-08-25,0.5628,2000-08-25,13125.0545,2000-08-25,,2000-08-25,3820.7,2000-08-25,
2000-09-01,,2000-09-01,,2000-09-01,7300838,2000-09-01,531.0408,2000-09-01,0.5628,2000-09-01,13216.4546,2000-09-01,,2000-09-01,3820.7,2000-09-01,
2000-09-08,,2000-09-08,,2000-09-08,9651563,2000-09-08,531.06983,2000-09-08,0.5628,2000-09-08,12659.6061,2000-09-08,,2000-09-08,3820.7,2000-09-08,
2000-09-15,,2000-09-15,,2000-09-15,10275768,2000-09-15,531.06983,2000-09-15,0.5628,2000-09-15,12431.0933,2000-09-15,,2000-09-15,3820.7,2000-09-15,
2000-09-22,,2000-09-22,,2000-09-22,9613292,2000-09-22,531.06983,2000-09-22,0.5628,2000-09-22,12065.4729,2000-09-22,,2000-09-22,3820.7,2000-09-22,
2000-09-29,,2000-09-29,,2000-09-29,5155401,2000-09-29,531.06983,2000-09-29,0.5628,2000-09-29,12147.7375,2000-09-29,,2000-09-29,3820.7,2000-09-29,
2000-10-06,,2000-10-06,,2000-10-06,4896900,2000-10-06,531.06983,2000-10-06,0.5628,2000-10-06,12412.8123,2000-10-06,,2000-10-06,3820.7,2000-10-06,
2000-10-13,,2000-10-13,,2000-10-13,6147738,2000-10-13,531.06983,2000-10-13,0.5628,2000-10-13,12230.0021,2000-10-13,,2000-10-13,3820.7,2000-10-13,
2000-10-20,,2000-10-20,,2000-10-20,4901774,2000-10-20,531.07098,2000-10-20,0.5628,2000-10-20,11699.8779,2000-10-20,,2000-10-20,3820.7,2000-10-20,
2000-10-27,,2000-10-27,,2000-10-27,8721359,2000-10-27,531.07098,2000-10-27,0.5628,2000-10-27,11553.6295,2000-10-27,,2000-10-27,3820.7,2000-10-27,
2000-11-03,,2000-11-03,,2000-11-03,7467390,2000-11-03,531.07161,2000-11-03,0.5628,2000-11-03,12888.1618,2000-11-03,,2000-11-03,3820.7,2000-11-03,
2000-11-10,,2000-11-10,,2000-11-10,5373029,2000-11-10,531.07161,2000-11-10,0.5628,2000-11-10,12915.5835,2000-11-10,,2000-11-10,3820.7,2000-11-10,
2000-11-17,,2000-11-17,,2000-11-17,5103517,2000-11-17,531.10352,2000-11-17,0.5628,2000-11-17,13163.1691,2000-11-17,,2000-11-17,3820.7,2000-11-17,
2000-11-24,,2000-11-24,,2000-11-24,7794078,2000-11-24,531.10472,2000-11-24,0.5628,2000-11-24,13428.2909,2000-11-24,,2000-11-24,3820.7,2000-11-24,
2000-12-01,,2000-12-01,,2000-12-01,15559101,2000-12-01,531.15117,2000-12-01,0.5628,2000-12-01,13758.5742,2000-12-01,,2000-12-01,3820.7,2000-12-01,
2000-12-08,,2000-12-08,,2000-12-08,6911872,2000-12-08,531.16456,2000-12-08,0.5628,2000-12-08,13749.7789,2000-12-08,,2000-12-08,3820.7,2000-12-08,
2000-12-15,,2000-12-15,,2000-12-15,8425499,2000-12-15,531.18548,2000-12-15,0.5628,2000-12-15,14015.453,2000-12-15,,2000-12-15,3820.7,2000-12-15,
2000-12-22,,2000-12-22,,2000-12-22,8372035,2000-12-22,531.18548,2000-12-22,0.5628,2000-12-22,14161.733,2000-12-22,,2000-12-22,3820.7,2000-12-22,
2000-12-29,,2000-12-29,22.0388,2000-12-29,2283322,2000-12-29,531.18548,2000-12-29,0.6781,2000-12-29,14527.433,2000-12-29,,2000-12-29,4278.8,2000-12-29,
2001-01-05,,2001-01-05,21.914,2001-01-05,5620207,2001-01-05,531.21682,2001-01-05,0.6781,2001-01-05,14446.0027,2001-01-05,,2001-01-05,4278.8,2001-01-05,
2001-01-12,,2001-01-12,21.1096,2001-01-12,11472746,2001-01-12,531.22613,2001-01-12,0.6781,2001-01-12,13915.9503,2001-01-12,,2001-01-12,4278.8,2001-01-12,
2001-01-19,,2001-01-19,20.749,2001-01-19,5662039,2001-01-19,531.25171,2001-01-19,0.6781,2001-01-19,13678.8856,2001-01-19,,2001-01-19,4278.8,2001-01-19,
2001-01-26,,2001-01-26,20.0,2001-01-26,8344257,2001-01-26,531.28074,2001-01-26,0.6781,2001-01-26,13185.8497,2001-01-26,,2001-01-26,4278.8,2001-01-26,
2001-02-02,,2001-02-02,19.9723,2001-02-02,10339336,2001-02-02,531.28074,2001-02-02,0.6781,2001-02-02,13167.5614,2001-02-02,,2001-02-02,4278.8,2001-02-02,
2001-02-09,,2001-02-09,20.5687,2001-02-09,7483100,2001-02-09,531.28074,2001-02-09,0.6781,2001-02-09,13560.7594,2001-02-09,,2001-02-09,4278.8,2001-02-09,
2001-02-16,,2001-02-16,21.2483,2001-02-16,5447328,2001-02-16,531.28074,2001-02-16,0.6781,2001-02-16,14008.8223,2001-02-16,,2001-02-16,4278.8,2001-02-16,
2001-02-23,,2001-02-23,20.6796,2001-02-23,6156493,2001-02-23,531.29355,2001-02-23,0.6781,2001-02-23,13634.2413,2001-02-23,,2001-02-23,4278.8,2001-02-23,
2001-03-02,,2001-03-02,21.9001,2001-03-02,16051783,2001-03-02,531.29355,2001-03-02,0.6781,2001-03-02,14438.945,2001-03-02,,2001-03-02,4278.8,2001-03-02,
2001-03-09,,2001-03-09,22.1914,2001-03-09,24734226,2001-03-09,531.35104,2001-03-09,0.6781,2001-03-09,14632.5598,2001-03-09,,2001-03-09,4278.8,2001-03-09,
2001-03-16,,2001-03-16,21.4979,2001-03-16,7612398,2001-03-16,531.45911,2001-03-16,0.6781,2001-03-16,14178.1754,2001-03-16,,2001-03-16,4278.8,2001-03-16,
2001-03-23,,2001-03-23,21.4563,2001-03-23,7753257,2001-03-23,528.19095,2001-03-23,0.6781,2001-03-23,14063.715,2001-03-23,,2001-03-23,4278.8,2001-03-23,
2001-03-30,,2001-03-30,22.1082,2001-03-30,8515590,2001-03-30,528.21475,2001-03-30,0.6781,2001-03-30,14491.6432,2001-03-30,,2001-03-30,4278.8,2001-03-30,
2001-04-06,,2001-04-06,22.5381,2001-04-06,8407900,2001-04-06,528.22176,2001-04-06,0.6781,2001-04-06,14773.6715,2001-04-06,,2001-04-06,4278.8,2001-04-06,
2001-04-13,,2001-04-13,23.0236,2001-04-13,7186165,2001-04-13,528.22176,2001-04-13,0.6781,2001-04-13,15091.8737,2001-04-13,,2001-04-13,4278.8,2001-04-13,
2001-04-20,,2001-04-20,23.0236,2001-04-20,9917403,2001-04-20,525.76758,2001-04-20,0.6781,2001-04-20,15021.7551,2001-04-20,,2001-04-20,4278.8,2001-04-20,
2001-04-27,,2001-04-27,23.0513,2001-04-27,9270829,2001-04-27,525.76758,2001-04-27,0.6781,2001-04-27,15039.8536,2001-04-27,,2001-04-27,4278.8,2001-04-27,
2001-05-04,,2001-05-04,23.4397,2001-05-04,12399667,2001-05-04,525.76758,2001-05-04,0.6781,2001-05-04,15293.2326,2001-05-04,,2001-05-04,4278.8,2001-05-04,
2001-05-11,,2001-05-11,22.982,2001-05-11,5936966,2001-05-11,525.76758,2001-05-11,0.6781,2001-05-11,14994.6073,2001-05-11,,2001-05-11,4278.8,2001-05-11,
2001-05-18,,2001-05-18,23.9945,2001-05-18,8814495,2001-05-18,525.76758,2001-05-18,0.6781,2001-05-18,15655.2026,2001-05-18,,2001-05-18,4278.8,2001-05-18,
2001-05-25,,2001-05-25,22.9542,2001-05-25,4431234,2001-05-25,525.76758,2001-05-25,0.6781,2001-05-25,14976.5088,2001-05-25,,2001-05-25,4278.8,2001-05-25,
2001-06-01,,2001-06-01,22.7046,2001-06-01,4996577,2001-06-01,525.76873,2001-06-01,0.6781,2001-06-01,14813.6548,2001-06-01,,2001-06-01,4278.8,2001-06-01,
2001-06-08,,2001-06-08,21.9834,2001-06-08,4814170,2001-06-08,525.78442,2001-06-08,0.6781,2001-06-08,14343.5208,2001-06-08,,2001-06-08,4278.8,2001-06-08,
2001-06-15,,2001-06-15,22.6768,2001-06-15,12630489,2001-06-15,525.78442,2001-06-15,0.6781,2001-06-15,14795.9978,2001-06-15,,2001-06-15,4278.8,2001-06-15,
2001-06-22,,2001-06-22,22.1775,2001-06-22,6849913,2001-06-22,525.80011,2001-06-22,0.6781,2001-06-22,14470.6462,2001-06-22,,2001-06-22,4278.8,2001-06-22,
2001-06-29,275.3,2001-06-29,22.2996,2001-06-29,8723439,2001-06-29,525.80011,2001-06-29,0.6317,2001-06-29,15357.5276,2001-06-29,,2001-06-29,4312.8,2001-06-29,1009.9
2001-07-06,275.3,2001-07-06,21.5506,2001-07-06,6460430,2001-07-06,525.80011,2001-07-06,0.6317,2001-07-06,14841.6884,2001-07-06,,2001-07-06,4312.8,2001-07-06,1009.9
2001-07-13,275.3,2001-07-13,21.8003,2001-07-13,6946174,2001-07-13,525.80011,2001-07-13,0.6317,2001-07-13,15013.6348,2001-07-13,,2001-07-13,4312.8,2001-07-13,1009.9
2001-07-20,275.3,2001-07-20,21.6163,2001-07-20,6082694,2001-07-20,525.80011,2001-07-20,0.6317,2001-07-20,14886.9375,2001-07-20,,2001-07-20,4312.8,2001-07-20,1009.9
2001-07-27,275.3,2001-07-27,21.2089,2001-07-27,10844172,2001-07-27,525.81638,2001-07-27,0.6317,2001-07-27,14606.8453,2001-07-27,,2001-07-27,4312.8,2001-07-27,1009.9
2001-08-03,275.3,2001-08-03,20.6439,2001-08-03,7864154,2001-08-03,525.81638,2001-08-03,0.6317,2001-08-03,14217.6914,2001-08-03,,2001-08-03,4312.8,2001-08-03,1009.9
