,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-07-14 00:00:00,,2000-07-14 00:00:00,,2000-07-14 00:00:00,17226245.0,2000-07-14 00:00:00,795.38843,2000-07-14 00:00:00,,2000-07-14 00:00:00,14301.0839,2000-07-14 00:00:00,,2000-07-14 00:00:00,,2000-07-14 00:00:00,
1,2000-07-21 00:00:00,,2000-07-21 00:00:00,,2000-07-21 00:00:00,6075920.0,2000-07-21 00:00:00,795.38843,2000-07-21 00:00:00,,2000-07-21 00:00:00,14396.5305,2000-07-21 00:00:00,,2000-07-21 00:00:00,,2000-07-21 00:00:00,
2,2000-07-28 00:00:00,,2000-07-28 00:00:00,,2000-07-28 00:00:00,4145102.0,2000-07-28 00:00:00,795.38843,2000-07-28 00:00:00,,2000-07-28 00:00:00,14412.4383,2000-07-28 00:00:00,,2000-07-28 00:00:00,,2000-07-28 00:00:00,
3,2000-08-04 00:00:00,,2000-08-04 00:00:00,,2000-08-04 00:00:00,4201414.0,2000-08-04 00:00:00,795.38843,2000-08-04 00:00:00,,2000-08-04 00:00:00,14316.9917,2000-08-04 00:00:00,,2000-08-04 00:00:00,,2000-08-04 00:00:00,
4,2000-08-11 00:00:00,,2000-08-11 00:00:00,,2000-08-11 00:00:00,4438966.0,2000-08-11 00:00:00,795.38843,2000-08-11 00:00:00,,2000-08-11 00:00:00,14316.9917,2000-08-11 00:00:00,,2000-08-11 00:00:00,,2000-08-11 00:00:00,
5,2000-08-18 00:00:00,,2000-08-18 00:00:00,,2000-08-18 00:00:00,2360691.0,2000-08-18 00:00:00,795.38843,2000-08-18 00:00:00,,2000-08-18 00:00:00,13943.1591,2000-08-18 00:00:00,,2000-08-18 00:00:00,,2000-08-18 00:00:00,
6,2000-08-25 00:00:00,,2000-08-25 00:00:00,,2000-08-25 00:00:00,8351058.0,2000-08-25 00:00:00,795.38843,2000-08-25 00:00:00,,2000-08-25 00:00:00,14356.7611,2000-08-25 00:00:00,,2000-08-25 00:00:00,,2000-08-25 00:00:00,
7,2000-09-01 00:00:00,,2000-09-01 00:00:00,,2000-09-01 00:00:00,4258337.0,2000-09-01 00:00:00,795.38843,2000-09-01 00:00:00,,2000-09-01 00:00:00,14309.0378,2000-09-01 00:00:00,,2000-09-01 00:00:00,,2000-09-01 00:00:00,
8,2000-09-08 00:00:00,,2000-09-08 00:00:00,,2000-09-08 00:00:00,11796423.0,2000-09-08 00:00:00,795.38843,2000-09-08 00:00:00,,2000-09-08 00:00:00,15152.1495,2000-09-08 00:00:00,,2000-09-08 00:00:00,,2000-09-08 00:00:00,
9,2000-09-15 00:00:00,,2000-09-15 00:00:00,,2000-09-15 00:00:00,3942103.0,2000-09-15 00:00:00,795.38843,2000-09-15 00:00:00,,2000-09-15 00:00:00,15311.2272,2000-09-15 00:00:00,,2000-09-15 00:00:00,,2000-09-15 00:00:00,
10,2000-09-22 00:00:00,,2000-09-22 00:00:00,,2000-09-22 00:00:00,3746780.0,2000-09-22 00:00:00,795.38843,2000-09-22 00:00:00,,2000-09-22 00:00:00,14181.7757,2000-09-22 00:00:00,,2000-09-22 00:00:00,,2000-09-22 00:00:00,
11,2000-09-29 00:00:00,,2000-09-29 00:00:00,,2000-09-29 00:00:00,9874795.0,2000-09-29 00:00:00,807.15771,2000-09-29 00:00:00,,2000-09-29 00:00:00,16022.0806,2000-09-29 00:00:00,,2000-09-29 00:00:00,,2000-09-29 00:00:00,
12,2000-10-06 00:00:00,,2000-10-06 00:00:00,,2000-10-06 00:00:00,19320025.0,2000-10-06 00:00:00,807.15771,2000-10-06 00:00:00,,2000-10-06 00:00:00,17765.5413,2000-10-06 00:00:00,,2000-10-06 00:00:00,,2000-10-06 00:00:00,
