date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,214.572,2000-01-07,,2000-01-07,42371800,2000-01-07,295.54001,2000-01-07,0.22,2000-01-07,4802.5251,2000-01-07,0.0,2000-01-07,968.71,2000-01-07,207.356
2000-01-14,214.572,2000-01-14,,2000-01-14,50965400,2000-01-14,295.54001,2000-01-14,0.22,2000-01-14,5966.2139,2000-01-14,0.0,2000-01-14,968.71,2000-01-14,207.356
2000-01-21,214.572,2000-01-21,,2000-01-21,60419200,2000-01-21,295.54001,2000-01-21,0.22,2000-01-21,5596.7889,2000-01-21,0.0,2000-01-21,968.71,2000-01-21,207.356
2000-01-28,214.572,2000-01-28,,2000-01-28,41708400,2000-01-28,297.31201,2000-01-28,0.22,2000-01-28,5240.1242,2000-01-28,0.0,2000-01-28,968.71,2000-01-28,207.356
2000-02-04,214.572,2000-02-04,,2000-02-04,30109200,2000-02-04,297.31201,2000-02-04,0.22,2000-02-04,5732.5472,2000-02-04,0.0,2000-02-04,968.71,2000-02-04,207.356
2000-02-11,214.572,2000-02-11,,2000-02-11,43761800,2000-02-11,297.31201,2000-02-11,0.22,2000-02-11,6763.8483,2000-02-11,0.0,2000-02-11,968.71,2000-02-11,207.356
2000-02-18,214.572,2000-02-18,,2000-02-18,36892400,2000-02-18,297.31201,2000-02-18,0.22,2000-02-18,6392.2083,2000-02-18,0.0,2000-02-18,968.71,2000-02-18,207.356
2000-02-25,214.572,2000-02-25,,2000-02-25,23355800,2000-02-25,297.31201,2000-02-25,0.22,2000-02-25,6020.5682,2000-02-25,0.0,2000-02-25,968.71,2000-02-25,207.356
2000-03-03,214.572,2000-03-03,,2000-03-03,35156000,2000-03-03,297.31201,2000-03-03,0.22,2000-03-03,6169.2242,2000-03-03,0.0,2000-03-03,968.71,2000-03-03,207.356
2000-03-10,214.572,2000-03-10,,2000-03-10,91936600,2000-03-10,297.31201,2000-03-10,0.22,2000-03-10,7730.1123,2000-03-10,0.0,2000-03-10,968.71,2000-03-10,207.356
2000-03-17,214.572,2000-03-17,,2000-03-17,33749400,2000-03-17,297.31201,2000-03-17,0.22,2000-03-17,7432.8003,2000-03-17,0.0,2000-03-17,968.71,2000-03-17,207.356
2000-03-24,214.572,2000-03-24,,2000-03-24,38684200,2000-03-24,297.31201,2000-03-24,0.22,2000-03-24,8027.4243,2000-03-24,0.0,2000-03-24,968.71,2000-03-24,207.356
2000-03-31,257.736,2000-03-31,,2000-03-31,43297200,2000-03-31,297.31201,2000-03-31,0.63,2000-03-31,8770.7043,2000-03-31,0.0,2000-03-31,1092.0291,2000-03-31,308.561
2000-04-07,257.736,2000-04-07,,2000-04-07,81615800,2000-04-07,297.31201,2000-04-07,0.63,2000-04-07,11223.5284,2000-04-07,0.0,2000-04-07,1092.0291,2000-04-07,308.561
