,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,111.0,2000-01-07,,2000-01-07,,2000-01-07,,2000-01-07,0.1375,2000-01-07,,2000-01-07,0.0,2000-01-07,1488.0,2000-01-07,749.0
1,2008-01-11,111.0,2008-01-11,,2008-01-11,,2008-01-11,,2008-01-11,0.1375,2008-01-11,,2008-01-11,0.0,2008-01-11,1488.0,2008-01-11,749.0
2,2008-01-18,111.0,2008-01-18,,2008-01-18,,2008-01-18,,2008-01-18,0.1375,2008-01-18,,2008-01-18,0.0,2008-01-18,1488.0,2008-01-18,749.0
3,2008-01-25,111.0,2008-01-25,,2008-01-25,,2008-01-25,,2008-01-25,0.1375,2008-01-25,,2008-01-25,0.0,2008-01-25,1488.0,2008-01-25,749.0
4,2008-02-01,111.0,2008-02-01,,2008-02-01,,2008-02-01,,2008-02-01,0.1375,2008-02-01,,2008-02-01,0.0,2008-02-01,1488.0,2008-02-01,749.0
5,2008-02-08,111.0,2008-02-08,,2008-02-08,,2008-02-08,,2008-02-08,0.1375,2008-02-08,,2008-02-08,0.0,2008-02-08,1488.0,2008-02-08,749.0
6,2008-02-15,111.0,2008-02-15,,2008-02-15,,2008-02-15,,2008-02-15,0.1375,2008-02-15,,2008-02-15,0.0,2008-02-15,1488.0,2008-02-15,749.0
7,2008-02-22,111.0,2008-02-22,,2008-02-22,,2008-02-22,,2008-02-22,0.1375,2008-02-22,,2008-02-22,0.0,2008-02-22,1488.0,2008-02-22,749.0
8,2008-02-29,111.0,2008-02-29,,2008-02-29,,2008-02-29,,2008-02-29,0.1375,2008-02-29,,2008-02-29,0.0,2008-02-29,1488.0,2008-02-29,749.0
9,2008-03-07,111.0,2008-03-07,,2008-03-07,,2008-03-07,,2008-03-07,0.1375,2008-03-07,,2008-03-07,0.0,2008-03-07,1488.0,2008-03-07,749.0
10,2008-03-14,111.0,2008-03-14,,2008-03-14,,2008-03-14,,2008-03-14,0.1375,2008-03-14,,2008-03-14,0.0,2008-03-14,1488.0,2008-03-14,749.0
11,2008-03-21,111.0,2008-03-21,,2008-03-21,907470832.0,2008-03-21,1786.40002,2008-03-21,0.1375,2008-03-21,92132.5325,2008-03-21,0.0,2008-03-21,1488.0,2008-03-21,749.0
12,2008-03-28,111.0,2008-03-28,,2008-03-28,344532952.0,2008-03-28,1786.40002,2008-03-28,0.1375,2008-03-28,89856.0643,2008-03-28,0.0,2008-03-28,1488.0,2008-03-28,749.0
13,2008-04-04,-600.0,2008-04-04,,2008-04-04,263712760.0,2008-04-04,1786.40002,2008-04-04,0.0975,2008-04-04,92318.6588,2008-04-04,0.0,2008-04-04,1453.0,2008-04-04,699.0
