,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,,2000-01-07,,2000-01-07,19627869,2000-01-07,417.54602,2000-01-07,,2000-01-07,13723.3459,2000-01-07,,2000-01-07,,2000-01-07,
1,2000-01-14,,2000-01-14,,2000-01-14,17662866,2000-01-14,417.54602,2000-01-14,,2000-01-14,16597.4543,2000-01-14,,2000-01-14,,2000-01-14,
2,2000-01-21,,2000-01-21,,2000-01-21,28090395,2000-01-21,417.54602,2000-01-21,,2000-01-21,19610.7448,2000-01-21,,2000-01-21,,2000-01-21,
3,2000-01-28,,2000-01-28,,2000-01-28,17819631,2000-01-28,417.54602,2000-01-28,,2000-01-28,17425.5873,2000-01-28,,2000-01-28,,2000-01-28,
4,2000-02-04,,2000-02-04,,2000-02-04,14812947,2000-02-04,417.54602,2000-02-04,,2000-02-04,19457.6446,2000-02-04,,2000-02-04,,2000-02-04,
5,2000-02-11,,2000-02-11,,2000-02-11,11450634,2000-02-11,417.54602,2000-02-11,,2000-02-11,19374.1354,2000-02-11,,2000-02-11,,2000-02-11,
6,2000-02-18,,2000-02-18,,2000-02-18,13212615,2000-02-18,417.54602,2000-02-18,,2000-02-18,17884.8879,2000-02-18,,2000-02-18,,2000-02-18,
7,2000-02-25,,2000-02-25,,2000-02-25,8009766,2000-02-25,417.54602,2000-02-25,,2000-02-25,18385.9431,2000-02-25,,2000-02-25,,2000-02-25,
8,2000-03-03,,2000-03-03,,2000-03-03,14161338,2000-03-03,417.54602,2000-03-03,,2000-03-03,21065.1967,2000-03-03,,2000-03-03,,2000-03-03,
9,2000-03-10,,2000-03-10,,2000-03-10,14836230,2000-03-10,417.54602,2000-03-10,,2000-03-10,21642.8021,2000-03-10,,2000-03-10,,2000-03-10,
10,2000-03-17,,2000-03-17,,2000-03-17,17304858,2000-03-17,417.54602,2000-03-17,,2000-03-17,19603.7857,2000-03-17,,2000-03-17,,2000-03-17,
11,2000-03-24,,2000-03-24,,2000-03-24,13498734,2000-03-24,417.54602,2000-03-24,,2000-03-24,19582.9084,2000-03-24,,2000-03-24,,2000-03-24,
12,2000-03-31,,2000-03-31,,2000-03-31,16829238,2000-03-31,417.54602,2000-03-31,,2000-03-31,16242.5402,2000-03-31,,2000-03-31,,2000-03-31,
13,2000-04-07,,2000-04-07,,2000-04-07,21851268,2000-04-07,417.54602,2000-04-07,,2000-04-07,18650.3889,2000-04-07,,2000-04-07,,2000-04-07,
14,2000-04-14,,2000-04-14,,2000-04-14,15153576,2000-04-14,417.54602,2000-04-14,,2000-04-14,14751.9009,2000-04-14,,2000-04-14,,2000-04-14,
