date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,1014.0,2000-01-07,24.6192,2000-01-07,37257900,2000-01-07,1342.80002,2000-01-07,0.4533,2000-01-07,68231.0259,2000-01-07,0.075,2000-01-07,5698.0,2000-01-07,1685.0
2000-01-14,1014.0,2000-01-14,25.7598,2000-01-14,26263500,2000-01-14,1342.80002,2000-01-14,0.4533,2000-01-14,71392.201,2000-01-14,0.075,2000-01-14,5698.0,2000-01-14,1685.0
2000-01-21,1014.0,2000-01-21,24.498,2000-01-21,26380800,2000-01-21,1342.80002,2000-01-21,0.4533,2000-01-21,67895.3259,2000-01-21,0.075,2000-01-21,5698.0,2000-01-21,1685.0
2000-01-28,1014.0,2000-01-28,25.5579,2000-01-28,40984800,2000-01-28,1342.80002,2000-01-28,0.4533,2000-01-28,70832.701,2000-01-28,0.075,2000-01-28,5698.0,2000-01-28,1685.0
2000-02-04,1014.0,2000-02-04,26.0727,2000-02-04,33534900,2000-02-04,1342.80002,2000-02-04,0.4533,2000-02-04,72259.426,2000-02-04,0.075,2000-02-04,5698.0,2000-02-04,1685.0
2000-02-11,1014.0,2000-02-11,24.7908,2000-02-11,25760700,2000-02-11,1342.80002,2000-02-11,0.4533,2000-02-11,68706.6009,2000-02-11,0.075,2000-02-11,5698.0,2000-02-11,1685.0
2000-02-18,1014.0,2000-02-18,22.3278,2000-02-18,41596800,2000-02-18,1342.80002,2000-02-18,0.4533,2000-02-18,61880.7008,2000-02-18,0.075,2000-02-18,5698.0,2000-02-18,1685.0
2000-02-25,1014.0,2000-02-25,20.1475,2000-02-25,53499000,2000-02-25,1342.80002,2000-02-25,0.4533,2000-02-25,55838.1008,2000-02-25,0.075,2000-02-25,5698.0,2000-02-25,1685.0
2000-03-03,1014.0,2000-03-03,21.5607,2000-03-03,44013900,2000-03-03,1342.80002,2000-03-03,0.4533,2000-03-03,59754.6008,2000-03-03,0.075,2000-03-03,5698.0,2000-03-03,1685.0
2000-03-10,1014.0,2000-03-10,20.4605,2000-03-10,48214800,2000-03-10,1342.80002,2000-03-10,0.4533,2000-03-10,56705.3258,2000-03-10,0.075,2000-03-10,5698.0,2000-03-10,1685.0
2000-03-17,1014.0,2000-03-17,23.1959,2000-03-17,52409400,2000-03-17,1342.80002,2000-03-17,0.4533,2000-03-17,64286.5509,2000-03-17,0.075,2000-03-17,5698.0,2000-03-17,1685.0
2000-03-24,1014.0,2000-03-24,25.134,2000-03-24,41973600,2000-03-24,1342.80002,2000-03-24,0.4533,2000-03-24,69657.7509,2000-03-24,0.075,2000-03-24,5698.0,2000-03-24,1685.0
2000-03-31,2535.0,2000-03-31,23.2807,2000-03-31,30034500,2000-03-31,1340.69998,2000-03-31,0.49,2000-03-31,66560.1678,2000-03-31,0.08,2000-03-31,5657.0,2000-03-31,1897.0
2000-04-07,2535.0,2000-04-07,21.7372,2000-04-07,42204300,2000-04-07,1340.69998,2000-04-07,0.49,2000-04-07,62147.0304,2000-04-07,0.08,2000-04-07,5657.0,2000-04-07,1897.0
2000-04-14,2535.0,2000-04-14,20.9458,2000-04-14,46794600,2000-04-14,1340.69998,2000-04-14,0.49,2000-04-14,59884.5992,2000-04-14,0.08,2000-04-14,5657.0,2000-04-14,1897.0
2000-04-21,2535.0,2000-04-21,22.3526,2000-04-21,24584100,2000-04-21,1340.69998,2000-04-21,0.49,2000-04-21,63906.6991,2000-04-21,0.08,2000-04-21,5657.0,2000-04-21,1897.0
2000-04-28,2535.0,2000-04-28,23.3687,2000-04-28,39442200,2000-04-28,1340.69998,2000-04-28,0.49,2000-04-28,66811.5491,2000-04-28,0.08,2000-04-28,5657.0,2000-04-28,1897.0
2000-05-05,2535.0,2000-05-05,22.9193,2000-05-05,32550900,2000-05-05,1340.69998,2000-05-05,0.49,2000-05-05,65526.7116,2000-05-05,0.08,2000-05-05,5657.0,2000-05-05,1897.0
2000-05-12,2535.0,2000-05-12,23.5641,2000-05-12,27306000,2000-05-12,1340.69995,2000-05-12,0.49,2000-05-12,67370.1725,2000-05-12,0.08,2000-05-12,5657.0,2000-05-12,1897.0
2000-05-19,2535.0,2000-05-19,23.5934,2000-05-19,15643800,2000-05-19,1335.91504,2000-05-19,0.49,2000-05-19,67213.2254,2000-05-19,0.08,2000-05-19,5657.0,2000-05-19,1897.0
2000-05-26,2535.0,2000-05-26,23.0072,2000-05-26,15959300,2000-05-26,1335.91504,2000-05-26,0.49,2000-05-26,65543.3316,2000-05-26,0.08,2000-05-26,5657.0,2000-05-26,1897.0
2000-06-02,2535.0,2000-06-02,26.4949,2000-06-02,15247600,2000-06-02,1335.91504,2000-06-02,0.49,2000-06-02,75479.1997,2000-06-02,0.08,2000-06-02,5657.0,2000-06-02,1897.0
2000-06-09,2535.0,2000-06-09,25.2346,2000-06-09,14384200,2000-06-09,1335.91504,2000-06-09,0.49,2000-06-09,71888.928,2000-06-09,0.08,2000-06-09,5657.0,2000-06-09,1897.0
2000-06-16,2535.0,2000-06-16,24.1502,2000-06-16,18526200,2000-06-16,1335.91504,2000-06-16,0.49,2000-06-16,68799.6245,2000-06-16,0.08,2000-06-16,5657.0,2000-06-16,1897.0
2000-06-23,2535.0,2000-06-23,25.1467,2000-06-23,15532200,2000-06-23,1335.91504,2000-06-23,0.49,2000-06-23,71638.444,2000-06-23,0.08,2000-06-23,5657.0,2000-06-23,1897.0
2000-06-30,3177.0,2000-06-30,23.5598,2000-06-30,17704200,2000-06-30,1335.91504,2000-06-30,0.56,2000-06-30,69634.5714,2000-06-30,0.08,2000-06-30,5970.0,2000-06-30,2304.0
2000-07-07,3177.0,2000-07-07,24.2943,2000-07-07,11802300,2000-07-07,1335.91504,2000-07-07,0.56,2000-07-07,71805.4333,2000-07-07,0.08,2000-07-07,5970.0,2000-07-07,2304.0
2000-07-14,3177.0,2000-07-14,25.5655,2000-07-14,15709800,2000-07-14,1335.91504,2000-07-14,0.56,2000-07-14,75562.6944,2000-07-14,0.08,2000-07-14,5970.0,2000-07-14,2304.0
2000-07-21,3177.0,2000-07-21,26.7802,2000-07-21,17753700,2000-07-21,1335.91504,2000-07-21,0.56,2000-07-21,79152.9661,2000-07-21,0.08,2000-07-21,5970.0,2000-07-21,2304.0
2000-07-28,3177.0,2000-07-28,25.3113,2000-07-28,18523100,2000-07-28,1335.91504,2000-07-28,0.56,2000-07-28,74811.2422,2000-07-28,0.08,2000-07-28,5970.0,2000-07-28,2304.0
2000-08-04,3177.0,2000-08-04,27.0345,2000-08-04,15202100,2000-08-04,1335.91504,2000-08-04,0.56,2000-08-04,79904.4183,2000-08-04,0.08,2000-08-04,5970.0,2000-08-04,2304.0
2000-08-11,3177.0,2000-08-11,27.0062,2000-08-11,15109000,2000-08-11,1335.91504,2000-08-11,0.56,2000-08-11,79820.9236,2000-08-11,0.08,2000-08-11,5970.0,2000-08-11,2304.0
2000-08-18,3177.0,2000-08-18,26.4412,2000-08-18,12411500,2000-08-18,1331.88025,2000-08-18,0.56,2000-08-18,77914.9946,2000-08-18,0.08,2000-08-18,5970.0,2000-08-18,2304.0
2000-08-25,3177.0,2000-08-25,25.5655,2000-08-25,15455300,2000-08-25,1331.88025,2000-08-25,0.56,2000-08-25,75334.4766,2000-08-25,0.08,2000-08-25,5970.0,2000-08-25,2304.0
2000-09-01,3177.0,2000-09-01,26.413,2000-09-01,14701500,2000-09-01,1331.88,2000-09-01,0.56,2000-09-01,77831.7378,2000-09-01,0.08,2000-09-01,5970.0,2000-09-01,2304.0
2000-09-08,3177.0,2000-09-08,27.4017,2000-09-08,10733700,2000-09-08,1331.88025,2000-09-08,0.56,2000-09-08,80745.2401,2000-09-08,0.08,2000-09-08,5970.0,2000-09-08,2304.0
2000-09-15,3177.0,2000-09-15,26.8085,2000-09-15,16017700,2000-09-15,1331.88025,2000-09-15,0.56,2000-09-15,78997.1473,2000-09-15,0.08,2000-09-15,5970.0,2000-09-15,2304.0
2000-09-22,3177.0,2000-09-22,26.5542,2000-09-22,15247500,2000-09-22,1331.88025,2000-09-22,0.56,2000-09-22,78247.9646,2000-09-22,0.08,2000-09-22,5970.0,2000-09-22,2304.0
2000-09-29,-140.0,2000-09-29,26.5445,2000-09-29,13109800,2000-09-29,1331.88025,2000-09-29,0.56,2000-09-29,80911.7251,2000-09-29,0.08,2000-09-29,5981.0,2000-09-29,2093.0
2000-10-06,-140.0,2000-10-06,25.3155,2000-10-06,18923300,2000-10-06,1331.88025,2000-10-06,0.56,2000-10-06,77165.8119,2000-10-06,0.08,2000-10-06,5981.0,2000-10-06,2093.0
2000-10-13,-140.0,2000-10-13,23.5678,2000-10-13,27985900,2000-10-13,1331.88025,2000-10-13,0.56,2000-10-13,71838.2909,2000-10-13,0.08,2000-10-13,5981.0,2000-10-13,2093.0
2000-10-20,-140.0,2000-10-20,24.4963,2000-10-20,23005600,2000-10-20,1331.88025,2000-10-20,0.56,2000-10-20,74668.5365,2000-10-20,0.08,2000-10-20,5981.0,2000-10-20,2093.0
2000-10-27,-140.0,2000-10-27,24.387,2000-10-27,22359800,2000-10-27,1331.88025,2000-10-27,0.56,2000-10-27,74335.5664,2000-10-27,0.08,2000-10-27,5981.0,2000-10-27,2093.0
