date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,695.0,2000-01-07,40.0305,2000-01-07,14112166,2000-01-07,1776.0,2000-01-07,-0.2,2000-01-07,43654.08,2000-01-07,0.47,2000-01-07,1812.0,2000-01-07,592.0
2000-01-14,695.0,2000-01-14,41.0388,2000-01-14,19734298,2000-01-14,1776.0,2000-01-14,-0.2,2000-01-14,44844.0,2000-01-14,0.47,2000-01-14,1812.0,2000-01-14,592.0
2000-01-21,695.0,2000-01-21,38.5122,2000-01-21,18201301,2000-01-21,1776.0,2000-01-21,-0.2,2000-01-21,41700.48,2000-01-21,0.47,2000-01-21,1812.0,2000-01-21,592.0
2000-01-28,695.0,2000-01-28,37.4878,2000-01-28,14032502,2000-01-28,1776.0,2000-01-28,-0.2,2000-01-28,41220.96,2000-01-28,0.47,2000-01-28,1812.0,2000-01-28,592.0
2000-02-04,695.0,2000-02-04,35.7,2000-02-04,19913345,2000-02-04,1776.0,2000-02-04,-0.2,2000-02-04,40084.32,2000-02-04,0.47,2000-02-04,1812.0,2000-02-04,592.0
2000-02-11,695.0,2000-02-11,35.0721,2000-02-11,21087529,2000-02-11,1776.0,2000-02-11,-0.2,2000-02-11,39391.68,2000-02-11,0.47,2000-02-11,1812.0,2000-02-11,592.0
2000-02-18,695.0,2000-02-18,34.2146,2000-02-18,12969482,2000-02-18,1776.0,2000-02-18,-0.2,2000-02-18,38219.52,2000-02-18,0.47,2000-02-18,1812.0,2000-02-18,592.0
2000-02-25,695.0,2000-02-25,33.4823,2000-02-25,29466896,2000-02-25,1776.0,2000-02-25,-0.2,2000-02-25,37580.16,2000-02-25,0.47,2000-02-25,1812.0,2000-02-25,592.0
2000-03-03,695.0,2000-03-03,34.5202,2000-03-03,25368632,2000-03-03,1776.0,2000-03-03,-0.2,2000-03-03,38965.44,2000-03-03,0.47,2000-03-03,1812.0,2000-03-03,592.0
2000-03-10,695.0,2000-03-10,39.0033,2000-03-10,25915115,2000-03-10,1776.0,2000-03-10,-0.2,2000-03-10,44151.36,2000-03-10,0.47,2000-03-10,1812.0,2000-03-10,592.0
