date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,23.966,2000-01-07,48161442,2000-01-07,1764.0,2000-01-07,0.113,2000-01-07,6848.73,2000-01-07,0.05,2000-01-07,3722.0,2000-01-07,523.0
2000-01-14,,2000-01-14,21.6667,2000-01-14,70723839,2000-01-14,1764.0,2000-01-14,0.113,2000-01-14,6191.64,2000-01-14,0.05,2000-01-14,3722.0,2000-01-14,523.0
2000-01-21,,2000-01-21,22.4846,2000-01-21,102449772,2000-01-21,1764.0,2000-01-21,0.113,2000-01-21,6425.37,2000-01-21,0.05,2000-01-21,3722.0,2000-01-21,523.0
2000-01-28,,2000-01-28,21.1728,2000-01-28,67593981,2000-01-28,1764.0,2000-01-28,0.113,2000-01-28,6050.52,2000-01-28,0.05,2000-01-28,3722.0,2000-01-28,523.0
2000-02-04,,2000-02-04,20.3858,2000-02-04,70017646,2000-02-04,1764.0,2000-02-04,0.113,2000-02-04,5825.61,2000-02-04,0.05,2000-02-04,3722.0,2000-02-04,523.0
2000-02-11,,2000-02-11,18.8426,2000-02-11,109545217,2000-02-11,1764.0,2000-02-11,0.113,2000-02-11,5384.61,2000-02-11,0.05,2000-02-11,3722.0,2000-02-11,523.0
2000-02-18,,2000-02-18,20.2006,2000-02-18,90621841,2000-02-18,1764.0,2000-02-18,0.113,2000-02-18,5772.69,2000-02-18,0.05,2000-02-18,3722.0,2000-02-18,523.0
2000-02-25,,2000-02-25,18.3796,2000-02-25,77777223,2000-02-25,1764.0,2000-02-25,0.113,2000-02-25,5252.31,2000-02-25,0.05,2000-02-25,3722.0,2000-02-25,523.0
2000-03-03,,2000-03-03,19.4444,2000-03-03,107216194,2000-03-03,2914.0,2000-03-03,0.113,2000-03-03,9179.1,2000-03-03,0.05,2000-03-03,3722.0,2000-03-03,523.0
2000-03-10,,2000-03-10,17.3457,2000-03-10,105004689,2000-03-10,2914.0,2000-03-10,0.113,2000-03-10,8188.34,2000-03-10,0.05,2000-03-10,3722.0,2000-03-10,523.0
2000-03-17,,2000-03-17,22.2994,2000-03-17,104646485,2000-03-17,2914.0,2000-03-17,0.113,2000-03-17,10526.825,2000-03-17,0.05,2000-03-17,3722.0,2000-03-17,523.0
2000-03-24,,2000-03-24,21.6049,2000-03-24,70441071,2000-03-24,2914.0,2000-03-24,0.113,2000-03-24,10199.0,2000-03-24,0.05,2000-03-24,3722.0,2000-03-24,523.0
2000-03-31,,2000-03-31,21.8519,2000-03-31,81423971,2000-03-31,2914.0,2000-03-31,0.113,2000-03-31,10315.56,2000-03-31,0.05,2000-03-31,3722.0,2000-03-31,523.0
2000-04-07,,2000-04-07,22.1142,2000-04-07,73138217,2000-04-07,2914.0,2000-04-07,0.113,2000-04-07,10439.405,2000-04-07,0.05,2000-04-07,3722.0,2000-04-07,523.0
2000-04-14,,2000-04-14,22.284,2000-04-14,56199090,2000-04-14,2914.0,2000-04-14,0.113,2000-04-14,10519.54,2000-04-14,0.05,2000-04-14,3722.0,2000-04-14,523.0
2000-04-21,,2000-04-21,22.6698,2000-04-21,25959118,2000-04-21,2914.0,2000-04-21,0.113,2000-04-21,10701.665,2000-04-21,0.05,2000-04-21,3722.0,2000-04-21,523.0
2000-04-28,,2000-04-28,24.321,2000-04-28,34129360,2000-04-28,2914.0,2000-04-28,0.113,2000-04-28,11481.16,2000-04-28,0.05,2000-04-28,3722.0,2000-04-28,523.0
2000-05-05,,2000-05-05,24.8457,2000-05-05,59799696,2000-05-05,2914.0,2000-05-05,0.113,2000-05-05,11728.85,2000-05-05,0.05,2000-05-05,3722.0,2000-05-05,523.0
2000-05-12,,2000-05-12,25.108,2000-05-12,39701276,2000-05-12,2914.0,2000-05-12,0.113,2000-05-12,11852.695,2000-05-12,0.05,2000-05-12,3722.0,2000-05-12,523.0
2000-05-19,,2000-05-19,25.1389,2000-05-19,30784470,2000-05-19,2977.0,2000-05-19,0.113,2000-05-19,12123.8325,2000-05-19,0.05,2000-05-19,3722.0,2000-05-19,523.0
2000-05-26,,2000-05-26,26.0648,2000-05-26,45060245,2000-05-26,2977.0,2000-05-26,0.113,2000-05-26,12570.3825,2000-05-26,0.05,2000-05-26,3722.0,2000-05-26,523.0
2000-06-02,,2000-06-02,24.6914,2000-06-02,14823234,2000-06-02,2977.0,2000-06-02,0.113,2000-06-02,11908.0,2000-06-02,0.05,2000-06-02,3722.0,2000-06-02,523.0
2000-06-09,,2000-06-09,24.6914,2000-06-09,57973244,2000-06-09,2993.0,2000-06-09,0.113,2000-06-09,11972.0,2000-06-09,0.05,2000-06-09,3722.0,2000-06-09,523.0
2000-06-16,,2000-06-16,25.9259,2000-06-16,37588587,2000-06-16,2993.0,2000-06-16,0.113,2000-06-16,12570.6,2000-06-16,0.05,2000-06-16,3722.0,2000-06-16,523.0
