date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,2529.0,2000-01-07,17.3775,2000-01-07,24792500,2000-01-07,900.81598,2000-01-07,0.75,2000-01-07,39917.4081,2000-01-07,0.14,2000-01-07,15200.0,2000-01-07,1387.0
2000-01-14,2529.0,2000-01-14,17.2549,2000-01-14,14051600,2000-01-14,900.81598,2000-01-14,0.75,2000-01-14,39635.9031,2000-01-14,0.14,2000-01-14,15200.0,2000-01-14,1387.0
2000-01-21,2529.0,2000-01-21,17.9167,2000-01-21,30690700,2000-01-21,900.81598,2000-01-21,0.75,2000-01-21,41156.03,2000-01-21,0.14,2000-01-21,15200.0,2000-01-21,1387.0
2000-01-28,2529.0,2000-01-28,17.5,2000-01-28,17081000,2000-01-28,900.81598,2000-01-28,0.75,2000-01-28,40198.9131,2000-01-28,0.14,2000-01-28,15200.0,2000-01-28,1387.0
2000-02-04,2529.0,2000-02-04,17.2549,2000-02-04,14199400,2000-02-04,900.81598,2000-02-04,0.75,2000-02-04,39635.9031,2000-02-04,0.14,2000-02-04,15200.0,2000-02-04,1387.0
2000-02-11,2529.0,2000-02-11,15.6373,2000-02-11,20863800,2000-02-11,900.81598,2000-02-11,0.75,2000-02-11,35920.0372,2000-02-11,0.14,2000-02-11,15200.0,2000-02-11,1387.0
2000-02-18,2529.0,2000-02-18,14.1176,2000-02-18,18950600,2000-02-18,900.81598,2000-02-18,0.75,2000-02-18,32429.3752,2000-02-18,0.14,2000-02-18,15200.0,2000-02-18,1387.0
2000-02-25,2529.0,2000-02-25,14.8284,2000-02-25,16033600,2000-02-25,900.81598,2000-02-25,0.75,2000-02-25,34062.1042,2000-02-25,0.14,2000-02-25,15200.0,2000-02-25,1387.0
2000-03-03,2529.0,2000-03-03,14.0931,2000-03-03,17866700,2000-03-03,900.81598,2000-03-03,0.75,2000-03-03,32373.0742,2000-03-03,0.14,2000-03-03,15200.0,2000-03-03,1387.0
2000-03-10,2529.0,2000-03-10,12.6961,2000-03-10,18932700,2000-03-10,870.81702,2000-03-10,0.75,2000-03-10,28192.7009,2000-03-10,0.14,2000-03-10,15200.0,2000-03-10,1387.0
2000-03-17,2529.0,2000-03-17,14.902,2000-03-17,32040000,2000-03-17,870.81702,2000-03-17,0.75,2000-03-17,33091.0466,2000-03-17,0.14,2000-03-17,15200.0,2000-03-17,1387.0
2000-03-24,2529.0,2000-03-24,14.1176,2000-03-24,23189300,2000-03-24,870.81702,2000-03-24,0.75,2000-03-24,31349.4126,2000-03-24,0.14,2000-03-24,15200.0,2000-03-24,1387.0
2000-03-31,-1166.0,2000-03-31,15.3709,2000-03-31,18272600,2000-03-31,870.81702,2000-03-31,0.48,2000-03-31,32927.7684,2000-03-31,0.14,2000-03-31,9910.0,2000-03-31,877.0
2000-04-07,-1166.0,2000-04-07,14.5071,2000-04-07,15457200,2000-04-07,870.81702,2000-04-07,0.48,2000-04-07,31077.2823,2000-04-07,0.14,2000-04-07,9910.0,2000-04-07,877.0
2000-04-14,-1166.0,2000-04-14,14.3801,2000-04-14,15985500,2000-04-14,870.81702,2000-04-14,0.48,2000-04-14,30805.152,2000-04-14,0.14,2000-04-14,9910.0,2000-04-14,877.0
2000-04-21,-1166.0,2000-04-21,16.2856,2000-04-21,21000400,2000-04-21,870.81702,2000-04-21,0.48,2000-04-21,34887.1067,2000-04-21,0.14,2000-04-21,9910.0,2000-04-21,877.0
2000-04-28,-1166.0,2000-04-28,16.1331,2000-04-28,26047900,2000-04-28,870.81702,2000-04-28,0.48,2000-04-28,34560.5503,2000-04-28,0.14,2000-04-28,9910.0,2000-04-28,877.0
