date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,10.4256,2000-01-07,92796600,2000-01-07,3420.07788,2000-01-07,0.555,2000-01-07,83257.5209,2000-01-07,0.25,2000-01-07,13232.0,2000-01-07,
2000-01-14,,2000-01-14,10.8137,2000-01-14,66045600,2000-01-14,3420.07788,2000-01-14,0.555,2000-01-14,86356.9665,2000-01-14,0.25,2000-01-14,13232.0,2000-01-14,
2000-01-21,,2000-01-21,9.7832,2000-01-21,57691400,2000-01-21,3420.07788,2000-01-21,0.555,2000-01-21,78127.4041,2000-01-21,0.25,2000-01-21,13232.0,2000-01-21,
2000-01-28,,2000-01-28,9.7966,2000-01-28,69973600,2000-01-28,3420.07788,2000-01-28,0.555,2000-01-28,78234.2815,2000-01-28,0.25,2000-01-28,13232.0,2000-01-28,
2000-02-04,,2000-02-04,9.8233,2000-02-04,73790600,2000-02-04,3420.07788,2000-02-04,0.555,2000-02-04,78448.0364,2000-02-04,0.25,2000-02-04,13232.0,2000-02-04,
2000-02-11,,2000-02-11,9.6761,2000-02-11,55571000,2000-02-11,3420.07788,2000-02-11,0.555,2000-02-11,77272.3846,2000-02-11,0.25,2000-02-11,13232.0,2000-02-11,
2000-02-18,,2000-02-18,9.3683,2000-02-18,66455200,2000-02-18,3420.07788,2000-02-18,0.555,2000-02-18,74814.2036,2000-02-18,0.25,2000-02-18,13232.0,2000-02-18,
2000-02-25,,2000-02-25,9.4486,2000-02-25,48966400,2000-02-25,3420.07788,2000-02-25,0.555,2000-02-25,75455.4682,2000-02-25,0.25,2000-02-25,13232.0,2000-02-25,
2000-03-03,,2000-03-03,9.636,2000-03-03,58788200,2000-03-03,3420.07788,2000-03-03,0.555,2000-03-03,76951.7523,2000-03-03,0.25,2000-03-03,13232.0,2000-03-03,
2000-03-10,,2000-03-10,9.1809,2000-03-10,52093400,2000-03-10,3420.07788,2000-03-10,0.555,2000-03-10,73317.9196,2000-03-10,0.25,2000-03-10,13232.0,2000-03-10,
2000-03-17,,2000-03-17,10.7066,2000-03-17,87352800,2000-03-17,3420.07788,2000-03-17,0.555,2000-03-17,85501.947,2000-03-17,0.25,2000-03-17,13232.0,2000-03-17,
2000-03-24,,2000-03-24,11.697,2000-03-24,67728800,2000-03-24,3354.5459,2000-03-24,0.555,2000-03-24,91621.0349,2000-03-24,0.25,2000-03-24,13232.0,2000-03-24,
2000-03-31,,2000-03-31,10.658,2000-03-31,53680400,2000-03-31,3354.5459,2000-03-31,0.67,2000-03-31,87952.0003,2000-03-31,0.25,2000-03-31,14138.0,2000-03-31,
2000-04-07,,2000-04-07,10.6326,2000-04-07,60285600,2000-04-07,3354.5459,2000-04-07,0.67,2000-04-07,87742.3412,2000-04-07,0.25,2000-04-07,14138.0,2000-04-07,
2000-04-14,,2000-04-14,10.1499,2000-04-14,65631400,2000-04-14,3354.5459,2000-04-14,0.67,2000-04-14,83758.8179,2000-04-14,0.25,2000-04-14,14138.0,2000-04-14,
2000-04-21,,2000-04-21,10.0737,2000-04-21,39605800,2000-04-21,3354.5459,2000-04-21,0.67,2000-04-21,83129.8405,2000-04-21,0.25,2000-04-21,14138.0,2000-04-21,
