date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,103223230,2000-01-07,6816.26368,2000-01-07,,2000-01-07,23516.22,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,136683032,2000-01-14,6816.26368,2000-01-14,,2000-01-14,23761.5,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,226163077,2000-01-21,6816.26368,2000-01-21,,2000-01-21,22059.87,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,114731657,2000-01-28,6816.26368,2000-01-28,,2000-01-28,23117.64,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,88667959,2000-02-04,6816.26368,2000-02-04,,2000-02-04,21262.71,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,179941015,2000-02-11,6816.26368,2000-02-11,,2000-02-11,22550.43,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,220285159,2000-02-18,6816.26368,2000-02-18,,2000-02-18,25263.84,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,150053927,2000-02-25,6816.26368,2000-02-25,,2000-02-25,21967.89,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,103769473,2000-03-03,6816.26368,2000-03-03,,2000-03-03,23148.3,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,95225040,2000-03-10,6816.26368,2000-03-10,,2000-03-10,22811.04,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,134987916,2000-03-17,6647.30215,2000-03-17,,2000-03-17,22469.85,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,140906554,2000-03-24,6647.30215,2000-03-24,,2000-03-24,24622.65,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,102812795,2000-03-31,6647.30215,2000-03-31,,2000-03-31,24846.9,2000-03-31,,2000-03-31,,2000-03-31,
