,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,,2000-01-07,25.1256,2000-01-07,20426490,2000-01-07,1241.96997,2000-01-07,0.56,2000-01-07,31049.2493,2000-01-07,,2000-01-07,8217.7002,2000-01-07,
1,2000-01-14,,2000-01-14,23.8693,2000-01-14,14999580,2000-01-14,1241.96997,2000-01-14,0.56,2000-01-14,29496.7868,2000-01-14,,2000-01-14,8217.7002,2000-01-14,
2,2000-01-21,,2000-01-21,24.1457,2000-01-21,15956124,2000-01-21,1241.96997,2000-01-21,0.56,2000-01-21,29838.3285,2000-01-21,,2000-01-21,8217.7002,2000-01-21,
3,2000-01-28,,2000-01-28,22.7387,2000-01-28,17066732,2000-01-28,1241.96997,2000-01-28,0.56,2000-01-28,28099.5706,2000-01-28,,2000-01-28,8217.7002,2000-01-28,
4,2000-02-04,,2000-02-04,21.6432,2000-02-04,22114136,2000-02-04,1241.96997,2000-02-04,0.56,2000-02-04,26745.8233,2000-02-04,,2000-02-04,8217.7002,2000-02-04,
5,2000-02-11,,2000-02-11,22.1759,2000-02-11,22234364,2000-02-11,1241.96997,2000-02-11,0.56,2000-02-11,27404.0674,2000-02-11,,2000-02-11,8217.7002,2000-02-11,
6,2000-02-18,,2000-02-18,23.8191,2000-02-18,22417944,2000-02-18,1241.96997,2000-02-18,0.56,2000-02-18,29434.6883,2000-02-18,,2000-02-18,8217.7002,2000-02-18,
7,2000-02-25,,2000-02-25,22.6935,2000-02-25,14487484,2000-02-25,1241.96997,2000-02-25,0.56,2000-02-25,28043.6819,2000-02-25,,2000-02-25,8217.7002,2000-02-25,
8,2000-03-03,,2000-03-03,22.8191,2000-03-03,18771328,2000-03-03,1241.96997,2000-03-03,0.56,2000-03-03,28198.9282,2000-03-03,,2000-03-03,8217.7002,2000-03-03,
9,2000-03-10,,2000-03-10,23.2161,2000-03-10,16959034,2000-03-10,1241.96997,2000-03-10,0.56,2000-03-10,28689.5063,2000-03-10,,2000-03-10,8217.7002,2000-03-10,
