date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,720.0,2000-01-07,13.0929,2000-01-07,36749382,2000-01-07,1571.0,2000-01-07,0.0721,2000-01-07,5203.9375,2000-01-07,0.182,2000-01-07,4514.0,2000-01-07,389.0
2000-01-14,720.0,2000-01-14,12.8063,2000-01-14,51385626,2000-01-14,1571.0,2000-01-14,0.0721,2000-01-14,5090.04,2000-01-14,0.182,2000-01-14,4514.0,2000-01-14,389.0
2000-01-21,720.0,2000-01-21,11.8577,2000-01-21,44973415,2000-01-21,1571.0,2000-01-21,0.0721,2000-01-21,4713.0,2000-01-21,0.182,2000-01-21,4514.0,2000-01-21,389.0
2000-01-28,720.0,2000-01-28,10.5336,2000-01-28,37124725,2000-01-28,1571.0,2000-01-28,0.0721,2000-01-28,4186.715,2000-01-28,0.182,2000-01-28,4514.0,2000-01-28,389.0
2000-02-04,720.0,2000-02-04,10.919,2000-02-04,48355849,2000-02-04,1571.0,2000-02-04,0.0721,2000-02-04,4339.8875,2000-02-04,0.182,2000-02-04,4514.0,2000-02-04,389.0
2000-02-11,720.0,2000-02-11,11.0178,2000-02-11,79343646,2000-02-11,1571.0,2000-02-11,0.0721,2000-02-11,4379.1625,2000-02-11,0.182,2000-02-11,4514.0,2000-02-11,389.0
2000-02-18,720.0,2000-02-18,11.4723,2000-02-18,74448799,2000-02-18,1571.0,2000-02-18,0.0721,2000-02-18,4559.8275,2000-02-18,0.182,2000-02-18,4514.0,2000-02-18,389.0
2000-02-25,720.0,2000-02-25,10.4447,2000-02-25,30778135,2000-02-25,1571.0,2000-02-25,0.0721,2000-02-25,4151.3675,2000-02-25,0.182,2000-02-25,4514.0,2000-02-25,389.0
2000-03-03,720.0,2000-03-03,11.2154,2000-03-03,17902809,2000-03-03,1571.0,2000-03-03,0.0721,2000-03-03,4457.7125,2000-03-03,0.182,2000-03-03,4514.0,2000-03-03,389.0
2000-03-10,720.0,2000-03-10,9.8518,2000-03-10,120091953,2000-03-10,1571.0,2000-03-10,0.0721,2000-03-10,3915.7175,2000-03-10,0.182,2000-03-10,4514.0,2000-03-10,389.0
2000-03-17,720.0,2000-03-17,12.5889,2000-03-17,70368831,2000-03-17,1571.0,2000-03-17,0.0721,2000-03-17,5003.635,2000-03-17,0.182,2000-03-17,4514.0,2000-03-17,389.0
2000-03-24,720.0,2000-03-24,11.9071,2000-03-24,47573677,2000-03-24,2420.0,2000-03-24,0.0721,2000-03-24,7290.25,2000-03-24,0.182,2000-03-24,4514.0,2000-03-24,389.0
2000-03-31,720.0,2000-03-31,13.6462,2000-03-31,111005641,2000-03-31,2420.0,2000-03-31,0.0721,2000-03-31,8355.05,2000-03-31,0.182,2000-03-31,4514.0,2000-03-31,389.0
2000-04-07,720.0,2000-04-07,13.0632,2000-04-07,29428965,2000-04-07,2420.0,2000-04-07,0.0721,2000-04-07,7998.1,2000-04-07,0.182,2000-04-07,4514.0,2000-04-07,389.0
2000-04-14,720.0,2000-04-14,12.1245,2000-04-14,21003406,2000-04-14,2420.0,2000-04-14,0.0721,2000-04-14,7423.35,2000-04-14,0.182,2000-04-14,4514.0,2000-04-14,389.0
2000-04-21,720.0,2000-04-21,13.666,2000-04-21,51746302,2000-04-21,2420.0,2000-04-21,0.0721,2000-04-21,8367.15,2000-04-21,0.182,2000-04-21,4514.0,2000-04-21,389.0
2000-04-28,720.0,2000-04-28,15.3458,2000-04-28,22806348,2000-04-28,2420.0,2000-04-28,0.0721,2000-04-28,9395.65,2000-04-28,0.182,2000-04-28,4514.0,2000-04-28,389.0
