,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,13004010,2000-01-07 00:00:00,742.14581,2000-01-07 00:00:00,,2000-01-07 00:00:00,33551.9106,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,
1,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,13606976,2000-01-14 00:00:00,742.14581,2000-01-14 00:00:00,,2000-01-14 00:00:00,32865.3891,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,
2,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,14227508,2000-01-21 00:00:00,742.14581,2000-01-21 00:00:00,,2000-01-21 00:00:00,31988.9787,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,
3,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,11988237,2000-01-28 00:00:00,742.14581,2000-01-28 00:00:00,,2000-01-28 00:00:00,29965.9314,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,
4,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,10755071,2000-02-04 00:00:00,742.14581,2000-02-04 00:00:00,,2000-02-04 00:00:00,30090.0896,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,
5,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,14016937,2000-02-11 00:00:00,742.14581,2000-02-11 00:00:00,,2000-02-11 00:00:00,31149.0854,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,
6,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,10448238,2000-02-18 00:00:00,742.14581,2000-02-18 00:00:00,,2000-02-18 00:00:00,31901.3377,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,
7,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,7799816,2000-02-25 00:00:00,742.14581,2000-02-25 00:00:00,,2000-02-25 00:00:00,31331.6709,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,
8,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,10241604,2000-03-03 00:00:00,742.14581,2000-03-03 00:00:00,,2000-03-03 00:00:00,30564.8119,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,
9,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,9441429,2000-03-10 00:00:00,742.14581,2000-03-10 00:00:00,,2000-03-10 00:00:00,29651.8844,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,
10,2000-03-17 00:00:00,,2000-03-17 00:00:00,,2000-03-17 00:00:00,40037488,2000-03-17 00:00:00,742.14581,2000-03-17 00:00:00,,2000-03-17 00:00:00,33340.1114,2000-03-17 00:00:00,,2000-03-17 00:00:00,,2000-03-17 00:00:00,
11,2000-03-24 00:00:00,,2000-03-24 00:00:00,,2000-03-24 00:00:00,7991392,2000-03-24 00:00:00,742.14581,2000-03-24 00:00:00,,2000-03-24 00:00:00,32047.4061,2000-03-24 00:00:00,,2000-03-24 00:00:00,,2000-03-24 00:00:00,
12,2000-03-31 00:00:00,,2000-03-31 00:00:00,,2000-03-31 00:00:00,11793140,2000-03-31 00:00:00,742.14581,2000-03-31 00:00:00,0.7489,2000-03-31 00:00:00,34253.0389,2000-03-31 00:00:00,,2000-03-31 00:00:00,7247.0,2000-03-31 00:00:00,
13,2000-04-07 00:00:00,,2000-04-07 00:00:00,,2000-04-07 00:00:00,9973500,2000-04-07 00:00:00,742.14581,2000-04-07 00:00:00,0.7489,2000-04-07 00:00:00,32127.7437,2000-04-07 00:00:00,,2000-04-07 00:00:00,7247.0,2000-04-07 00:00:00,
