,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,-22.241,2000-01-07 00:00:00,,2000-01-07 00:00:00,4940760,2000-01-07 00:00:00,24.40455,2000-01-07 00:00:00,-35.4599,2000-01-07 00:00:00,8382.9459,2000-01-07 00:00:00,0.0,2000-01-07 00:00:00,169.213,2000-01-07 00:00:00,-11.551
1,2000-01-14 00:00:00,-22.241,2000-01-14 00:00:00,,2000-01-14 00:00:00,4234758,2000-01-14 00:00:00,24.40455,2000-01-14 00:00:00,-35.4599,2000-01-14 00:00:00,8328.0357,2000-01-14 00:00:00,0.0,2000-01-14 00:00:00,169.213,2000-01-14 00:00:00,-11.551
2,2000-01-21 00:00:00,-22.241,2000-01-21 00:00:00,,2000-01-21 00:00:00,2688789,2000-01-21 00:00:00,24.40455,2000-01-21 00:00:00,-35.4599,2000-01-21 00:00:00,9298.1146,2000-01-21 00:00:00,0.0,2000-01-21 00:00:00,169.213,2000-01-21 00:00:00,-11.551
3,2000-01-28 00:00:00,-22.241,2000-01-28 00:00:00,,2000-01-28 00:00:00,3295940,2000-01-28 00:00:00,24.40455,2000-01-28 00:00:00,-35.4599,2000-01-28 00:00:00,8730.71,2000-01-28 00:00:00,0.0,2000-01-28 00:00:00,169.213,2000-01-28 00:00:00,-11.551
4,2000-02-04 00:00:00,-22.241,2000-02-04 00:00:00,,2000-02-04 00:00:00,1541136,2000-02-04 00:00:00,24.40455,2000-02-04 00:00:00,-35.4599,2000-02-04 00:00:00,8840.5302,2000-02-04 00:00:00,0.0,2000-02-04 00:00:00,169.213,2000-02-04 00:00:00,-11.551
5,2000-02-11 00:00:00,-22.241,2000-02-11 00:00:00,,2000-02-11 00:00:00,2969573,2000-02-11 00:00:00,24.40455,2000-02-11 00:00:00,-35.4599,2000-02-11 00:00:00,7888.7547,2000-02-11 00:00:00,0.0,2000-02-11 00:00:00,169.213,2000-02-11 00:00:00,-11.551
6,2000-02-18 00:00:00,-22.241,2000-02-18 00:00:00,,2000-02-18 00:00:00,1215169,2000-02-18 00:00:00,24.40455,2000-02-18 00:00:00,-35.4599,2000-02-18 00:00:00,7467.7771,2000-02-18 00:00:00,0.0,2000-02-18 00:00:00,169.213,2000-02-18 00:00:00,-11.551
7,2000-02-25 00:00:00,-22.241,2000-02-25 00:00:00,,2000-02-25 00:00:00,1851937,2000-02-25 00:00:00,24.40455,2000-02-25 00:00:00,-35.4599,2000-02-25 00:00:00,8337.1874,2000-02-25 00:00:00,0.0,2000-02-25 00:00:00,169.213,2000-02-25 00:00:00,-11.551
8,2000-03-03 00:00:00,-22.241,2000-03-03 00:00:00,,2000-03-03 00:00:00,5529644,2000-03-03 00:00:00,24.40455,2000-03-03 00:00:00,-35.4599,2000-03-03 00:00:00,10982.0251,2000-03-03 00:00:00,0.0,2000-03-03 00:00:00,169.213,2000-03-03 00:00:00,-11.551
9,2000-03-10 00:00:00,-22.241,2000-03-10 00:00:00,,2000-03-10 00:00:00,8976518,2000-03-10 00:00:00,24.40455,2000-03-10 00:00:00,-35.4599,2000-03-10 00:00:00,13837.3517,2000-03-10 00:00:00,0.0,2000-03-10 00:00:00,169.213,2000-03-10 00:00:00,-11.551
10,2000-03-17 00:00:00,-22.241,2000-03-17 00:00:00,,2000-03-17 00:00:00,2688205,2000-03-17 00:00:00,24.40455,2000-03-17 00:00:00,-35.4599,2000-03-17 00:00:00,13178.4302,2000-03-17 00:00:00,0.0,2000-03-17 00:00:00,169.213,2000-03-17 00:00:00,-11.551
11,2000-03-24 00:00:00,-22.241,2000-03-24 00:00:00,,2000-03-24 00:00:00,2173388,2000-03-24 00:00:00,24.40455,2000-03-24 00:00:00,-35.4599,2000-03-24 00:00:00,13251.6437,2000-03-24 00:00:00,0.0,2000-03-24 00:00:00,169.213,2000-03-24 00:00:00,-11.551
12,2000-03-31 00:00:00,-17.278,2000-03-31 00:00:00,,2000-03-31 00:00:00,1763804,2000-03-31 00:00:00,27.31122,2000-03-31 00:00:00,-0.48,2000-03-31 00:00:00,13109.3604,2000-03-31 00:00:00,0.0,2000-03-31 00:00:00,313.798,2000-03-31 00:00:00,-13.61
13,2000-04-07 00:00:00,-17.278,2000-04-07 00:00:00,,2000-04-07 00:00:00,2799656,2000-04-07 00:00:00,27.31122,2000-04-07 00:00:00,-0.48,2000-04-07 00:00:00,12791.868,2000-04-07 00:00:00,0.0,2000-04-07 00:00:00,313.798,2000-04-07 00:00:00,-13.61
14,2000-04-14 00:00:00,-17.278,2000-04-14 00:00:00,,2000-04-14 00:00:00,3407240,2000-04-14 00:00:00,27.31122,2000-04-14 00:00:00,-0.48,2000-04-14 00:00:00,9593.901,2000-04-14 00:00:00,0.0,2000-04-14 00:00:00,313.798,2000-04-14 00:00:00,-13.61
15,2000-04-21 00:00:00,-17.278,2000-04-21 00:00:00,,2000-04-21 00:00:00,2778322,2000-04-21 00:00:00,27.31122,2000-04-21 00:00:00,-0.48,2000-04-21 00:00:00,11122.4729,2000-04-21 00:00:00,0.0,2000-04-21 00:00:00,313.798,2000-04-21 00:00:00,-13.61
16,2000-04-28 00:00:00,-17.278,2000-04-28 00:00:00,,2000-04-28 00:00:00,2426605,2000-04-28 00:00:00,27.31122,2000-04-28 00:00:00,-0.48,2000-04-28 00:00:00,10364.588,2000-04-28 00:00:00,0.0,2000-04-28 00:00:00,313.798,2000-04-28 00:00:00,-13.61
17,2000-05-05 00:00:00,-17.278,2000-05-05 00:00:00,,2000-05-05 00:00:00,1656803,2000-05-05 00:00:00,27.31122,2000-05-05 00:00:00,-0.48,2000-05-05 00:00:00,9412.1111,2000-05-05 00:00:00,0.0,2000-05-05 00:00:00,313.798,2000-05-05 00:00:00,-13.61
18,2000-05-12 00:00:00,-17.278,2000-05-12 00:00:00,,2000-05-12 00:00:00,1415919,2000-05-12 00:00:00,27.31122,2000-05-12 00:00:00,-0.48,2000-05-12 00:00:00,8142.1418,2000-05-12 00:00:00,0.0,2000-05-12 00:00:00,313.798,2000-05-12 00:00:00,-13.61
19,2000-05-19 00:00:00,-17.278,2000-05-19 00:00:00,,2000-05-19 00:00:00,2818122,2000-05-19 00:00:00,28.48742,2000-05-19 00:00:00,-0.48,2000-05-19 00:00:00,7648.8577,2000-05-19 00:00:00,0.0,2000-05-19 00:00:00,313.798,2000-05-19 00:00:00,-13.61
20,2000-05-26 00:00:00,-17.278,2000-05-26 00:00:00,,2000-05-26 00:00:00,3019506,2000-05-26 00:00:00,28.48742,2000-05-26 00:00:00,-0.48,2000-05-26 00:00:00,6174.6365,2000-05-26 00:00:00,0.0,2000-05-26 00:00:00,313.798,2000-05-26 00:00:00,-13.61
21,2000-06-02 00:00:00,-17.278,2000-06-02 00:00:00,,2000-06-02 00:00:00,1920804,2000-06-02 00:00:00,28.48742,2000-06-02 00:00:00,-0.48,2000-06-02 00:00:00,7947.975,2000-06-02 00:00:00,0.0,2000-06-02 00:00:00,313.798,2000-06-02 00:00:00,-13.61
22,2000-06-09 00:00:00,-17.278,2000-06-09 00:00:00,,2000-06-09 00:00:00,1799887,2000-06-09 00:00:00,28.48742,2000-06-09 00:00:00,-0.48,2000-06-09 00:00:00,7712.9543,2000-06-09 00:00:00,0.0,2000-06-09 00:00:00,313.798,2000-06-09 00:00:00,-13.61
23,2000-06-16 00:00:00,-17.278,2000-06-16 00:00:00,,2000-06-16 00:00:00,1198752,2000-06-16 00:00:00,28.48742,2000-06-16 00:00:00,-0.48,2000-06-16 00:00:00,7381.7886,2000-06-16 00:00:00,0.0,2000-06-16 00:00:00,313.798,2000-06-16 00:00:00,-13.61
24,2000-06-23 00:00:00,-17.278,2000-06-23 00:00:00,,2000-06-23 00:00:00,2235421,2000-06-23 00:00:00,28.48742,2000-06-23 00:00:00,-0.48,2000-06-23 00:00:00,7146.7679,2000-06-23 00:00:00,0.0,2000-06-23 00:00:00,313.798,2000-06-23 00:00:00,-13.61
25,2000-06-30 00:00:00,1.44,2000-06-30 00:00:00,,2000-06-30 00:00:00,2886906,2000-06-30 00:00:00,28.48742,2000-06-30 00:00:00,-0.42,2000-06-30 00:00:00,6492.4487,2000-06-30 00:00:00,0.0,2000-06-30 00:00:00,352.095,2000-06-30 00:00:00,-3.669
26,2000-07-07 00:00:00,1.44,2000-07-07 00:00:00,,2000-07-07 00:00:00,606201,2000-07-07 00:00:00,28.48742,2000-07-07 00:00:00,-0.42,2000-07-07 00:00:00,6420.34,2000-07-07 00:00:00,0.0,2000-07-07 00:00:00,352.095,2000-07-07 00:00:00,-3.669
27,2000-07-14 00:00:00,1.44,2000-07-14 00:00:00,,2000-07-14 00:00:00,3038189,2000-07-14 00:00:00,28.48742,2000-07-14 00:00:00,-0.42,2000-07-14 00:00:00,6740.8229,2000-07-14 00:00:00,0.0,2000-07-14 00:00:00,352.095,2000-07-14 00:00:00,-3.669
28,2000-07-21 00:00:00,1.44,2000-07-21 00:00:00,,2000-07-21 00:00:00,1837454,2000-07-21 00:00:00,28.48742,2000-07-21 00:00:00,-0.42,2000-07-21 00:00:00,6847.6505,2000-07-21 00:00:00,0.0,2000-07-21 00:00:00,352.095,2000-07-21 00:00:00,-3.669
29,2000-07-28 00:00:00,1.44,2000-07-28 00:00:00,,2000-07-28 00:00:00,7254381,2000-07-28 00:00:00,28.48742,2000-07-28 00:00:00,-0.42,2000-07-28 00:00:00,4187.6428,2000-07-28 00:00:00,0.0,2000-07-28 00:00:00,352.095,2000-07-28 00:00:00,-3.669
30,2000-08-04 00:00:00,1.44,2000-08-04 00:00:00,,2000-08-04 00:00:00,3281923,2000-08-04 00:00:00,28.48742,2000-08-04 00:00:00,-0.42,2000-08-04 00:00:00,4144.9117,2000-08-04 00:00:00,0.0,2000-08-04 00:00:00,352.095,2000-08-04 00:00:00,-3.669
31,2000-08-11 00:00:00,1.44,2000-08-11 00:00:00,,2000-08-11 00:00:00,3192123,2000-08-11 00:00:00,28.48742,2000-08-11 00:00:00,-0.42,2000-08-11 00:00:00,4102.1807,2000-08-11 00:00:00,0.0,2000-08-11 00:00:00,352.095,2000-08-11 00:00:00,-3.669
32,2000-08-18 00:00:00,1.44,2000-08-18 00:00:00,,2000-08-18 00:00:00,2345321,2000-08-18 00:00:00,27.77225,2000-08-18 00:00:00,-0.42,2000-08-18 00:00:00,4405.3651,2000-08-18 00:00:00,0.0,2000-08-18 00:00:00,352.095,2000-08-18 00:00:00,-3.669
33,2000-08-25 00:00:00,1.44,2000-08-25 00:00:00,,2000-08-25 00:00:00,2204588,2000-08-25 00:00:00,27.77225,2000-08-25 00:00:00,-0.42,2000-08-25 00:00:00,4415.7796,2000-08-25 00:00:00,0.0,2000-08-25 00:00:00,352.095,2000-08-25 00:00:00,-3.669
34,2000-09-01 00:00:00,1.44,2000-09-01 00:00:00,,2000-09-01 00:00:00,2253138,2000-09-01 00:00:00,27.77225,2000-09-01 00:00:00,-0.42,2000-09-01 00:00:00,4322.0485,2000-09-01 00:00:00,0.0,2000-09-01 00:00:00,352.095,2000-09-01 00:00:00,-3.669
35,2000-09-08 00:00:00,1.44,2000-09-08 00:00:00,,2000-09-08 00:00:00,2468388,2000-09-08 00:00:00,27.77225,2000-09-08 00:00:00,-0.42,2000-09-08 00:00:00,4290.8047,2000-09-08 00:00:00,0.0,2000-09-08 00:00:00,352.095,2000-09-08 00:00:00,-3.669
36,2000-09-15 00:00:00,1.44,2000-09-15 00:00:00,,2000-09-15 00:00:00,2076721,2000-09-15 00:00:00,27.77225,2000-09-15 00:00:00,-0.42,2000-09-15 00:00:00,4353.2922,2000-09-15 00:00:00,0.0,2000-09-15 00:00:00,352.095,2000-09-15 00:00:00,-3.669
37,2000-09-22 00:00:00,1.44,2000-09-22 00:00:00,,2000-09-22 00:00:00,3504524,2000-09-22 00:00:00,27.77225,2000-09-22 00:00:00,-0.42,2000-09-22 00:00:00,3645.1011,2000-09-22 00:00:00,0.0,2000-09-22 00:00:00,352.095,2000-09-22 00:00:00,-3.669
38,2000-09-29 00:00:00,-0.103,2000-09-29 00:00:00,,2000-09-29 00:00:00,12238008,2000-09-29 00:00:00,27.77225,2000-09-29 00:00:00,-7.14,2000-09-29 00:00:00,1978.7692,2000-09-29 00:00:00,0.0,2000-09-29 00:00:00,0.0,2000-09-29 00:00:00,4.462
39,2000-10-06 00:00:00,-0.103,2000-10-06 00:00:00,,2000-10-06 00:00:00,9592269,2000-10-06 00:00:00,27.77225,2000-10-06 00:00:00,-7.14,2000-10-06 00:00:00,926.8971,2000-10-06 00:00:00,0.0,2000-10-06 00:00:00,0.0,2000-10-06 00:00:00,4.462
40,2000-10-13 00:00:00,-0.103,2000-10-13 00:00:00,,2000-10-13 00:00:00,4944010,2000-10-13 00:00:00,27.77225,2000-10-13 00:00:00,-7.14,2000-10-13 00:00:00,1051.872,2000-10-13 00:00:00,0.0,2000-10-13 00:00:00,0.0,2000-10-13 00:00:00,4.462
41,2000-10-20 00:00:00,-0.103,2000-10-20 00:00:00,,2000-10-20 00:00:00,2588922,2000-10-20 00:00:00,27.77225,2000-10-20 00:00:00,-7.14,2000-10-20 00:00:00,903.4643,2000-10-20 00:00:00,0.0,2000-10-20 00:00:00,0.0,2000-10-20 00:00:00,4.462
42,2000-10-27 00:00:00,-0.103,2000-10-27 00:00:00,,2000-10-27 00:00:00,1705720,2000-10-27 00:00:00,27.77225,2000-10-27 00:00:00,-7.14,2000-10-27 00:00:00,937.3117,2000-10-27 00:00:00,0.0,2000-10-27 00:00:00,0.0,2000-10-27 00:00:00,4.462
43,2000-11-03 00:00:00,-0.103,2000-11-03 00:00:00,,2000-11-03 00:00:00,4841293,2000-11-03 00:00:00,27.77225,2000-11-03 00:00:00,-7.14,2000-11-03 00:00:00,786.3004,2000-11-03 00:00:00,0.0,2000-11-03 00:00:00,0.0,2000-11-03 00:00:00,4.462
44,2000-11-10 00:00:00,-0.103,2000-11-10 00:00:00,,2000-11-10 00:00:00,3872158,2000-11-10 00:00:00,27.77225,2000-11-10 00:00:00,-7.14,2000-11-10 00:00:00,557.1797,2000-11-10 00:00:00,0.0,2000-11-10 00:00:00,0.0,2000-11-10 00:00:00,4.462
45,2000-11-17 00:00:00,-0.103,2000-11-17 00:00:00,,2000-11-17 00:00:00,3051656,2000-11-17 00:00:00,28.08484,2000-11-17 00:00:00,-7.14,2000-11-17 00:00:00,437.0694,2000-11-17 00:00:00,0.0,2000-11-17 00:00:00,0.0,2000-11-17 00:00:00,4.462
46,2000-11-24 00:00:00,-0.103,2000-11-24 00:00:00,,2000-11-24 00:00:00,1760204,2000-11-24 00:00:00,28.08484,2000-11-24 00:00:00,-7.14,2000-11-24 00:00:00,426.5376,2000-11-24 00:00:00,0.0,2000-11-24 00:00:00,0.0,2000-11-24 00:00:00,4.462
