date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,8.561,2000-01-07,15.2644,2000-01-07,260500,2000-01-07,9.0,2000-01-07,0.27,2000-01-07,142.875,2000-01-07,0.0,2000-01-07,100.782,2000-01-07,34.067
2000-01-14,8.561,2000-01-14,16.8269,2000-01-14,404100,2000-01-14,9.0,2000-01-14,0.27,2000-01-14,157.5,2000-01-14,0.0,2000-01-14,100.782,2000-01-14,34.067
2000-01-21,8.561,2000-01-21,16.7067,2000-01-21,170000,2000-01-21,9.0,2000-01-21,0.27,2000-01-21,156.375,2000-01-21,0.0,2000-01-21,100.782,2000-01-21,34.067
2000-01-28,8.561,2000-01-28,16.7067,2000-01-28,84000,2000-01-28,9.0,2000-01-28,0.27,2000-01-28,156.375,2000-01-28,0.0,2000-01-28,100.782,2000-01-28,34.067
2000-02-04,8.561,2000-02-04,17.7284,2000-02-04,248700,2000-02-04,9.0,2000-02-04,0.27,2000-02-04,165.9375,2000-02-04,0.0,2000-02-04,100.782,2000-02-04,34.067
2000-02-11,8.561,2000-02-11,17.2476,2000-02-11,114000,2000-02-11,9.0,2000-02-11,0.27,2000-02-11,161.4375,2000-02-11,0.0,2000-02-11,100.782,2000-02-11,34.067
2000-02-18,8.561,2000-02-18,17.7885,2000-02-18,114100,2000-02-18,9.0,2000-02-18,0.27,2000-02-18,166.5,2000-02-18,0.0,2000-02-18,100.782,2000-02-18,34.067
2000-02-25,8.561,2000-02-25,18.5096,2000-02-25,119600,2000-02-25,9.0,2000-02-25,0.27,2000-02-25,173.25,2000-02-25,0.0,2000-02-25,100.782,2000-02-25,34.067
2000-03-03,8.561,2000-03-03,21.274,2000-03-03,300100,2000-03-03,9.0,2000-03-03,0.27,2000-03-03,199.125,2000-03-03,0.0,2000-03-03,100.782,2000-03-03,34.067
2000-03-10,8.561,2000-03-10,21.274,2000-03-10,80800,2000-03-10,9.0,2000-03-10,0.27,2000-03-10,199.125,2000-03-10,0.0,2000-03-10,100.782,2000-03-10,34.067
2000-03-17,8.561,2000-03-17,23.7981,2000-03-17,151000,2000-03-17,9.0,2000-03-17,0.27,2000-03-17,222.75,2000-03-17,0.0,2000-03-17,100.782,2000-03-17,34.067
2000-03-24,8.561,2000-03-24,21.5745,2000-03-24,349700,2000-03-24,9.0,2000-03-24,0.27,2000-03-24,201.9375,2000-03-24,0.0,2000-03-24,100.782,2000-03-24,34.067
