date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,16488651,2000-01-07,626.74134,2000-01-07,,2000-01-07,17520.2257,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,12756596,2000-01-14,626.74134,2000-01-14,,2000-01-14,17475.8707,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,12593113,2000-01-21,626.74134,2000-01-21,,2000-01-21,16411.3507,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,15780791,2000-01-28,626.74134,2000-01-28,,2000-01-28,16529.6307,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,13015499,2000-02-04,626.74134,2000-02-04,,2000-02-04,16160.0057,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,8086086,2000-02-11,626.74134,2000-02-11,,2000-02-11,15376.4006,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,8548217,2000-02-18,626.74134,2000-02-18,,2000-02-18,15827.3432,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,14761557,2000-02-25,626.74134,2000-02-25,,2000-02-25,15746.0257,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,13593636,2000-03-03,626.74134,2000-03-03,,2000-03-03,15036.3456,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,15892125,2000-03-10,626.74134,2000-03-10,,2000-03-10,13387.8181,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,18622971,2000-03-17,628.52677,2000-03-17,,2000-03-17,15865.0178,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,15813949,2000-03-24,628.52677,2000-03-24,,2000-03-24,16435.8619,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,11428209,2000-03-31,628.52677,2000-03-31,,2000-03-31,17125.323,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,14365428,2000-04-07,628.52677,2000-04-07,,2000-04-07,17866.6789,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,12978636,2000-04-14,628.52677,2000-04-14,,2000-04-14,18837.8553,2000-04-14,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,6993017,2000-04-21,628.52677,2000-04-21,,2000-04-21,17903.7467,2000-04-21,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,8734192,2000-04-28,628.52677,2000-04-28,,2000-04-28,17829.6111,2000-04-28,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,7521684,2000-05-05,628.52677,2000-05-05,,2000-05-05,18941.6451,2000-05-05,,2000-05-05,,2000-05-05,
