date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,14100124,2000-01-07,929.25448,2000-01-07,,2000-01-07,38555.9687,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,16897186,2000-01-14,929.25448,2000-01-14,,2000-01-14,38309.5331,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,16440930,2000-01-21,929.25448,2000-01-21,,2000-01-21,36114.016,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,12993104,2000-01-28,929.25448,2000-01-28,,2000-01-28,37166.9681,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,13251584,2000-02-04,929.25448,2000-02-04,,2000-02-04,35822.774,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,18292812,2000-02-11,929.25448,2000-02-11,,2000-02-11,35105.8704,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,21334758,2000-02-18,929.25448,2000-02-18,,2000-02-18,37346.194,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,17932332,2000-02-25,929.25448,2000-02-25,,2000-02-25,36875.726,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,18818566,2000-03-03,929.25448,2000-03-03,,2000-03-03,38667.9849,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,24366368,2000-03-10,929.25448,2000-03-10,,2000-03-10,38130.3072,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,17535608,2000-03-17,929.25448,2000-03-17,,2000-03-17,38085.5008,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,13218414,2000-03-24,929.25448,2000-03-24,,2000-03-24,37413.4037,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,15298430,2000-03-31,929.25448,2000-03-31,,2000-03-31,36965.339,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,23560814,2000-04-07,929.25448,2000-04-07,,2000-04-07,39295.2755,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,16467234,2000-04-14,929.25448,2000-04-14,,2000-04-14,41087.5344,2000-04-14,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,11528850,2000-04-21,929.25448,2000-04-21,,2000-04-21,39205.6626,2000-04-21,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,12228573,2000-04-28,929.25448,2000-04-28,,2000-04-28,39832.9532,2000-04-28,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,8244350,2000-05-05,929.25448,2000-05-05,,2000-05-05,39989.7758,2000-05-05,,2000-05-05,,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,20854695,2000-05-12,929.25448,2000-05-12,,2000-05-12,43059.0191,2000-05-12,,2000-05-12,,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,15427084,2000-05-19,929.25448,2000-05-19,,2000-05-19,43103.8256,2000-05-19,,2000-05-19,,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,19338599,2000-05-26,929.25448,2000-05-26,,2000-05-26,41849.2444,2000-05-26,,2000-05-26,,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,12266851,2000-06-02,929.25448,2000-06-02,,2000-06-02,44223.9874,2000-06-02,,2000-06-02,,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,13406778,2000-06-09,929.25448,2000-06-09,,2000-06-09,44358.4068,2000-06-09,,2000-06-09,,2000-06-09,
2000-06-16,,2000-06-16,,2000-06-16,15343509,2000-06-16,929.25448,2000-06-16,,2000-06-16,43999.955,2000-06-16,,2000-06-16,,2000-06-16,
2000-06-23,,2000-06-23,,2000-06-23,22234126,2000-06-23,929.25448,2000-06-23,,2000-06-23,43126.2288,2000-06-23,,2000-06-23,,2000-06-23,
2000-06-30,,2000-06-30,,2000-06-30,13625547,2000-06-30,919.17574,2000-06-30,,2000-06-30,44675.0626,2000-06-30,,2000-06-30,,2000-06-30,
2000-07-07,,2000-07-07,,2000-07-07,12940213,2000-07-07,919.24587,2000-07-07,,2000-07-07,46717.3695,2000-07-07,,2000-07-07,,2000-07-07,
2000-07-14,,2000-07-14,,2000-07-14,7869109,2000-07-14,919.24587,2000-07-14,,2000-07-14,44767.1188,2000-07-14,,2000-07-14,,2000-07-14,
2000-07-21,,2000-07-21,,2000-07-21,9094667,2000-07-21,919.24587,2000-07-21,,2000-07-21,45476.3009,2000-07-21,,2000-07-21,,2000-07-21,
2000-07-28,,2000-07-28,,2000-07-28,15291084,2000-07-28,929.25444,2000-07-28,,2000-07-28,47136.4062,2000-07-28,,2000-07-28,,2000-07-28,
2000-08-04,,2000-08-04,,2000-08-04,10513489,2000-08-04,929.25444,2000-08-04,,2000-08-04,47584.4708,2000-08-04,,2000-08-04,,2000-08-04,
2000-08-11,,2000-08-11,,2000-08-11,11333679,2000-08-11,929.25444,2000-08-11,,2000-08-11,47450.0514,2000-08-11,,2000-08-11,,2000-08-11,
2000-08-18,,2000-08-18,,2000-08-18,5630772,2000-08-18,929.25444,2000-08-18,,2000-08-18,48301.3744,2000-08-18,,2000-08-18,,2000-08-18,
2000-08-25,,2000-08-25,,2000-08-25,9613626,2000-08-25,929.25444,2000-08-25,,2000-08-25,48166.955,2000-08-25,,2000-08-25,,2000-08-25,
2000-09-01,,2000-09-01,,2000-09-01,15181099,2000-09-01,929.25444,2000-09-01,,2000-09-01,46464.3091,2000-09-01,,2000-09-01,,2000-09-01,
2000-09-08,,2000-09-08,,2000-09-08,14440001,2000-09-08,929.25444,2000-09-08,,2000-09-08,46374.6962,2000-09-08,,2000-09-08,,2000-09-08,
2000-09-15,,2000-09-15,,2000-09-15,15526317,2000-09-15,929.25444,2000-09-15,,2000-09-15,45926.6315,2000-09-15,,2000-09-15,,2000-09-15,
2000-09-22,,2000-09-22,,2000-09-22,17037087,2000-09-22,929.25444,2000-09-22,,2000-09-22,42610.9527,2000-09-22,,2000-09-22,,2000-09-22,
2000-09-29,,2000-09-29,,2000-09-29,14928264,2000-09-29,929.25444,2000-09-29,,2000-09-29,44761.6633,2000-09-29,,2000-09-29,,2000-09-29,
