date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,1948.0,2000-01-07,46.3396,2000-01-07,124177564,2000-01-07,19484.01953,2000-01-07,0.088,2000-01-07,116319.5966,2000-01-07,0.05,2000-01-07,27950.0,2000-01-07,4097.0
2000-01-14,1948.0,2000-01-14,42.8378,2000-01-14,214702965,2000-01-14,19484.01953,2000-01-14,0.088,2000-01-14,107746.628,2000-01-14,0.05,2000-01-14,27950.0,2000-01-14,4097.0
2000-01-21,1948.0,2000-01-21,43.9736,2000-01-21,193934466,2000-01-21,19484.01953,2000-01-21,0.088,2000-01-21,109597.6099,2000-01-21,0.05,2000-01-21,27950.0,2000-01-21,4097.0
2000-01-28,1948.0,2000-01-28,42.763,2000-01-28,122683033,2000-01-28,19484.01953,2000-01-28,0.088,2000-01-28,108233.7285,2000-01-28,0.05,2000-01-28,27950.0,2000-01-28,4097.0
2000-02-04,1948.0,2000-02-04,37.9582,2000-02-04,337906511,2000-02-04,19484.01953,2000-02-04,0.088,2000-02-04,98102.0383,2000-02-04,0.05,2000-02-04,27950.0,2000-02-04,4097.0
2000-02-11,1948.0,2000-02-11,36.1375,2000-02-11,336729341,2000-02-11,19484.01953,2000-02-11,0.088,2000-02-11,93425.8737,2000-02-11,0.05,2000-02-11,27950.0,2000-02-11,4097.0
2000-02-18,1948.0,2000-02-18,36.8277,2000-02-18,228140552,2000-02-18,19484.01953,2000-02-18,0.088,2000-02-18,94692.3349,2000-02-18,0.05,2000-02-18,27950.0,2000-02-18,4097.0
2000-02-25,1948.0,2000-02-25,34.8427,2000-02-25,195686273,2000-02-25,19484.01953,2000-02-25,0.088,2000-02-25,90016.1702,2000-02-25,0.05,2000-02-25,27950.0,2000-02-25,4097.0
2000-03-03,1948.0,2000-03-03,37.0453,2000-03-03,187805963,2000-03-03,19484.01953,2000-03-03,0.088,2000-03-03,96251.0565,2000-03-03,0.05,2000-03-03,27950.0,2000-03-03,4097.0
2000-03-10,1948.0,2000-03-10,41.277,2000-03-10,242748803,2000-03-10,19484.01953,2000-03-10,0.088,2000-03-10,107551.7878,2000-03-10,0.05,2000-03-10,27950.0,2000-03-10,4097.0
2000-03-17,1948.0,2000-03-17,41.2586,2000-03-17,271001293,2000-03-17,19484.01953,2000-03-17,0.088,2000-03-17,107941.4682,2000-03-17,0.05,2000-03-17,27950.0,2000-03-17,4097.0
2000-03-24,1948.0,2000-03-24,40.8383,2000-03-24,190756740,2000-03-24,19484.01953,2000-03-24,0.088,2000-03-24,105505.9658,2000-03-24,0.05,2000-03-24,27950.0,2000-03-24,4097.0
