,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,667.0,2000-01-07,,2000-01-07,5169000,2000-01-07,267.11421,2000-01-07,,2000-01-07,85544.2604,2000-01-07,,2000-01-07,5929.0,2000-01-07,
1,2000-01-14,667.0,2000-01-14,,2000-01-14,4204000,2000-01-14,267.11421,2000-01-14,,2000-01-14,79138.0577,2000-01-14,,2000-01-14,5929.0,2000-01-14,
2,2000-01-21,667.0,2000-01-21,,2000-01-21,3780000,2000-01-21,267.11421,2000-01-21,,2000-01-21,80130.8595,2000-01-21,,2000-01-21,5929.0,2000-01-21,
3,2000-01-28,667.0,2000-01-28,,2000-01-28,3268000,2000-01-28,267.11421,2000-01-28,,2000-01-28,79053.221,2000-01-28,,2000-01-28,5929.0,2000-01-28,
4,2000-02-04,667.0,2000-02-04,,2000-02-04,3904500,2000-02-04,267.11421,2000-02-04,,2000-02-04,77349.0472,2000-02-04,,2000-02-04,5929.0,2000-02-04,
5,2000-02-11,667.0,2000-02-11,,2000-02-11,8313500,2000-02-11,267.11421,2000-02-11,,2000-02-11,68707.8648,2000-02-11,,2000-02-11,5929.0,2000-02-11,
6,2000-02-18,667.0,2000-02-18,,2000-02-18,9202500,2000-02-18,267.11421,2000-02-18,,2000-02-18,77313.3625,2000-02-18,,2000-02-18,5929.0,2000-02-18,
7,2000-02-25,667.0,2000-02-25,,2000-02-25,3951500,2000-02-25,267.11421,2000-02-25,,2000-02-25,68482.849,2000-02-25,,2000-02-25,5929.0,2000-02-25,
8,2000-03-03,667.0,2000-03-03,,2000-03-03,6665000,2000-03-03,267.11421,2000-03-03,,2000-03-03,68303.5625,2000-03-03,,2000-03-03,5929.0,2000-03-03,
9,2000-03-10,667.0,2000-03-10,,2000-03-10,6783000,2000-03-10,267.11421,2000-03-10,,2000-03-10,62742.289,2000-03-10,,2000-03-10,5929.0,2000-03-10,
