,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,-2205.0,2000-01-07 00:00:00,16.2145,2000-01-07 00:00:00,9085611,2000-01-07 00:00:00,448.89989,2000-01-07 00:00:00,7.95,2000-01-07 00:00:00,181804.5,2000-01-07 00:00:00,1.05,2000-01-07 00:00:00,33342.0,2000-01-07 00:00:00,20013.0
1,2000-01-14 00:00:00,-2205.0,2000-01-14 00:00:00,17.4155,2000-01-14 00:00:00,6456612,2000-01-14 00:00:00,448.89989,2000-01-14 00:00:00,7.95,2000-01-14 00:00:00,195271.5,2000-01-14 00:00:00,1.05,2000-01-14 00:00:00,33342.0,2000-01-14 00:00:00,20013.0
2,2000-01-21 00:00:00,-2205.0,2000-01-21 00:00:00,16.9464,2000-01-21 00:00:00,6453012,2000-01-21 00:00:00,448.89989,2000-01-21 00:00:00,7.95,2000-01-21 00:00:00,190010.9531,2000-01-21 00:00:00,1.05,2000-01-21 00:00:00,33342.0,2000-01-21 00:00:00,20013.0
3,2000-01-28 00:00:00,-2205.0,2000-01-28 00:00:00,16.8525,2000-01-28 00:00:00,6675985,2000-01-28 00:00:00,448.89989,2000-01-28 00:00:00,7.95,2000-01-28 00:00:00,188958.8437,2000-01-28 00:00:00,1.05,2000-01-28 00:00:00,33342.0,2000-01-28 00:00:00,20013.0
4,2000-02-04 00:00:00,-2205.0,2000-02-04 00:00:00,16.4397,2000-02-04 00:00:00,7256118,2000-02-04 00:00:00,448.89989,2000-02-04 00:00:00,7.95,2000-02-04 00:00:00,184329.5625,2000-02-04 00:00:00,1.05,2000-02-04 00:00:00,33342.0,2000-02-04 00:00:00,20013.0
5,2000-02-11 00:00:00,-2205.0,2000-02-11 00:00:00,16.2145,2000-02-11 00:00:00,6284718,2000-02-11 00:00:00,448.89989,2000-02-11 00:00:00,7.95,2000-02-11 00:00:00,181804.5,2000-02-11 00:00:00,1.05,2000-02-11 00:00:00,33342.0,2000-02-11 00:00:00,20013.0
6,2000-02-18 00:00:00,-2205.0,2000-02-18 00:00:00,15.445,2000-02-18 00:00:00,6793865,2000-02-18 00:00:00,448.89989,2000-02-18 00:00:00,7.95,2000-02-18 00:00:00,173177.2031,2000-02-18 00:00:00,1.05,2000-02-18 00:00:00,33342.0,2000-02-18 00:00:00,20013.0
7,2000-02-25 00:00:00,-2205.0,2000-02-25 00:00:00,14.4129,2000-02-25 00:00:00,8544385,2000-02-25 00:00:00,448.89989,2000-02-25 00:00:00,7.95,2000-02-25 00:00:00,161604.0,2000-02-25 00:00:00,1.05,2000-02-25 00:00:00,33342.0,2000-02-25 00:00:00,20013.0
8,2000-03-03 00:00:00,-2205.0,2000-03-03 00:00:00,16.0456,2000-03-03 00:00:00,10460557,2000-03-03 00:00:00,448.89989,2000-03-03 00:00:00,7.95,2000-03-03 00:00:00,179910.7031,2000-03-03 00:00:00,1.05,2000-03-03 00:00:00,33342.0,2000-03-03 00:00:00,20013.0
9,2000-03-10 00:00:00,-2205.0,2000-03-10 00:00:00,14.7131,2000-03-10 00:00:00,6302278,2000-03-10 00:00:00,449.00321,2000-03-10 00:00:00,7.95,2000-03-10 00:00:00,165008.7202,2000-03-10 00:00:00,1.05,2000-03-10 00:00:00,33342.0,2000-03-10 00:00:00,20013.0
10,2000-03-17 00:00:00,-2205.0,2000-03-17 00:00:00,17.1153,2000-03-17 00:00:00,10893851,2000-03-17 00:00:00,449.00321,2000-03-17 00:00:00,7.95,2000-03-17 00:00:00,191948.9194,2000-03-17 00:00:00,1.05,2000-03-17 00:00:00,33342.0,2000-03-17 00:00:00,20013.0
11,2000-03-24 00:00:00,-2205.0,2000-03-24 00:00:00,18.185,2000-03-24 00:00:00,8950398,2000-03-24 00:00:00,449.00321,2000-03-24 00:00:00,7.95,2000-03-24 00:00:00,203945.7269,2000-03-24 00:00:00,1.05,2000-03-24 00:00:00,33342.0,2000-03-24 00:00:00,20013.0
12,2000-03-31 00:00:00,281.0,2000-03-31 00:00:00,15.9584,2000-03-31 00:00:00,6179585,2000-03-31 00:00:00,449.00321,2000-03-31 00:00:00,7.6981,2000-03-31 00:00:00,201630.5535,2000-03-31 00:00:00,1.2,2000-03-31 00:00:00,26815.0,2000-03-31 00:00:00,15751.0
13,2000-04-07 00:00:00,281.0,2000-04-07 00:00:00,15.7252,2000-04-07 00:00:00,7008105,2000-04-07 00:00:00,449.00321,2000-04-07 00:00:00,7.6981,2000-04-07 00:00:00,198683.9692,2000-04-07 00:00:00,1.2,2000-04-07 00:00:00,26815.0,2000-04-07 00:00:00,15751.0
14,2000-04-14 00:00:00,281.0,2000-04-14 00:00:00,15.4586,2000-04-14 00:00:00,8830878,2000-04-14 00:00:00,449.00321,2000-04-14 00:00:00,7.6981,2000-04-14 00:00:00,195316.4443,2000-04-14 00:00:00,1.2,2000-04-14 00:00:00,26815.0,2000-04-14 00:00:00,15751.0
15,2000-04-21 00:00:00,281.0,2000-04-21 00:00:00,16.3248,2000-04-21 00:00:00,6907705,2000-04-21 00:00:00,449.00321,2000-04-21 00:00:00,7.6981,2000-04-21 00:00:00,206260.9003,2000-04-21 00:00:00,1.2,2000-04-21 00:00:00,26815.0,2000-04-21 00:00:00,15751.0
16,2000-04-28 00:00:00,281.0,2000-04-28 00:00:00,15.7252,2000-04-28 00:00:00,5696172,2000-04-28 00:00:00,449.00321,2000-04-28 00:00:00,7.6981,2000-04-28 00:00:00,198683.9692,2000-04-28 00:00:00,1.2,2000-04-28 00:00:00,26815.0,2000-04-28 00:00:00,15751.0
17,2000-05-05 00:00:00,281.0,2000-05-05 00:00:00,15.8751,2000-05-05 00:00:00,4964519,2000-05-05 00:00:00,449.00321,2000-05-05 00:00:00,7.6981,2000-05-05 00:00:00,200578.202,2000-05-05 00:00:00,1.2,2000-05-05 00:00:00,26815.0,2000-05-05 00:00:00,15751.0
18,2000-05-12 00:00:00,281.0,2000-05-12 00:00:00,16.0417,2000-05-12 00:00:00,5486505,2000-05-12 00:00:00,449.41828,2000-05-12 00:00:00,7.6981,2000-05-12 00:00:00,202870.271,2000-05-12 00:00:00,1.2,2000-05-12 00:00:00,26815.0,2000-05-12 00:00:00,15751.0
19,2000-05-19 00:00:00,281.0,2000-05-19 00:00:00,16.2415,2000-05-19 00:00:00,5418225,2000-05-19 00:00:00,449.95851,2000-05-19 00:00:00,7.6981,2000-05-19 00:00:00,205645.1534,2000-05-19 00:00:00,1.2,2000-05-19 00:00:00,26815.0,2000-05-19 00:00:00,15751.0
20,2000-05-26 00:00:00,281.0,2000-05-26 00:00:00,15.5253,2000-05-26 00:00:00,6343572,2000-05-26 00:00:00,449.95851,2000-05-26 00:00:00,7.6981,2000-05-26 00:00:00,196575.6749,2000-05-26 00:00:00,1.2,2000-05-26 00:00:00,26815.0,2000-05-26 00:00:00,15751.0
21,2000-06-02 00:00:00,281.0,2000-06-02 00:00:00,17.7574,2000-06-02 00:00:00,4917372,2000-06-02 00:00:00,449.95851,2000-06-02 00:00:00,7.6981,2000-06-02 00:00:00,224838.7011,2000-06-02 00:00:00,1.2,2000-06-02 00:00:00,26815.0,2000-06-02 00:00:00,15751.0
22,2000-06-09 00:00:00,281.0,2000-06-09 00:00:00,17.0578,2000-06-09 00:00:00,4713799,2000-06-09 00:00:00,449.95851,2000-06-09 00:00:00,7.6981,2000-06-09 00:00:00,215980.1406,2000-06-09 00:00:00,1.2,2000-06-09 00:00:00,26815.0,2000-06-09 00:00:00,15751.0
23,2000-06-16 00:00:00,281.0,2000-06-16 00:00:00,16.708,2000-06-16 00:00:00,6061918,2000-06-16 00:00:00,449.95851,2000-06-16 00:00:00,7.6981,2000-06-16 00:00:00,211550.8604,2000-06-16 00:00:00,1.2,2000-06-16 00:00:00,26815.0,2000-06-16 00:00:00,15751.0
24,2000-06-23 00:00:00,281.0,2000-06-23 00:00:00,16.4914,2000-06-23 00:00:00,4491906,2000-06-23 00:00:00,449.95851,2000-06-23 00:00:00,7.6981,2000-06-23 00:00:00,208808.925,2000-06-23 00:00:00,1.2,2000-06-23 00:00:00,26815.0,2000-06-23 00:00:00,15751.0
25,2000-06-30 00:00:00,-5331.0,2000-06-30 00:00:00,15.4541,2000-06-30 00:00:00,5231772,2000-06-30 00:00:00,449.95851,2000-06-30 00:00:00,6.6983,2000-06-30 00:00:00,203325.0543,2000-06-30 00:00:00,1.2,2000-06-30 00:00:00,27059.0,2000-06-30 00:00:00,15999.0
26,2000-07-07 00:00:00,-5331.0,2000-07-07 00:00:00,16.7205,2000-07-07 00:00:00,3665359,2000-07-07 00:00:00,449.95851,2000-07-07 00:00:00,6.6983,2000-07-07 00:00:00,219987.5846,2000-07-07 00:00:00,1.2,2000-07-07 00:00:00,27059.0,2000-07-07 00:00:00,15999.0
27,2000-07-14 00:00:00,-5331.0,2000-07-14 00:00:00,17.4419,2000-07-14 00:00:00,4271332,2000-07-14 00:00:00,449.95851,2000-07-14 00:00:00,6.6983,2000-07-14 00:00:00,229478.8994,2000-07-14 00:00:00,1.2,2000-07-14 00:00:00,27059.0,2000-07-14 00:00:00,15999.0
28,2000-07-21 00:00:00,-5331.0,2000-07-21 00:00:00,18.1794,2000-07-21 00:00:00,5474999,2000-07-21 00:00:00,449.95851,2000-07-21 00:00:00,6.6983,2000-07-21 00:00:00,239181.1323,2000-07-21 00:00:00,1.2,2000-07-21 00:00:00,27059.0,2000-07-21 00:00:00,15999.0
29,2000-07-28 00:00:00,-5331.0,2000-07-28 00:00:00,17.6183,2000-07-28 00:00:00,4257346,2000-07-28 00:00:00,449.95851,2000-07-28 00:00:00,6.6983,2000-07-28 00:00:00,231798.9986,2000-07-28 00:00:00,1.2,2000-07-28 00:00:00,27059.0,2000-07-28 00:00:00,15999.0
30,2000-08-04 00:00:00,-5331.0,2000-08-04 00:00:00,18.8527,2000-08-04 00:00:00,5092545,2000-08-04 00:00:00,449.95851,2000-08-04 00:00:00,6.6983,2000-08-04 00:00:00,248039.6927,2000-08-04 00:00:00,1.2,2000-08-04 00:00:00,27059.0,2000-08-04 00:00:00,15999.0
31,2000-08-11 00:00:00,-5331.0,2000-08-11 00:00:00,18.5801,2000-08-11 00:00:00,4406506,2000-08-11 00:00:00,449.95851,2000-08-11 00:00:00,6.6983,2000-08-11 00:00:00,244454.0849,2000-08-11 00:00:00,1.2,2000-08-11 00:00:00,27059.0,2000-08-11 00:00:00,15999.0
