date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,21758,2000-01-07,5.39656,2000-01-07,,2000-01-07,211.8989,2000-01-07,,2000-01-07,269.922,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,23755,2000-01-14,5.39656,2000-01-14,,2000-01-14,210.6597,2000-01-14,,2000-01-14,269.922,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,60473,2000-01-21,5.39656,2000-01-21,,2000-01-21,242.2587,2000-01-21,,2000-01-21,269.922,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,43240,2000-01-28,5.39656,2000-01-28,,2000-01-28,260.2267,2000-01-28,,2000-01-28,269.922,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,29109,2000-02-04,5.39656,2000-02-04,,2000-02-04,263.9443,2000-02-04,,2000-02-04,269.922,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,54844,2000-02-11,5.39656,2000-02-11,,2000-02-11,315.9896,2000-02-11,,2000-02-11,269.922,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,28959,2000-02-18,5.39656,2000-02-18,,2000-02-18,294.9236,2000-02-18,,2000-02-18,269.922,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,25880,2000-02-25,5.39656,2000-02-25,,2000-02-25,289.9669,2000-02-25,,2000-02-25,269.922,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,29046,2000-03-03,5.39656,2000-03-03,,2000-03-03,306.0762,2000-03-03,,2000-03-03,269.922,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,64056,2000-03-10,5.39656,2000-03-10,,2000-03-10,359.3607,2000-03-10,,2000-03-10,269.922,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,74804,2000-03-17,5.39656,2000-03-17,,2000-03-17,319.0876,2000-03-17,,2000-03-17,269.922,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,34485,2000-03-24,5.39656,2000-03-24,,2000-03-24,326.5226,2000-03-24,,2000-03-24,269.922,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,11930,2000-03-31,5.39656,2000-03-31,,2000-03-31,285.6298,2000-03-31,,2000-03-31,269.922,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,20907,2000-04-07,5.39656,2000-04-07,,2000-04-07,285.0102,2000-04-07,,2000-04-07,269.922,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,15508,2000-04-14,5.39656,2000-04-14,,2000-04-14,291.2061,2000-04-14,,2000-04-14,269.922,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,11377,2000-04-21,5.39656,2000-04-21,,2000-04-21,278.8144,2000-04-21,,2000-04-21,269.922,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,9344,2000-04-28,5.39656,2000-04-28,,2000-04-28,283.1515,2000-04-28,,2000-04-28,269.922,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,6277,2000-05-05,5.39656,2000-05-05,,2000-05-05,272.6185,2000-05-05,,2000-05-05,269.922,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,6816,2000-05-12,5.39656,2000-05-12,,2000-05-12,272.6185,2000-05-12,,2000-05-12,269.922,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,13293,2000-05-19,5.39656,2000-05-19,,2000-05-19,267.6618,2000-05-19,,2000-05-19,269.922,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,14149,2000-05-26,5.39656,2000-05-26,,2000-05-26,260.2267,2000-05-26,,2000-05-26,269.922,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,10331,2000-06-02,5.3958,2000-06-02,,2000-06-02,258.951,2000-06-02,,2000-06-02,269.922,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,35346,2000-06-09,5.3958,2000-06-09,,2000-06-09,284.97,2000-06-09,,2000-06-09,269.922,2000-06-09,
2000-06-16,,2000-06-16,,2000-06-16,16962,2000-06-16,5.3958,2000-06-16,,2000-06-16,260.19,2000-06-16,,2000-06-16,269.922,2000-06-16,
2000-06-23,,2000-06-23,,2000-06-23,3972,2000-06-23,5.3958,2000-06-23,,2000-06-23,275.6775,2000-06-23,,2000-06-23,269.922,2000-06-23,
2000-06-30,,2000-06-30,,2000-06-30,5806,2000-06-30,5.3958,2000-06-30,2.8083,2000-06-30,271.341,2000-06-30,,2000-06-30,323.697,2000-06-30,
2000-07-07,,2000-07-07,,2000-07-07,6078,2000-07-07,5.3958,2000-07-07,2.8083,2000-07-07,274.1287,2000-07-07,,2000-07-07,323.697,2000-07-07,
2000-07-14,,2000-07-14,,2000-07-14,7156,2000-07-14,5.3958,2000-07-14,2.8083,2000-07-14,267.624,2000-07-14,,2000-07-14,323.697,2000-07-14,
2000-07-21,,2000-07-21,,2000-07-21,14643,2000-07-21,5.3958,2000-07-21,2.8083,2000-07-21,287.448,2000-07-21,,2000-07-21,323.697,2000-07-21,
2000-07-28,,2000-07-28,,2000-07-28,8152,2000-07-28,5.3958,2000-07-28,2.8083,2000-07-28,294.882,2000-07-28,,2000-07-28,323.697,2000-07-28,
2000-08-04,,2000-08-04,,2000-08-04,10182,2000-08-04,5.3958,2000-08-04,2.8083,2000-08-04,307.272,2000-08-04,,2000-08-04,323.697,2000-08-04,
2000-08-11,,2000-08-11,,2000-08-11,10825,2000-08-11,5.3958,2000-08-11,2.8083,2000-08-11,304.794,2000-08-11,,2000-08-11,323.697,2000-08-11,
2000-08-18,,2000-08-18,,2000-08-18,17211,2000-08-18,5.3958,2000-08-18,2.8083,2000-08-18,296.121,2000-08-18,,2000-08-18,323.697,2000-08-18,
2000-08-25,,2000-08-25,,2000-08-25,7940,2000-08-25,5.3958,2000-08-25,2.8083,2000-08-25,294.882,2000-08-25,,2000-08-25,323.697,2000-08-25,
2000-09-01,,2000-09-01,,2000-09-01,11459,2000-09-01,5.3958,2000-09-01,2.8083,2000-09-01,291.165,2000-09-01,,2000-09-01,323.697,2000-09-01,
2000-09-08,,2000-09-08,,2000-09-08,8075,2000-09-08,5.3958,2000-09-08,2.8083,2000-09-08,288.687,2000-09-08,,2000-09-08,323.697,2000-09-08,
2000-09-15,,2000-09-15,,2000-09-15,6395,2000-09-15,5.3958,2000-09-15,2.8083,2000-09-15,289.926,2000-09-15,,2000-09-15,323.697,2000-09-15,
2000-09-22,,2000-09-22,,2000-09-22,21450,2000-09-22,5.3958,2000-09-22,2.8083,2000-09-22,294.882,2000-09-22,,2000-09-22,323.697,2000-09-22,
2000-09-29,,2000-09-29,,2000-09-29,19715,2000-09-29,5.3958,2000-09-29,2.8083,2000-09-29,296.121,2000-09-29,,2000-09-29,323.697,2000-09-29,
2000-10-06,,2000-10-06,,2000-10-06,5073,2000-10-06,5.3958,2000-10-06,2.8083,2000-10-06,292.404,2000-10-06,,2000-10-06,323.697,2000-10-06,
2000-10-13,,2000-10-13,,2000-10-13,5942,2000-10-13,5.3958,2000-10-13,2.8083,2000-10-13,297.36,2000-10-13,,2000-10-13,323.697,2000-10-13,
2000-10-20,,2000-10-20,,2000-10-20,16278,2000-10-20,5.3958,2000-10-20,2.8083,2000-10-20,272.58,2000-10-20,,2000-10-20,323.697,2000-10-20,
2000-10-27,,2000-10-27,,2000-10-27,5729,2000-10-27,5.3958,2000-10-27,2.8083,2000-10-27,272.58,2000-10-27,,2000-10-27,323.697,2000-10-27,
2000-11-03,,2000-11-03,,2000-11-03,11160,2000-11-03,5.3958,2000-11-03,2.8083,2000-11-03,284.97,2000-11-03,,2000-11-03,323.697,2000-11-03,
2000-11-10,,2000-11-10,,2000-11-10,17347,2000-11-10,5.3958,2000-11-10,2.8083,2000-11-10,284.97,2000-11-10,,2000-11-10,323.697,2000-11-10,
2000-11-17,,2000-11-17,,2000-11-17,8248,2000-11-17,5.3958,2000-11-17,2.8083,2000-11-17,284.97,2000-11-17,,2000-11-17,323.697,2000-11-17,
2000-11-24,,2000-11-24,,2000-11-24,11124,2000-11-24,5.3958,2000-11-24,2.8083,2000-11-24,284.97,2000-11-24,,2000-11-24,323.697,2000-11-24,
2000-12-01,,2000-12-01,,2000-12-01,42257,2000-12-01,5.3958,2000-12-01,2.8083,2000-12-01,278.775,2000-12-01,,2000-12-01,323.697,2000-12-01,
2000-12-08,,2000-12-08,,2000-12-08,2174,2000-12-08,5.3958,2000-12-08,2.8083,2000-12-08,278.775,2000-12-08,,2000-12-08,323.697,2000-12-08,
2000-12-15,,2000-12-15,,2000-12-15,12537,2000-12-15,5.3958,2000-12-15,2.8083,2000-12-15,263.907,2000-12-15,,2000-12-15,323.697,2000-12-15,
2000-12-22,,2000-12-22,,2000-12-22,3832,2000-12-22,5.3958,2000-12-22,2.8083,2000-12-22,235.41,2000-12-22,,2000-12-22,323.697,2000-12-22,
2000-12-29,,2000-12-29,,2000-12-29,2337,2000-12-29,5.3958,2000-12-29,2.8083,2000-12-29,266.385,2000-12-29,,2000-12-29,337.638,2000-12-29,
2001-01-05,,2001-01-05,,2001-01-05,2967,2001-01-05,5.3958,2001-01-05,2.8083,2001-01-05,241.605,2001-01-05,,2001-01-05,337.638,2001-01-05,
2001-01-12,,2001-01-12,,2001-01-12,12618,2001-01-12,5.3958,2001-01-12,2.8083,2001-01-12,266.385,2001-01-12,,2001-01-12,337.638,2001-01-12,
2001-01-19,,2001-01-19,,2001-01-19,14815,2001-01-19,5.3958,2001-01-19,2.8083,2001-01-19,278.1555,2001-01-19,,2001-01-19,337.638,2001-01-19,
2001-01-26,,2001-01-26,,2001-01-26,5141,2001-01-26,5.3958,2001-01-26,2.8083,2001-01-26,270.4117,2001-01-26,,2001-01-26,337.638,2001-01-26,
2001-02-02,,2001-02-02,,2001-02-02,5122,2001-02-02,5.3958,2001-02-02,2.8083,2001-02-02,266.6947,2001-02-02,,2001-02-02,337.638,2001-02-02,
2001-02-09,,2001-02-09,,2001-02-09,17134,2001-02-09,5.3958,2001-02-09,2.8083,2001-02-09,273.819,2001-02-09,,2001-02-09,337.638,2001-02-09,
2001-02-16,,2001-02-16,,2001-02-16,16174,2001-02-16,5.3958,2001-02-16,2.8083,2001-02-16,266.385,2001-02-16,,2001-02-16,337.638,2001-02-16,
2001-02-23,,2001-02-23,,2001-02-23,4461,2001-02-23,5.3958,2001-02-23,2.8083,2001-02-23,261.1192,2001-02-23,,2001-02-23,337.638,2001-02-23,
2001-03-02,,2001-03-02,,2001-03-02,4937,2001-03-02,5.3958,2001-03-02,2.8083,2001-03-02,258.0217,2001-03-02,,2001-03-02,337.638,2001-03-02,
2001-03-09,,2001-03-09,,2001-03-09,7632,2001-03-09,5.3958,2001-03-09,2.8083,2001-03-09,250.278,2001-03-09,,2001-03-09,337.638,2001-03-09,
2001-03-16,,2001-03-16,,2001-03-16,29376,2001-03-16,5.3958,2001-03-16,2.8083,2001-03-16,241.605,2001-03-16,,2001-03-16,337.638,2001-03-16,
2001-03-23,,2001-03-23,,2001-03-23,4923,2001-03-23,5.3958,2001-03-23,2.8083,2001-03-23,235.41,2001-03-23,,2001-03-23,337.638,2001-03-23,
2001-03-30,,2001-03-30,,2001-03-30,1880,2001-03-30,5.49161,2001-03-30,2.8083,2001-03-30,250.939,2001-03-30,,2001-03-30,337.638,2001-03-30,
