date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,1.54,2000-01-07,36.6507,2000-01-07,31892800,2000-01-07,444.34399,2000-01-07,0.29,2000-01-07,20675.8815,2000-01-07,,2000-01-07,6943.5122,2000-01-07,272.121
2000-01-14,1.54,2000-01-14,38.6444,2000-01-14,22418200,2000-01-14,444.34399,2000-01-14,0.29,2000-01-14,21800.6272,2000-01-14,,2000-01-14,6943.5122,2000-01-14,272.121
2000-01-21,1.54,2000-01-21,38.2014,2000-01-21,19134600,2000-01-21,444.34399,2000-01-21,0.29,2000-01-21,21550.6837,2000-01-21,,2000-01-21,6943.5122,2000-01-21,272.121
2000-01-28,1.54,2000-01-28,36.2322,2000-01-28,18463300,2000-01-28,444.34399,2000-01-28,0.29,2000-01-28,20439.8237,2000-01-28,,2000-01-28,6943.5122,2000-01-28,272.121
2000-02-04,1.54,2000-02-04,41.7458,2000-02-04,20661000,2000-02-04,444.34399,2000-02-04,0.29,2000-02-04,23550.2317,2000-02-04,,2000-02-04,6943.5122,2000-02-04,272.121
2000-02-11,-108.205,2000-02-11,38.8748,2000-02-11,11307000,2000-02-11,444.34399,2000-02-11,0.41,2000-02-11,22967.0302,2000-02-11,,2000-02-11,7736.9868,2000-02-11,358.336
2000-02-18,-108.205,2000-02-18,33.7981,2000-02-18,21722900,2000-02-18,444.34399,2000-02-18,0.41,2000-02-18,19967.7082,2000-02-18,,2000-02-18,7736.9868,2000-02-18,358.336
2000-02-25,-108.205,2000-02-25,35.8194,2000-02-25,19725800,2000-02-25,444.34399,2000-02-25,0.41,2000-02-25,21161.8827,2000-02-25,,2000-02-25,7736.9868,2000-02-25,358.336
2000-03-03,-108.205,2000-03-03,37.5586,2000-03-03,25199800,2000-03-03,444.34399,2000-03-03,0.41,2000-03-03,22189.4282,2000-03-03,,2000-03-03,7736.9868,2000-03-03,358.336
2000-03-10,-108.205,2000-03-10,33.187,2000-03-10,27323200,2000-03-10,444.34399,2000-03-10,0.41,2000-03-10,19606.6787,2000-03-10,,2000-03-10,7736.9868,2000-03-10,358.336
2000-03-17,-108.205,2000-03-17,40.5671,2000-03-17,31946200,2000-03-17,446.401,2000-03-17,0.41,2000-03-17,24077.754,2000-03-17,,2000-03-17,7736.9868,2000-03-17,358.336
2000-03-24,-108.205,2000-03-24,40.5201,2000-03-24,21465900,2000-03-24,446.401,2000-03-24,0.41,2000-03-24,24049.8539,2000-03-24,,2000-03-24,7736.9868,2000-03-24,358.336
2000-03-31,-108.205,2000-03-31,39.5329,2000-03-31,32742600,2000-03-31,446.401,2000-03-31,0.41,2000-03-31,23463.9526,2000-03-31,,2000-03-31,7736.9868,2000-03-31,358.336
2000-04-07,-108.205,2000-04-07,39.721,2000-04-07,23185400,2000-04-07,446.401,2000-04-07,0.41,2000-04-07,23575.5529,2000-04-07,,2000-04-07,7736.9868,2000-04-07,358.336
2000-04-14,-108.205,2000-04-14,38.2637,2000-04-14,31401100,2000-04-14,446.401,2000-04-14,0.41,2000-04-14,22710.6509,2000-04-14,,2000-04-14,7736.9868,2000-04-14,358.336
2000-04-21,-108.205,2000-04-21,41.2252,2000-04-21,20108200,2000-04-21,446.401,2000-04-21,0.41,2000-04-21,24468.3549,2000-04-21,,2000-04-21,7736.9868,2000-04-21,358.336
2000-04-28,-108.205,2000-04-28,40.6611,2000-04-28,22096000,2000-04-28,446.401,2000-04-28,0.41,2000-04-28,24133.5541,2000-04-28,,2000-04-28,7736.9868,2000-04-28,358.336
2000-05-05,-50.305,2000-05-05,35.9024,2000-05-05,28985100,2000-05-05,446.401,2000-05-05,0.27,2000-05-05,21789.9489,2000-05-05,,2000-05-05,6894.6079,2000-05-05,256.793
2000-05-12,-50.305,2000-05-12,35.1669,2000-05-12,15034100,2000-05-12,446.401,2000-05-12,0.27,2000-05-12,21343.5479,2000-05-12,,2000-05-12,6894.6079,2000-05-12,256.793
2000-05-19,-50.305,2000-05-19,33.0983,2000-05-19,18152600,2000-05-19,446.76089,2000-05-19,0.27,2000-05-19,20104.2403,2000-05-19,,2000-05-19,6894.6079,2000-05-19,256.793
2000-05-26,-50.305,2000-05-26,22.7091,2000-05-26,210334404,2000-05-26,446.76089,2000-05-26,0.27,2000-05-26,13793.7426,2000-05-26,,2000-05-26,6894.6079,2000-05-26,256.793
2000-06-02,-50.305,2000-06-02,25.1915,2000-06-02,74318300,2000-06-02,446.76089,2000-06-02,0.27,2000-06-02,15301.5606,2000-06-02,,2000-06-02,6894.6079,2000-06-02,256.793
2000-06-09,-50.305,2000-06-09,23.7664,2000-06-09,45036800,2000-06-09,446.76089,2000-06-09,0.27,2000-06-09,14435.9614,2000-06-09,,2000-06-09,6894.6079,2000-06-09,256.793
2000-06-16,-50.305,2000-06-16,23.9043,2000-06-16,25429100,2000-06-16,446.98251,2000-06-16,0.27,2000-06-16,14526.9317,2000-06-16,,2000-06-16,6894.6079,2000-06-16,256.793
2000-06-23,-50.305,2000-06-23,23.5365,2000-06-23,30809900,2000-06-23,446.98251,2000-06-23,0.27,2000-06-23,14303.4404,2000-06-23,,2000-06-23,6894.6079,2000-06-23,256.793
