,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2018-02-02,,2018-02-02,,2018-02-02,,2018-02-02,,2018-02-02,,2018-05-04,,2018-05-04,0.0,2018-02-02,38.717,2018-02-02,
1,2018-02-09,,2018-02-09,,2018-02-09,,2018-02-09,,2018-02-09,,2018-05-11,,2018-05-11,0.0,2018-02-09,38.717,2018-02-09,
2,2018-02-16,,2018-02-16,,2018-02-16,,2018-02-16,,2018-02-16,,2018-05-18,,2018-05-18,0.0,2018-02-16,38.717,2018-02-16,
3,2018-02-23,,2018-02-23,,2018-02-23,,2018-02-23,,2018-02-23,,2018-05-25,,2018-05-25,0.0,2018-02-23,38.717,2018-02-23,
4,2018-03-02,,2018-03-02,,2018-03-02,,2018-03-02,,2018-03-02,,2018-06-01,,2018-06-01,0.0,2018-03-02,38.717,2018-03-02,
5,2018-03-09,,2018-03-09,,2018-03-09,,2018-03-09,,2018-03-09,,2018-06-08,,2018-06-08,0.0,2018-03-09,38.717,2018-03-09,
6,2018-03-16,,2018-03-16,,2018-03-16,,2018-03-16,,2018-03-16,,2018-06-15,,2018-06-15,0.0,2018-03-16,38.717,2018-03-16,
7,2018-03-23,,2018-03-23,,2018-03-23,,2018-03-23,,2018-03-23,,2018-06-22,,2018-06-22,0.0,2018-03-23,38.717,2018-03-23,
8,2018-03-30,,2018-03-30,,2018-03-30,,2018-03-30,,2018-03-30,,2018-06-29,,2018-06-29,0.0,2018-03-30,38.717,2018-03-30,
9,2018-04-06,,2018-04-06,,2018-04-06,,2018-04-06,,2018-04-06,,2018-07-06,,2018-07-06,0.0,2018-04-06,38.717,2018-04-06,
10,2018-04-13,,2018-04-13,,2018-04-13,,2018-04-13,,2018-04-13,,2018-07-13,,2018-07-13,0.0,2018-04-13,38.717,2018-04-13,
11,2018-04-20,,2018-04-20,,2018-04-20,,2018-04-20,,2018-04-20,,2018-07-20,,2018-07-20,0.0,2018-04-20,38.717,2018-04-20,
12,2018-04-27,,2018-04-27,,2018-04-27,,2018-04-27,,2018-04-27,,2018-07-27,,2018-07-27,0.0,2018-04-27,38.717,2018-04-27,
13,2018-05-04,-16.749,2018-05-04,,2018-05-04,,2018-05-04,,2018-05-04,-0.77,2018-08-03,,2018-08-03,0.0,2018-05-04,47.289,2018-05-04,-29.965
14,2018-05-11,-16.749,2018-05-11,,2018-05-11,,2018-05-11,,2018-05-11,-0.77,2018-08-10,,2018-08-10,0.0,2018-05-11,47.289,2018-05-11,-29.965
