date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,1518965,2000-01-07,169.02831,2000-01-07,,2000-01-07,1991.424,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,2311787,2000-01-14,169.02831,2000-01-14,,2000-01-14,1908.448,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,2024196,2000-01-21,169.02831,2000-01-21,,2000-01-21,1908.448,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,1919373,2000-01-28,169.02831,2000-01-28,,2000-01-28,1866.96,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,1472793,2000-02-04,169.02831,2000-02-04,,2000-02-04,1846.216,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,7443569,2000-02-11,169.02831,2000-02-11,,2000-02-11,1908.448,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,3254573,2000-02-18,169.02831,2000-02-18,,2000-02-18,1823.3976,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,4509782,2000-02-25,169.02831,2000-02-25,,2000-02-25,1783.984,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,3679637,2000-03-03,169.02831,2000-03-03,,2000-03-03,1825.472,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,2854459,2000-03-10,169.02831,2000-03-10,,2000-03-10,1825.472,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,5403614,2000-03-17,169.02831,2000-03-17,,2000-03-17,1833.7696,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,1962322,2000-03-24,169.02831,2000-03-24,,2000-03-24,1750.7936,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,2368450,2000-03-31,169.02831,2000-03-31,,2000-03-31,1655.786,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,2678586,2000-04-07,169.02831,2000-04-07,,2000-04-07,1783.984,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,1289297,2000-04-14,169.02831,2000-04-14,,2000-04-14,1743.3257,2000-04-14,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,1521866,2000-04-21,169.02831,2000-04-21,,2000-04-21,1742.0811,2000-04-21,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,609045,2000-04-28,169.02831,2000-04-28,,2000-04-28,1783.984,2000-04-28,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,578089,2000-05-05,164.02934,2000-05-05,,2000-05-05,1763.4319,2000-05-05,,2000-05-05,,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,592544,2000-05-12,164.02934,2000-05-12,,2000-05-12,1803.6929,2000-05-12,,2000-05-12,,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,1121039,2000-05-19,153.09432,2000-05-19,,2000-05-19,1634.5995,2000-05-19,,2000-05-19,,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,2009754,2000-05-26,153.09432,2000-05-26,,2000-05-26,1747.3305,2000-05-26,,2000-05-26,,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,3426612,2000-06-02,164.17274,2000-06-02,,2000-06-02,1877.8029,2000-06-02,,2000-06-02,,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,956231,2000-06-09,165.83256,2000-06-09,,2000-06-09,1876.436,2000-06-09,,2000-06-09,,2000-06-09,
2000-06-16,,2000-06-16,,2000-06-16,1281666,2000-06-16,165.83256,2000-06-16,,2000-06-16,1847.5365,2000-06-16,,2000-06-16,,2000-06-16,
2000-06-23,,2000-06-23,,2000-06-23,1544184,2000-06-23,165.8407,2000-06-23,,2000-06-23,1852.1048,2000-06-23,,2000-06-23,,2000-06-23,
2000-06-30,,2000-06-30,,2000-06-30,2304779,2000-06-30,165.84234,2000-06-30,,2000-06-30,1770.7111,2000-06-30,,2000-06-30,,2000-06-30,
2000-07-07,,2000-07-07,,2000-07-07,2525973,2000-07-07,165.84234,2000-07-07,,2000-07-07,1911.9609,2000-07-07,,2000-07-07,,2000-07-07,
