,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,413.0,2000-01-07 00:00:00,73.1219,2000-01-07 00:00:00,58158100,2000-01-07 00:00:00,2071.0,2000-01-07 00:00:00,0.17,2000-01-07 00:00:00,64459.875,2000-01-07 00:00:00,0.21,2000-01-07 00:00:00,6940.0,2000-01-07 00:00:00,1328.0
1,2000-01-14 00:00:00,413.0,2000-01-14 00:00:00,78.8483,2000-01-14 00:00:00,82951400,2000-01-14 00:00:00,2071.0,2000-01-14 00:00:00,0.17,2000-01-14 00:00:00,69507.9375,2000-01-14 00:00:00,0.21,2000-01-14 00:00:00,6940.0,2000-01-14 00:00:00,1328.0
2,2000-01-21 00:00:00,413.0,2000-01-21 00:00:00,76.9395,2000-01-21 00:00:00,29750600,2000-01-21 00:00:00,2071.0,2000-01-21 00:00:00,0.17,2000-01-21 00:00:00,67825.25,2000-01-21 00:00:00,0.21,2000-01-21 00:00:00,6940.0,2000-01-21 00:00:00,1328.0
3,2000-01-28 00:00:00,413.0,2000-01-28 00:00:00,86.3367,2000-01-28 00:00:00,65083800,2000-01-28 00:00:00,2071.0,2000-01-28 00:00:00,0.17,2000-01-28 00:00:00,76109.25,2000-01-28 00:00:00,0.21,2000-01-28 00:00:00,6940.0,2000-01-28 00:00:00,1328.0
4,2000-02-04 00:00:00,413.0,2000-02-04 00:00:00,89.567,2000-02-04 00:00:00,41176500,2000-02-04 00:00:00,2071.0,2000-02-04 00:00:00,0.17,2000-02-04 00:00:00,78956.875,2000-02-04 00:00:00,0.21,2000-02-04 00:00:00,6940.0,2000-02-04 00:00:00,1328.0
5,2000-02-11 00:00:00,413.0,2000-02-11 00:00:00,88.9796,2000-02-11 00:00:00,30601800,2000-02-11 00:00:00,2071.0,2000-02-11 00:00:00,0.17,2000-02-11 00:00:00,78439.125,2000-02-11 00:00:00,0.21,2000-02-11 00:00:00,6940.0,2000-02-11 00:00:00,1328.0
6,2000-02-18 00:00:00,413.0,2000-02-18 00:00:00,83.4001,2000-02-18 00:00:00,27631600,2000-02-18 00:00:00,2071.0,2000-02-18 00:00:00,0.17,2000-02-18 00:00:00,73520.5,2000-02-18 00:00:00,0.21,2000-02-18 00:00:00,6940.0,2000-02-18 00:00:00,1328.0
7,2000-02-25 00:00:00,413.0,2000-02-25 00:00:00,72.8282,2000-02-25 00:00:00,37383600,2000-02-25 00:00:00,2071.0,2000-02-25 00:00:00,0.17,2000-02-25 00:00:00,64201.0,2000-02-25 00:00:00,0.21,2000-02-25 00:00:00,6940.0,2000-02-25 00:00:00,1328.0
8,2000-03-03 00:00:00,413.0,2000-03-03 00:00:00,85.7494,2000-03-03 00:00:00,41283500,2000-03-03 00:00:00,2071.0,2000-03-03 00:00:00,0.17,2000-03-03 00:00:00,75591.5,2000-03-03 00:00:00,0.21,2000-03-03 00:00:00,6940.0,2000-03-03 00:00:00,1328.0
9,2000-03-10 00:00:00,413.0,2000-03-10 00:00:00,82.5191,2000-03-10 00:00:00,33450900,2000-03-10 00:00:00,2071.0,2000-03-10 00:00:00,0.17,2000-03-10 00:00:00,72743.875,2000-03-10 00:00:00,0.21,2000-03-10 00:00:00,6940.0,2000-03-10 00:00:00,1328.0
10,2000-03-17 00:00:00,413.0,2000-03-17 00:00:00,86.4835,2000-03-17 00:00:00,34102100,2000-03-17 00:00:00,2071.0,2000-03-17 00:00:00,0.17,2000-03-17 00:00:00,76238.6875,2000-03-17 00:00:00,0.21,2000-03-17 00:00:00,6940.0,2000-03-17 00:00:00,1328.0
