,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2020-04-03,2.996,2020-04-03,,2020-04-03,,2020-04-03,,2020-04-03,-0.18,2020-07-03,,2020-07-03,0.0,2020-04-03,28.112,2020-04-03,-2.056
1,2020-04-10,2.996,2020-04-10,,2020-04-10,,2020-04-10,,2020-04-10,-0.18,2020-07-10,,2020-07-10,0.0,2020-04-10,28.112,2020-04-10,-2.056
2,2020-04-17,2.996,2020-04-17,,2020-04-17,,2020-04-17,,2020-04-17,-0.18,2020-07-17,,2020-07-17,0.0,2020-04-17,28.112,2020-04-17,-2.056
3,2020-04-24,2.996,2020-04-24,,2020-04-24,,2020-04-24,,2020-04-24,-0.18,2020-07-24,,2020-07-24,0.0,2020-04-24,28.112,2020-04-24,-2.056
4,2020-05-01,2.996,2020-05-01,,2020-05-01,,2020-05-01,,2020-05-01,-0.18,2020-07-31,,2020-07-31,0.0,2020-05-01,28.112,2020-05-01,-2.056
5,2020-05-08,2.996,2020-05-08,,2020-05-08,,2020-05-08,,2020-05-08,-0.18,2020-08-07,,2020-08-07,0.0,2020-05-08,28.112,2020-05-08,-2.056
6,2020-05-15,2.996,2020-05-15,,2020-05-15,,2020-05-15,,2020-05-15,-0.18,2020-08-14,,2020-08-14,0.0,2020-05-15,28.112,2020-05-15,-2.056
7,2020-05-22,2.996,2020-05-22,,2020-05-22,,2020-05-22,,2020-05-22,-0.18,2020-08-21,,2020-08-21,0.0,2020-05-22,28.112,2020-05-22,-2.056
8,2020-05-29,2.996,2020-05-29,,2020-05-29,,2020-05-29,,2020-05-29,-0.18,2020-08-28,,2020-08-28,0.0,2020-05-29,28.112,2020-05-29,-2.056
9,2020-06-05,2.996,2020-06-05,,2020-06-05,,2020-06-05,,2020-06-05,-0.18,2020-09-04,,2020-09-04,0.0,2020-06-05,28.112,2020-06-05,-2.056
10,2020-06-12,2.996,2020-06-12,,2020-06-12,,2020-06-12,,2020-06-12,-0.18,2020-09-11,,2020-09-11,0.0,2020-06-12,28.112,2020-06-12,-2.056
11,2020-06-19,2.996,2020-06-19,,2020-06-19,,2020-06-19,,2020-06-19,-0.18,2020-09-18,,2020-09-18,0.0,2020-06-19,28.112,2020-06-19,-2.056
12,2020-06-26,2.996,2020-06-26,,2020-06-26,,2020-06-26,,2020-06-26,-0.18,2020-09-25,,2020-09-25,0.0,2020-06-26,28.112,2020-06-26,-2.056
13,2020-07-03,7.868,2020-07-03,,2020-07-03,,2020-07-03,,2020-07-03,0.0025,2020-10-02,,2020-10-02,0.0,2020-07-03,40.011,2020-07-03,0.705
14,2020-07-10,7.868,2020-07-10,,2020-07-10,,2020-07-10,,2020-07-10,0.0025,2020-10-09,,2020-10-09,0.0,2020-07-10,40.011,2020-07-10,0.705
15,2020-07-17,7.868,2020-07-17,,2020-07-17,,2020-07-17,,2020-07-17,0.0025,2020-10-16,,2020-10-16,0.0,2020-07-17,40.011,2020-07-17,0.705
16,2020-07-24,7.868,2020-07-24,,2020-07-24,,2020-07-24,,2020-07-24,0.0025,2020-10-23,,2020-10-23,0.0,2020-07-24,40.011,2020-07-24,0.705
17,2020-07-31,7.868,2020-07-31,,2020-07-31,,2020-07-31,,2020-07-31,0.0025,2020-10-30,,2020-10-30,0.0,2020-07-31,40.011,2020-07-31,0.705
18,2020-08-07,7.868,2020-08-07,,2020-08-07,,2020-08-07,,2020-08-07,0.0025,2020-11-06,,2020-11-06,0.0,2020-08-07,40.011,2020-08-07,0.705
19,2020-08-14,7.868,2020-08-14,,2020-08-14,,2020-08-14,,2020-08-14,0.0025,2020-11-13,,2020-11-13,0.0,2020-08-14,40.011,2020-08-14,0.705
20,2020-08-21,7.868,2020-08-21,,2020-08-21,,2020-08-21,,2020-08-21,0.0025,2020-11-20,,2020-11-20,0.0,2020-08-21,40.011,2020-08-21,0.705
21,2020-08-28,7.868,2020-08-28,,2020-08-28,,2020-08-28,,2020-08-28,0.0025,2020-11-27,,2020-11-27,0.0,2020-08-28,40.011,2020-08-28,0.705
22,2020-09-04,7.868,2020-09-04,,2020-09-04,,2020-09-04,,2020-09-04,0.0025,2020-12-04,,2020-12-04,0.0,2020-09-04,40.011,2020-09-04,0.705
23,2020-09-11,7.868,2020-09-11,,2020-09-11,,2020-09-11,,2020-09-11,0.0025,2020-12-11,,2020-12-11,0.0,2020-09-11,40.011,2020-09-11,0.705
24,2020-09-18,7.868,2020-09-18,,2020-09-18,,2020-09-18,,2020-09-18,0.0025,2020-12-18,,2020-12-18,0.0,2020-09-18,40.011,2020-09-18,0.705
25,2020-09-25,7.868,2020-09-25,,2020-09-25,,2020-09-25,,2020-09-25,0.0025,2020-12-25,,2020-12-25,0.0,2020-09-25,40.011,2020-09-25,0.705
26,2020-10-02,0.483,2020-10-02,,2020-10-02,,2020-10-02,,2020-10-02,-0.25,2021-01-01,,2021-01-01,0.0,2020-10-02,45.305,2020-10-02,-2.44
27,2020-10-09,0.483,2020-10-09,,2020-10-09,,2020-10-09,,2020-10-09,-0.25,2021-01-08,,2021-01-08,0.0,2020-10-09,45.305,2020-10-09,-2.44
28,2020-10-16,0.483,2020-10-16,,2020-10-16,,2020-10-16,,2020-10-16,-0.25,2021-01-15,,2021-01-15,0.0,2020-10-16,45.305,2020-10-16,-2.44
29,2020-10-23,0.483,2020-10-23,,2020-10-23,,2020-10-23,,2020-10-23,-0.25,2021-01-22,,2021-01-22,0.0,2020-10-23,45.305,2020-10-23,-2.44
30,2020-10-30,0.483,2020-10-30,,2020-10-30,,2020-10-30,,2020-10-30,-0.25,2021-01-29,,2021-01-29,0.0,2020-10-30,45.305,2020-10-30,-2.44
31,2020-11-06,0.483,2020-11-06,,2020-11-06,,2020-11-06,,2020-11-06,-0.25,2021-02-05,,2021-02-05,0.0,2020-11-06,45.305,2020-11-06,-2.44
32,2020-11-13,0.483,2020-11-13,,2020-11-13,,2020-11-13,,2020-11-13,-0.25,2021-02-12,,2021-02-12,0.0,2020-11-13,45.305,2020-11-13,-2.44
33,2020-11-20,0.483,2020-11-20,,2020-11-20,,2020-11-20,,2020-11-20,-0.25,2021-02-19,,2021-02-19,0.0,2020-11-20,45.305,2020-11-20,-2.44
34,2020-11-27,0.483,2020-11-27,,2020-11-27,,2020-11-27,,2020-11-27,-0.25,2021-02-26,,2021-02-26,0.0,2020-11-27,45.305,2020-11-27,-2.44
35,2020-12-04,0.483,2020-12-04,,2020-12-04,,2020-12-04,,2020-12-04,-0.25,2021-03-05,,2021-03-05,0.0,2020-12-04,45.305,2020-12-04,-2.44
36,2020-12-11,0.483,2020-12-11,,2020-12-11,,2020-12-11,,2020-12-11,-0.25,2021-03-12,,2021-03-12,0.0,2020-12-11,45.305,2020-12-11,-2.44
37,2020-12-18,0.483,2020-12-18,,2020-12-18,,2020-12-18,,2020-12-18,-0.25,2021-03-19,,2021-03-19,0.0,2020-12-18,45.305,2020-12-18,-2.44
38,2020-12-25,0.483,2020-12-25,,2020-12-25,,2020-12-25,,2020-12-25,-0.25,2021-03-26,,2021-03-26,0.0,2020-12-25,45.305,2020-12-25,-2.44
39,2021-01-01,2.347,2021-01-01,,2021-01-01,,2021-01-01,,2021-01-01,-1.06,2021-04-02,,2021-04-02,0.0,2021-01-01,48.268,2021-01-01,-9.964
40,2021-01-08,2.347,2021-01-08,,2021-01-08,,2021-01-08,,2021-01-08,-1.06,2021-04-09,,2021-04-09,0.0,2021-01-08,48.268,2021-01-08,-9.964
41,2021-01-15,2.347,2021-01-15,,2021-01-15,,2021-01-15,,2021-01-15,-1.06,2021-04-16,,2021-04-16,0.0,2021-01-15,48.268,2021-01-15,-9.964
42,2021-01-22,2.347,2021-01-22,,2021-01-22,,2021-01-22,,2021-01-22,-1.06,2021-04-23,,2021-04-23,0.0,2021-01-22,48.268,2021-01-22,-9.964
43,2021-01-29,2.347,2021-01-29,,2021-01-29,,2021-01-29,,2021-01-29,-1.06,2021-04-30,,2021-04-30,0.0,2021-01-29,48.268,2021-01-29,-9.964
44,2021-02-05,2.347,2021-02-05,,2021-02-05,,2021-02-05,,2021-02-05,-1.06,2021-05-07,,2021-05-07,0.0,2021-02-05,48.268,2021-02-05,-9.964
45,2021-02-12,2.347,2021-02-12,,2021-02-12,,2021-02-12,,2021-02-12,-1.06,2021-05-14,,2021-05-14,0.0,2021-02-12,48.268,2021-02-12,-9.964
46,2021-02-19,2.347,2021-02-19,,2021-02-19,,2021-02-19,,2021-02-19,-1.06,2021-05-21,,2021-05-21,0.0,2021-02-19,48.268,2021-02-19,-9.964
47,2021-02-26,2.347,2021-02-26,,2021-02-26,,2021-02-26,,2021-02-26,-1.06,2021-05-28,,2021-05-28,0.0,2021-02-26,48.268,2021-02-26,-9.964
48,2021-03-05,2.347,2021-03-05,,2021-03-05,,2021-03-05,,2021-03-05,-1.06,2021-06-04,,2021-06-04,0.0,2021-03-05,48.268,2021-03-05,-9.964
49,2021-03-12,2.347,2021-03-12,,2021-03-12,,2021-03-12,,2021-03-12,-1.06,2021-06-11,,2021-06-11,0.0,2021-03-12,48.268,2021-03-12,-9.964
50,2021-03-19,2.347,2021-03-19,,2021-03-19,,2021-03-19,,2021-03-19,-1.06,2021-06-18,,2021-06-18,0.0,2021-03-19,48.268,2021-03-19,-9.964
51,2021-03-26,2.347,2021-03-26,,2021-03-26,,2021-03-26,,2021-03-26,-1.06,2021-06-25,,2021-06-25,0.0,2021-03-26,48.268,2021-03-26,-9.964
52,2021-04-02,3.345,2021-04-02,,2021-04-02,,2021-04-02,,2021-04-02,-1.04,2021-07-02,,2021-07-02,0.0,2021-04-02,55.36,2021-04-02,-12.814
53,2021-04-09,3.345,2021-04-09,,2021-04-09,,2021-04-09,,2021-04-09,-1.04,2021-07-09,,2021-07-09,0.0,2021-04-09,55.36,2021-04-09,-12.814
54,2021-04-16,3.345,2021-04-16,,2021-04-16,,2021-04-16,,2021-04-16,-1.04,2021-07-16,,2021-07-16,0.0,2021-04-16,55.36,2021-04-16,-12.814
