date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,-1.981,2000-01-07,23.2981,2000-01-07,476550,2000-01-07,47.1825,2000-01-07,0.1037,2000-01-07,693.7575,2000-01-07,0.0059,2000-01-07,70.094,2000-01-07,13.838
2000-01-14,-1.981,2000-01-14,24.6479,2000-01-14,477225,2000-01-14,47.1825,2000-01-14,0.1037,2000-01-14,733.95,2000-01-14,0.0059,2000-01-14,70.094,2000-01-14,13.838
2000-01-21,-1.981,2000-01-21,24.1491,2000-01-21,441788,2000-01-21,47.1825,2000-01-21,0.1037,2000-01-21,719.0962,2000-01-21,0.0059,2000-01-21,70.094,2000-01-21,13.838
2000-01-28,-1.981,2000-01-28,22.4765,2000-01-28,943988,2000-01-28,47.1825,2000-01-28,0.1037,2000-01-28,669.2925,2000-01-28,0.0059,2000-01-28,70.094,2000-01-28,13.838
2000-02-04,-1.981,2000-02-04,21.3615,2000-02-04,618975,2000-02-04,47.1825,2000-02-04,0.1037,2000-02-04,636.09,2000-02-04,0.0059,2000-02-04,70.094,2000-02-04,13.838
2000-02-11,-1.981,2000-02-11,21.5962,2000-02-11,666563,2000-02-11,47.1825,2000-02-11,0.1037,2000-02-11,643.08,2000-02-11,0.0059,2000-02-11,70.094,2000-02-11,13.838
2000-02-18,-1.981,2000-02-18,20.98,2000-02-18,705375,2000-02-18,47.76637,2000-02-18,0.1037,2000-02-18,632.4622,2000-02-18,0.0059,2000-02-18,70.094,2000-02-18,13.838
2000-02-25,-1.981,2000-02-25,21.8603,2000-02-25,421875,2000-02-25,47.76637,2000-02-25,0.1037,2000-02-25,658.9991,2000-02-25,0.0059,2000-02-25,70.094,2000-02-25,13.838
2000-03-03,-1.981,2000-03-03,24.2371,2000-03-03,917325,2000-03-03,47.76637,2000-03-03,0.1037,2000-03-03,730.6486,2000-03-03,0.0059,2000-03-03,70.094,2000-03-03,13.838
2000-03-10,-1.981,2000-03-10,21.9484,2000-03-10,2406375,2000-03-10,47.76637,2000-03-10,0.1037,2000-03-10,661.6527,2000-03-10,0.0059,2000-03-10,70.094,2000-03-10,13.838
2000-03-17,-1.981,2000-03-17,19.5716,2000-03-17,2055375,2000-03-17,47.76637,2000-03-17,0.1037,2000-03-17,590.0032,2000-03-17,0.0059,2000-03-17,70.094,2000-03-17,13.838
2000-03-24,-1.981,2000-03-24,19.4249,2000-03-24,744863,2000-03-24,47.76637,2000-03-24,0.1037,2000-03-24,585.5804,2000-03-24,0.0059,2000-03-24,70.094,2000-03-24,13.838
2000-03-31,3.456,2000-03-31,18.0814,2000-03-31,446513,2000-03-31,47.76637,2000-03-31,0.1481,2000-03-31,550.1979,2000-03-31,0.0059,2000-03-31,73.3,2000-03-31,17.404
2000-04-07,3.456,2000-04-07,17.4128,2000-04-07,341213,2000-04-07,47.76637,2000-04-07,0.1481,2000-04-07,529.8529,2000-04-07,0.0059,2000-04-07,73.3,2000-04-07,17.404
2000-04-14,3.456,2000-04-14,17.5581,2000-04-14,533925,2000-04-14,47.76637,2000-04-14,0.1481,2000-04-14,534.2757,2000-04-14,0.0059,2000-04-14,73.3,2000-04-14,17.404
2000-04-21,3.456,2000-04-21,18.1105,2000-04-21,336825,2000-04-21,47.76637,2000-04-21,0.1481,2000-04-21,551.0824,2000-04-21,0.0059,2000-04-21,73.3,2000-04-21,17.404
2000-04-28,3.456,2000-04-28,19.6802,2000-04-28,1245038,2000-04-28,47.76637,2000-04-28,0.1481,2000-04-28,598.8488,2000-04-28,0.0059,2000-04-28,73.3,2000-04-28,17.404
2000-05-05,3.456,2000-05-05,20.0,2000-05-05,415125,2000-05-05,47.76637,2000-05-05,0.1481,2000-05-05,608.579,2000-05-05,0.0059,2000-05-05,73.3,2000-05-05,17.404
2000-05-12,3.456,2000-05-12,19.6802,2000-05-12,540000,2000-05-12,47.76637,2000-05-12,0.1481,2000-05-12,598.8488,2000-05-12,0.0059,2000-05-12,73.3,2000-05-12,17.404
2000-05-19,3.456,2000-05-19,19.6802,2000-05-19,719550,2000-05-19,48.40324,2000-05-19,0.1481,2000-05-19,606.8332,2000-05-19,0.0059,2000-05-19,73.3,2000-05-19,17.404
2000-05-26,3.456,2000-05-26,19.3023,2000-05-26,509288,2000-05-26,48.40324,2000-05-26,0.1481,2000-05-26,595.1805,2000-05-26,0.0059,2000-05-26,73.3,2000-05-26,17.404
2000-06-02,3.456,2000-06-02,19.4186,2000-06-02,435375,2000-06-02,48.40324,2000-06-02,0.1481,2000-06-02,598.766,2000-06-02,0.0059,2000-06-02,73.3,2000-06-02,17.404
2000-06-09,3.456,2000-06-09,20.1453,2000-06-09,737775,2000-06-09,48.40324,2000-06-09,0.1481,2000-06-09,621.1749,2000-06-09,0.0059,2000-06-09,73.3,2000-06-09,17.404
2000-06-16,3.456,2000-06-16,19.8547,2000-06-16,1199813,2000-06-16,48.40324,2000-06-16,0.1481,2000-06-16,612.2113,2000-06-16,0.0059,2000-06-16,73.3,2000-06-16,17.404
2000-06-23,3.456,2000-06-23,19.8256,2000-06-23,600413,2000-06-23,48.40324,2000-06-23,0.1481,2000-06-23,611.3149,2000-06-23,0.0059,2000-06-23,73.3,2000-06-23,17.404
