,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,1590.0,2000-01-07,28.0247,2000-01-07,13937400,2000-01-07,1229.1199,2000-01-07,2.5067,2000-01-07,495949.8811,2000-01-07,1.0933,2000-01-07,32453.0,2000-01-07,6131.0
1,2000-01-14,1590.0,2000-01-14,27.9668,2000-01-14,10266075,2000-01-14,1229.1199,2000-01-14,2.5067,2000-01-14,494925.6145,2000-01-14,1.0933,2000-01-14,32453.0,2000-01-14,6131.0
2,2000-01-21,1590.0,2000-01-21,26.6935,2000-01-21,11003513,2000-01-21,1229.1199,2000-01-21,2.5067,2000-01-21,472391.7496,2000-01-21,1.0933,2000-01-21,32453.0,2000-01-21,6131.0
3,2000-01-28,1590.0,2000-01-28,24.8182,2000-01-28,14682113,2000-01-28,1229.1199,2000-01-28,2.5067,2000-01-28,439205.5122,2000-01-28,1.0933,2000-01-28,32453.0,2000-01-28,6131.0
4,2000-02-04,1590.0,2000-02-04,26.2189,2000-02-04,13667625,2000-02-04,1229.1199,2000-02-04,2.5067,2000-02-04,463992.7636,2000-02-04,1.0933,2000-02-04,32453.0,2000-02-04,6131.0
5,2000-02-11,1590.0,2000-02-11,24.7719,2000-02-11,11590500,2000-02-11,1229.1199,2000-02-11,2.5067,2000-02-11,438386.0989,2000-02-11,1.0933,2000-02-11,32453.0,2000-02-11,6131.0
6,2000-02-18,1590.0,2000-02-18,23.1745,2000-02-18,14017838,2000-02-18,1229.1199,2000-02-18,2.5067,2000-02-18,410116.3412,2000-02-18,1.0933,2000-02-18,32453.0,2000-02-18,6131.0
7,2000-02-25,1590.0,2000-02-25,23.3597,2000-02-25,12934425,2000-02-25,1229.1199,2000-02-25,2.5067,2000-02-25,413393.9942,2000-02-25,1.0933,2000-02-25,32453.0,2000-02-25,6131.0
8,2000-03-03,1590.0,2000-03-03,25.8138,2000-03-03,14994450,2000-03-03,1229.1199,2000-03-03,2.5067,2000-03-03,456822.8975,2000-03-03,1.0933,2000-03-03,32453.0,2000-03-03,6131.0
9,2000-03-10,1590.0,2000-03-10,24.3899,2000-03-10,13956038,2000-03-10,1229.1199,2000-03-10,2.5067,2000-03-10,431625.9395,2000-03-10,1.0933,2000-03-10,32453.0,2000-03-10,6131.0
10,2000-03-17,1590.0,2000-03-17,25.9064,2000-03-17,15765638,2000-03-17,1231.81613,2000-03-17,2.5067,2000-03-17,459467.4171,2000-03-17,1.0933,2000-03-17,32453.0,2000-03-17,6131.0
11,2000-03-24,1590.0,2000-03-24,29.4601,2000-03-24,16106288,2000-03-24,1231.81613,2000-03-24,2.5067,2000-03-24,522495.3425,2000-03-24,1.0933,2000-03-24,32453.0,2000-03-24,6131.0
12,2000-03-31,-500.0,2000-03-31,27.7909,2000-03-31,15718613,2000-03-31,1231.81613,2000-03-31,2.08,2000-03-31,511203.6946,2000-03-31,1.0933,2000-03-31,29925.0,2000-03-31,6201.0
13,2000-04-07,-500.0,2000-04-07,28.3602,2000-04-07,12510300,2000-04-07,1231.81613,2000-04-07,2.08,2000-04-07,521674.1317,2000-04-07,1.0933,2000-04-07,29925.0,2000-04-07,6201.0
14,2000-04-14,-500.0,2000-04-14,26.0275,2000-04-14,13978463,2000-04-14,1231.81613,2000-04-14,2.08,2000-04-14,478765.8698,2000-04-14,1.0933,2000-04-14,29925.0,2000-04-14,6201.0
15,2000-04-21,-500.0,2000-04-21,28.3044,2000-04-21,11074613,2000-04-21,1231.81613,2000-04-21,2.08,2000-04-21,520647.6183,2000-04-21,1.0933,2000-04-21,29925.0,2000-04-21,6201.0
16,2000-04-28,-500.0,2000-04-28,28.0811,2000-04-28,12820463,2000-04-28,1231.81613,2000-04-28,2.08,2000-04-28,516541.5645,2000-04-28,1.0933,2000-04-28,29925.0,2000-04-28,6201.0
17,2000-05-05,-500.0,2000-05-05,28.2151,2000-05-05,9737925,2000-05-05,1231.81613,2000-05-05,2.08,2000-05-05,519005.1968,2000-05-05,1.0933,2000-05-05,29925.0,2000-05-05,6201.0
18,2000-05-12,-500.0,2000-05-12,27.9918,2000-05-12,8040813,2000-05-12,1231.81616,2000-05-12,2.08,2000-05-12,514899.1558,2000-05-12,1.0933,2000-05-12,29925.0,2000-05-12,6201.0
19,2000-05-19,-500.0,2000-05-19,27.7909,2000-05-19,8442888,2000-05-19,1236.67822,2000-05-19,2.08,2000-05-19,513221.4624,2000-05-19,1.0933,2000-05-19,29925.0,2000-05-19,6201.0
20,2000-05-26,-500.0,2000-05-26,26.5521,2000-05-26,8012138,2000-05-26,1236.67822,2000-05-26,2.08,2000-05-26,490342.9153,2000-05-26,1.0933,2000-05-26,29925.0,2000-05-26,6201.0
21,2000-06-02,-500.0,2000-06-02,28.2597,2000-06-02,6530300,2000-06-02,1236.67822,2000-06-02,2.08,2000-06-02,521878.21,2000-06-02,1.0933,2000-06-02,29925.0,2000-06-02,6201.0
22,2000-06-09,-500.0,2000-06-09,26.7195,2000-06-09,5898538,2000-06-09,1236.67822,2000-06-09,2.08,2000-06-09,493434.6108,2000-06-09,1.0933,2000-06-09,29925.0,2000-06-09,6201.0
23,2000-06-16,-500.0,2000-06-16,27.3892,2000-06-16,8366513,2000-06-16,1236.67822,2000-06-16,2.08,2000-06-16,505801.3931,2000-06-16,1.0933,2000-06-16,29925.0,2000-06-16,6201.0
24,2000-06-23,-500.0,2000-06-23,26.7195,2000-06-23,7588013,2000-06-23,1236.67822,2000-06-23,2.08,2000-06-23,493434.6108,2000-06-23,1.0933,2000-06-23,29925.0,2000-06-23,6201.0
25,2000-06-30,-42.0,2000-06-30,26.9458,2000-06-30,8018950,2000-06-30,1236.67822,2000-06-30,2.72,2000-06-30,524351.5664,2000-06-30,1.096,2000-06-30,32727.0,2000-06-30,6982.0
26,2000-07-07,-42.0,2000-07-07,26.0879,2000-07-07,4964613,2000-07-07,1236.67822,2000-07-07,2.72,2000-07-07,507656.4104,2000-07-07,1.096,2000-07-07,32727.0,2000-07-07,6982.0
27,2000-07-14,-42.0,2000-07-14,26.1832,2000-07-14,7895850,2000-07-14,1236.67822,2000-07-14,2.72,2000-07-14,509511.4277,2000-07-14,1.096,2000-07-14,32727.0,2000-07-14,6982.0
28,2000-07-21,-42.0,2000-07-21,27.5178,2000-07-21,8016075,2000-07-21,1236.67822,2000-07-21,2.72,2000-07-21,535481.6704,2000-07-21,1.096,2000-07-21,32727.0,2000-07-21,6982.0
29,2000-07-28,-42.0,2000-07-28,25.8972,2000-07-28,7733313,2000-07-28,1237.34656,2000-07-28,2.72,2000-07-28,504218.7222,2000-07-28,1.096,2000-07-28,32727.0,2000-07-28,6982.0
30,2000-08-04,-42.0,2000-08-04,27.1365,2000-08-04,8458338,2000-08-04,1237.34656,2000-08-04,2.72,2000-08-04,528346.9801,2000-08-04,1.096,2000-08-04,32727.0,2000-08-04,6982.0
31,2000-08-11,-42.0,2000-08-11,28.757,2000-08-11,8541050,2000-08-11,1237.34656,2000-08-11,2.72,2000-08-11,559899.3173,2000-08-11,1.096,2000-08-11,32727.0,2000-08-11,6982.0
32,2000-08-18,-42.0,2000-08-18,28.5664,2000-08-18,5586088,2000-08-18,1237.34656,2000-08-18,2.72,2000-08-18,556187.2776,2000-08-18,1.096,2000-08-18,32727.0,2000-08-18,6982.0
33,2000-08-25,-42.0,2000-08-25,30.1234,2000-08-25,5911838,2000-08-25,1237.34656,2000-08-25,2.72,2000-08-25,586502.2683,2000-08-25,1.096,2000-08-25,32727.0,2000-08-25,6982.0
34,2000-09-01,-42.0,2000-09-01,29.7421,2000-09-01,6363838,2000-09-01,1237.34656,2000-09-01,2.72,2000-09-01,579078.189,2000-09-01,1.096,2000-09-01,32727.0,2000-09-01,6982.0
35,2000-09-08,-42.0,2000-09-08,30.4411,2000-09-08,5353575,2000-09-08,1237.34656,2000-09-08,2.72,2000-09-08,592689.0011,2000-09-08,1.096,2000-09-08,32727.0,2000-09-08,6982.0
36,2000-09-15,-42.0,2000-09-15,28.8524,2000-09-15,7216413,2000-09-15,1237.34656,2000-09-15,2.72,2000-09-15,561755.3372,2000-09-15,1.096,2000-09-15,32727.0,2000-09-15,6982.0
37,2000-09-22,-42.0,2000-09-22,29.1383,2000-09-22,7986650,2000-09-22,1237.34656,2000-09-22,2.72,2000-09-22,567323.3967,2000-09-22,1.096,2000-09-22,32727.0,2000-09-22,6982.0
38,2000-09-29,2651.0,2000-09-29,28.1181,2000-09-29,7700550,2000-09-29,1237.34656,2000-09-29,2.56,2000-09-29,572272.7829,2000-09-29,1.096,2000-09-29,31901.0,2000-09-29,6487.0
39,2000-10-06,2651.0,2000-10-06,28.9084,2000-10-06,7665988,2000-10-06,1237.34656,2000-10-06,2.56,2000-10-06,588358.2881,2000-10-06,1.096,2000-10-06,31901.0,2000-10-06,6487.0
40,2000-10-13,2651.0,2000-10-13,27.7229,2000-10-13,9021063,2000-10-13,1237.34656,2000-10-13,2.56,2000-10-13,564230.0303,2000-10-13,1.096,2000-10-13,31901.0,2000-10-13,6487.0
41,2000-10-20,2651.0,2000-10-20,25.4127,2000-10-20,9931800,2000-10-20,1237.34656,2000-10-20,2.56,2000-10-20,517210.8611,2000-10-20,1.096,2000-10-20,31901.0,2000-10-20,6487.0
42,2000-10-27,2651.0,2000-10-27,25.4127,2000-10-27,22586738,2000-10-27,1238.60022,2000-10-27,2.56,2000-10-27,517734.8918,2000-10-27,1.096,2000-10-27,31901.0,2000-10-27,6487.0
43,2000-11-03,2651.0,2000-11-03,25.9294,2000-11-03,9713750,2000-11-03,1238.60022,2000-11-03,2.56,2000-11-03,528262.9937,2000-11-03,1.096,2000-11-03,31901.0,2000-11-03,6487.0
