date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,7024456,2000-01-07,463.78643,2000-01-07,,2000-01-07,22275.8937,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,7414592,2000-01-14,463.78643,2000-01-14,,2000-01-14,21867.1617,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,9245746,2000-01-21,463.78643,2000-01-21,,2000-01-21,20303.7618,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,6462024,2000-01-28,463.78643,2000-01-28,,2000-01-28,20998.6062,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,7887565,2000-02-04,463.78643,2000-02-04,,2000-02-04,20497.9095,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,7602320,2000-02-11,463.78643,2000-02-11,,2000-02-11,20273.1069,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,8117123,2000-02-18,463.78643,2000-02-18,,2000-02-18,20845.3317,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,8214784,2000-02-25,463.78643,2000-02-25,,2000-02-25,20855.55,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,9114407,2000-03-03,463.78643,2000-03-03,,2000-03-03,21356.2467,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,7470836,2000-03-10,463.78643,2000-03-10,,2000-03-10,20436.5997,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,8528455,2000-03-17,463.78643,2000-03-17,,2000-03-17,21141.6624,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,6187954,2000-03-24,463.78643,2000-03-24,,2000-03-24,20763.5853,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,7794992,2000-03-31,463.78643,2000-03-31,1.8794,2000-03-31,21294.9369,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,11245760,2000-04-07,463.78643,2000-04-07,1.8794,2000-04-07,22909.4283,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,6471365,2000-04-14,463.78643,2000-04-14,1.8794,2000-04-14,23083.1394,2000-04-14,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,10359563,2000-04-21,463.78643,2000-04-21,1.8794,2000-04-21,22388.295,2000-04-21,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,5255207,2000-04-28,463.78643,2000-04-28,1.8794,2000-04-28,23277.2871,2000-04-28,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,4746527,2000-05-05,463.78643,2000-05-05,1.8794,2000-05-05,23921.04,2000-05-05,,2000-05-05,,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,4522483,2000-05-12,463.78643,2000-05-12,1.8794,2000-05-12,25504.8765,2000-05-12,,2000-05-12,,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,6516111,2000-05-19,463.78643,2000-05-19,1.8794,2000-05-19,26976.3116,2000-05-19,,2000-05-19,,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,8861271,2000-05-26,463.78643,2000-05-26,1.8794,2000-05-26,24421.7367,2000-05-26,,2000-05-26,,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,6911656,2000-06-02,463.78643,2000-06-02,1.8794,2000-06-02,26158.8477,2000-06-02,,2000-06-02,,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,5412834,2000-06-09,463.78643,2000-06-09,1.8794,2000-06-09,26383.6503,2000-06-09,,2000-06-09,,2000-06-09,
2000-06-16,,2000-06-16,,2000-06-16,3845467,2000-06-16,463.78643,2000-06-16,1.8794,2000-06-16,25954.4817,2000-06-16,,2000-06-16,,2000-06-16,
2000-06-23,,2000-06-23,,2000-06-23,4687522,2000-06-23,463.78643,2000-06-23,1.8794,2000-06-23,25300.5105,2000-06-23,,2000-06-23,,2000-06-23,
2000-06-30,,2000-06-30,,2000-06-30,10099488,2000-06-30,463.78643,2000-06-30,1.6172,2000-06-30,25750.1157,2000-06-30,,2000-06-30,,2000-06-30,
2000-07-07,,2000-07-07,,2000-07-07,4324953,2000-07-07,463.78643,2000-07-07,1.6172,2000-07-07,25954.4817,2000-07-07,,2000-07-07,,2000-07-07,
2000-07-14,,2000-07-14,,2000-07-14,2647865,2000-07-14,463.78643,2000-07-14,1.6172,2000-07-14,25259.6373,2000-07-14,,2000-07-14,,2000-07-14,
2000-07-21,,2000-07-21,,2000-07-21,4848041,2000-07-21,463.78643,2000-07-21,1.6172,2000-07-21,24973.5249,2000-07-21,,2000-07-21,,2000-07-21,
2000-07-28,,2000-07-28,,2000-07-28,7906713,2000-07-28,463.78643,2000-07-28,1.6172,2000-07-28,27303.2972,2000-07-28,,2000-07-28,,2000-07-28,
2000-08-04,,2000-08-04,,2000-08-04,7465535,2000-08-04,479.97548,2000-08-04,1.6172,2000-08-04,26797.0055,2000-08-04,,2000-08-04,,2000-08-04,
2000-08-11,,2000-08-11,,2000-08-11,3999188,2000-08-11,479.97548,2000-08-11,1.6172,2000-08-11,27494.9544,2000-08-11,,2000-08-11,,2000-08-11,
2000-08-18,,2000-08-18,,2000-08-18,2672334,2000-08-18,479.97548,2000-08-18,1.6172,2000-08-18,27473.8044,2000-08-18,,2000-08-18,,2000-08-18,
2000-08-25,,2000-08-25,,2000-08-25,3828455,2000-08-25,479.97548,2000-08-25,1.6172,2000-08-25,27854.5038,2000-08-25,,2000-08-25,,2000-08-25,
2000-09-01,,2000-09-01,,2000-09-01,7493048,2000-09-01,479.97548,2000-09-01,1.6172,2000-09-01,29186.9516,2000-09-01,,2000-09-01,,2000-09-01,
2000-09-08,,2000-09-08,,2000-09-08,3685567,2000-09-08,479.97548,2000-09-08,1.6172,2000-09-08,28975.4519,2000-09-08,,2000-09-08,,2000-09-08,
2000-09-15,,2000-09-15,,2000-09-15,4493688,2000-09-15,479.97548,2000-09-15,1.6172,2000-09-15,29609.9509,2000-09-15,,2000-09-15,,2000-09-15,
2000-09-22,,2000-09-22,,2000-09-22,7556269,2000-09-22,479.97548,2000-09-22,1.6172,2000-09-22,26014.4568,2000-09-22,,2000-09-22,,2000-09-22,
2000-09-29,,2000-09-29,,2000-09-29,4585048,2000-09-29,479.97548,2000-09-29,1.0296,2000-09-29,26797.0055,2000-09-29,,2000-09-29,,2000-09-29,
2000-10-06,,2000-10-06,,2000-10-06,5428225,2000-10-06,479.97548,2000-10-06,1.0296,2000-10-06,26479.7561,2000-10-06,,2000-10-06,,2000-10-06,
2000-10-13,,2000-10-13,,2000-10-13,9613288,2000-10-13,479.97548,2000-10-13,1.0296,2000-10-13,23561.0609,2000-10-13,,2000-10-13,,2000-10-13,
2000-10-20,,2000-10-20,,2000-10-20,5279533,2000-10-20,479.97548,2000-10-20,1.0296,2000-10-20,24956.9586,2000-10-20,,2000-10-20,,2000-10-20,
2000-10-27,,2000-10-27,,2000-10-27,5418492,2000-10-27,479.97548,2000-10-27,1.0296,2000-10-27,26374.0062,2000-10-27,,2000-10-27,,2000-10-27,
2000-11-03,,2000-11-03,,2000-11-03,6453550,2000-11-03,479.97548,2000-11-03,1.0296,2000-11-03,28235.2031,2000-11-03,,2000-11-03,,2000-11-03,
2000-11-10,,2000-11-10,,2000-11-10,4731249,2000-11-10,479.97548,2000-11-10,1.0296,2000-11-10,26775.8556,2000-11-10,,2000-11-10,,2000-11-10,
2000-11-17,,2000-11-17,,2000-11-17,7394656,2000-11-17,479.97548,2000-11-17,1.0296,2000-11-17,28108.3034,2000-11-17,,2000-11-17,,2000-11-17,
2000-11-24,,2000-11-24,,2000-11-24,7727256,2000-11-24,479.97548,2000-11-24,1.0296,2000-11-24,27198.8549,2000-11-24,,2000-11-24,,2000-11-24,
2000-12-01,,2000-12-01,,2000-12-01,5842018,2000-12-01,479.97548,2000-12-01,1.0296,2000-12-01,26627.8058,2000-12-01,,2000-12-01,,2000-12-01,
2000-12-08,,2000-12-08,,2000-12-08,8657752,2000-12-08,479.97548,2000-12-08,1.0296,2000-12-08,28087.1534,2000-12-08,,2000-12-08,,2000-12-08,
2000-12-15,,2000-12-15,,2000-12-15,6971065,2000-12-15,479.97548,2000-12-15,1.0296,2000-12-15,27071.9551,2000-12-15,,2000-12-15,,2000-12-15,
2000-12-22,,2000-12-22,,2000-12-22,5600807,2000-12-22,479.97548,2000-12-22,1.0296,2000-12-22,26902.7554,2000-12-22,,2000-12-22,,2000-12-22,
2000-12-29,,2000-12-29,10.1289,2000-12-29,1630528,2000-12-29,479.97548,2000-12-29,1.2338,2000-12-29,28002.5535,2000-12-29,,2000-12-29,,2000-12-29,
2001-01-05,,2001-01-05,10.7103,2001-01-05,7699952,2001-01-05,479.97548,2001-01-05,1.2338,2001-01-05,29609.9509,2001-01-05,,2001-01-05,,2001-01-05,
2001-01-12,,2001-01-12,11.2382,2001-01-12,9766413,2001-01-12,479.97548,2001-01-12,1.2338,2001-01-12,31069.2984,2001-01-12,,2001-01-12,,2001-01-12,
2001-01-19,,2001-01-19,10.7409,2001-01-19,8228242,2001-01-19,479.97548,2001-01-19,1.2338,2001-01-19,29694.5507,2001-01-19,,2001-01-19,,2001-01-19,
2001-01-26,,2001-01-26,10.4808,2001-01-26,7402816,2001-01-26,479.97548,2001-01-26,1.2338,2001-01-26,28975.4519,2001-01-26,,2001-01-26,,2001-01-26,
2001-02-02,,2001-02-02,10.5726,2001-02-02,6546344,2001-02-02,479.97548,2001-02-02,1.2338,2001-02-02,29229.2515,2001-02-02,,2001-02-02,,2001-02-02,
2001-02-09,,2001-02-09,10.542,2001-02-09,4384503,2001-02-09,479.97548,2001-02-09,1.2338,2001-02-09,29144.6516,2001-02-09,,2001-02-09,,2001-02-09,
2001-02-16,,2001-02-16,10.1595,2001-02-16,5263808,2001-02-16,479.97548,2001-02-16,1.2338,2001-02-16,28087.1534,2001-02-16,,2001-02-16,,2001-02-16,
2001-02-23,,2001-02-23,9.8918,2001-02-23,9114315,2001-02-23,479.97548,2001-02-23,1.2338,2001-02-23,27346.9046,2001-02-23,,2001-02-23,,2001-02-23,
2001-03-02,,2001-03-02,10.0065,2001-03-02,9971848,2001-03-02,479.97548,2001-03-02,1.2338,2001-03-02,27664.1541,2001-03-02,,2001-03-02,,2001-03-02,
2001-03-09,,2001-03-09,10.389,2001-03-09,6870265,2001-03-09,479.97548,2001-03-09,1.2338,2001-03-09,28721.6523,2001-03-09,,2001-03-09,,2001-03-09,
2001-03-16,,2001-03-16,9.624,2001-03-16,7970629,2001-03-16,480.2613,2001-03-16,1.2338,2001-03-16,26622.4999,2001-03-16,,2001-03-16,,2001-03-16,
2001-03-23,,2001-03-23,9.3103,2001-03-23,9821665,2001-03-23,480.2613,2001-03-23,1.2338,2001-03-23,25754.8349,2001-03-23,,2001-03-23,,2001-03-23,
2001-03-30,,2001-03-30,11.6604,2001-03-30,15622470,2001-03-30,480.2613,2001-03-30,1.4101,2001-03-30,29627.5833,2001-03-30,,2001-03-30,,2001-03-30,
2001-04-06,,2001-04-06,11.5771,2001-04-06,8287481,2001-04-06,480.2613,2001-04-06,1.4101,2001-04-06,29415.9577,2001-04-06,,2001-04-06,,2001-04-06,
2001-04-13,,2001-04-13,11.7103,2001-04-13,6334205,2001-04-13,480.2613,2001-04-13,1.4101,2001-04-13,29754.5587,2001-04-13,,2001-04-13,,2001-04-13,
2001-04-20,,2001-04-20,11.9102,2001-04-20,6734389,2001-04-20,480.2613,2001-04-20,1.4101,2001-04-20,30262.4601,2001-04-20,,2001-04-20,,2001-04-20,
2001-04-27,,2001-04-27,12.4266,2001-04-27,8645978,2001-04-27,480.2613,2001-04-27,1.4101,2001-04-27,31574.5388,2001-04-27,,2001-04-27,,2001-04-27,
2001-05-04,,2001-05-04,11.2439,2001-05-04,16772253,2001-05-04,480.2613,2001-05-04,1.4101,2001-05-04,28569.4553,2001-05-04,,2001-05-04,,2001-05-04,
2001-05-11,,2001-05-11,11.5021,2001-05-11,7627249,2001-05-11,480.2613,2001-05-11,1.4101,2001-05-11,29225.4947,2001-05-11,,2001-05-11,,2001-05-11,
