,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,7024456,2000-01-07 00:00:00,463.78643,2000-01-07 00:00:00,,2000-01-07 00:00:00,22275.8937,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,
1,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,7414592,2000-01-14 00:00:00,463.78643,2000-01-14 00:00:00,,2000-01-14 00:00:00,21867.1617,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,
2,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,9245746,2000-01-21 00:00:00,463.78643,2000-01-21 00:00:00,,2000-01-21 00:00:00,20303.7618,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,
3,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,6462024,2000-01-28 00:00:00,463.78643,2000-01-28 00:00:00,,2000-01-28 00:00:00,20998.6062,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,
4,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,7887565,2000-02-04 00:00:00,463.78643,2000-02-04 00:00:00,,2000-02-04 00:00:00,20497.9095,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,
5,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,7602320,2000-02-11 00:00:00,463.78643,2000-02-11 00:00:00,,2000-02-11 00:00:00,20273.1069,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,
6,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,8117123,2000-02-18 00:00:00,463.78643,2000-02-18 00:00:00,,2000-02-18 00:00:00,20845.3317,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,
7,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,8214784,2000-02-25 00:00:00,463.78643,2000-02-25 00:00:00,,2000-02-25 00:00:00,20855.55,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,
8,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,9114407,2000-03-03 00:00:00,463.78643,2000-03-03 00:00:00,,2000-03-03 00:00:00,21356.2467,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,
9,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,7470836,2000-03-10 00:00:00,463.78643,2000-03-10 00:00:00,,2000-03-10 00:00:00,20436.5997,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,
10,2000-03-17 00:00:00,,2000-03-17 00:00:00,,2000-03-17 00:00:00,8528455,2000-03-17 00:00:00,463.78643,2000-03-17 00:00:00,,2000-03-17 00:00:00,21141.6624,2000-03-17 00:00:00,,2000-03-17 00:00:00,,2000-03-17 00:00:00,
11,2000-03-24 00:00:00,,2000-03-24 00:00:00,,2000-03-24 00:00:00,6187954,2000-03-24 00:00:00,463.78643,2000-03-24 00:00:00,,2000-03-24 00:00:00,20763.5853,2000-03-24 00:00:00,,2000-03-24 00:00:00,,2000-03-24 00:00:00,
12,2000-03-31 00:00:00,,2000-03-31 00:00:00,,2000-03-31 00:00:00,7794992,2000-03-31 00:00:00,463.78643,2000-03-31 00:00:00,1.8794,2000-03-31 00:00:00,21294.9369,2000-03-31 00:00:00,,2000-03-31 00:00:00,,2000-03-31 00:00:00,
13,2000-04-07 00:00:00,,2000-04-07 00:00:00,,2000-04-07 00:00:00,11245760,2000-04-07 00:00:00,463.78643,2000-04-07 00:00:00,1.8794,2000-04-07 00:00:00,22909.4283,2000-04-07 00:00:00,,2000-04-07 00:00:00,,2000-04-07 00:00:00,
14,2000-04-14 00:00:00,,2000-04-14 00:00:00,,2000-04-14 00:00:00,6471365,2000-04-14 00:00:00,463.78643,2000-04-14 00:00:00,1.8794,2000-04-14 00:00:00,23083.1394,2000-04-14 00:00:00,,2000-04-14 00:00:00,,2000-04-14 00:00:00,
15,2000-04-21 00:00:00,,2000-04-21 00:00:00,,2000-04-21 00:00:00,10359563,2000-04-21 00:00:00,463.78643,2000-04-21 00:00:00,1.8794,2000-04-21 00:00:00,22388.295,2000-04-21 00:00:00,,2000-04-21 00:00:00,,2000-04-21 00:00:00,
16,2000-04-28 00:00:00,,2000-04-28 00:00:00,,2000-04-28 00:00:00,5255207,2000-04-28 00:00:00,463.78643,2000-04-28 00:00:00,1.8794,2000-04-28 00:00:00,23277.2871,2000-04-28 00:00:00,,2000-04-28 00:00:00,,2000-04-28 00:00:00,
17,2000-05-05 00:00:00,,2000-05-05 00:00:00,,2000-05-05 00:00:00,4746527,2000-05-05 00:00:00,463.78643,2000-05-05 00:00:00,1.8794,2000-05-05 00:00:00,23921.04,2000-05-05 00:00:00,,2000-05-05 00:00:00,,2000-05-05 00:00:00,
18,2000-05-12 00:00:00,,2000-05-12 00:00:00,,2000-05-12 00:00:00,4522483,2000-05-12 00:00:00,463.78643,2000-05-12 00:00:00,1.8794,2000-05-12 00:00:00,25504.8765,2000-05-12 00:00:00,,2000-05-12 00:00:00,,2000-05-12 00:00:00,
19,2000-05-19 00:00:00,,2000-05-19 00:00:00,,2000-05-19 00:00:00,6516111,2000-05-19 00:00:00,463.78643,2000-05-19 00:00:00,1.8794,2000-05-19 00:00:00,26976.3116,2000-05-19 00:00:00,,2000-05-19 00:00:00,,2000-05-19 00:00:00,
20,2000-05-26 00:00:00,,2000-05-26 00:00:00,,2000-05-26 00:00:00,8861271,2000-05-26 00:00:00,463.78643,2000-05-26 00:00:00,1.8794,2000-05-26 00:00:00,24421.7367,2000-05-26 00:00:00,,2000-05-26 00:00:00,,2000-05-26 00:00:00,
21,2000-06-02 00:00:00,,2000-06-02 00:00:00,,2000-06-02 00:00:00,6911656,2000-06-02 00:00:00,463.78643,2000-06-02 00:00:00,1.8794,2000-06-02 00:00:00,26158.8477,2000-06-02 00:00:00,,2000-06-02 00:00:00,,2000-06-02 00:00:00,
22,2000-06-09 00:00:00,,2000-06-09 00:00:00,,2000-06-09 00:00:00,5412834,2000-06-09 00:00:00,463.78643,2000-06-09 00:00:00,1.8794,2000-06-09 00:00:00,26383.6503,2000-06-09 00:00:00,,2000-06-09 00:00:00,,2000-06-09 00:00:00,
23,2000-06-16 00:00:00,,2000-06-16 00:00:00,,2000-06-16 00:00:00,3845467,2000-06-16 00:00:00,463.78643,2000-06-16 00:00:00,1.8794,2000-06-16 00:00:00,25954.4817,2000-06-16 00:00:00,,2000-06-16 00:00:00,,2000-06-16 00:00:00,
24,2000-06-23 00:00:00,,2000-06-23 00:00:00,,2000-06-23 00:00:00,4687522,2000-06-23 00:00:00,463.78643,2000-06-23 00:00:00,1.8794,2000-06-23 00:00:00,25300.5105,2000-06-23 00:00:00,,2000-06-23 00:00:00,,2000-06-23 00:00:00,
25,2000-06-30 00:00:00,,2000-06-30 00:00:00,,2000-06-30 00:00:00,10099488,2000-06-30 00:00:00,463.78643,2000-06-30 00:00:00,1.6172,2000-06-30 00:00:00,25750.1157,2000-06-30 00:00:00,,2000-06-30 00:00:00,,2000-06-30 00:00:00,
26,2000-07-07 00:00:00,,2000-07-07 00:00:00,,2000-07-07 00:00:00,4324953,2000-07-07 00:00:00,463.78643,2000-07-07 00:00:00,1.6172,2000-07-07 00:00:00,25954.4817,2000-07-07 00:00:00,,2000-07-07 00:00:00,,2000-07-07 00:00:00,
27,2000-07-14 00:00:00,,2000-07-14 00:00:00,,2000-07-14 00:00:00,2647865,2000-07-14 00:00:00,463.78643,2000-07-14 00:00:00,1.6172,2000-07-14 00:00:00,25259.6373,2000-07-14 00:00:00,,2000-07-14 00:00:00,,2000-07-14 00:00:00,
28,2000-07-21 00:00:00,,2000-07-21 00:00:00,,2000-07-21 00:00:00,4848041,2000-07-21 00:00:00,463.78643,2000-07-21 00:00:00,1.6172,2000-07-21 00:00:00,24973.5249,2000-07-21 00:00:00,,2000-07-21 00:00:00,,2000-07-21 00:00:00,
