,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2004-01-02,30.052,2004-01-02,,2004-01-02,,2004-01-02,,2004-01-02,,2004-08-20,29693.1061,2004-08-20,,2004-01-02,512.175,2004-01-02,99.425
1,2004-01-09,30.052,2004-01-09,,2004-01-09,,2004-01-09,,2004-01-09,,2004-08-27,29100.9437,2004-08-27,,2004-01-09,512.175,2004-01-09,99.425
2,2004-01-16,30.052,2004-01-16,,2004-01-16,,2004-01-16,,2004-01-16,,2004-09-03,27417.6673,2004-09-03,,2004-01-16,512.175,2004-01-16,99.425
3,2004-01-23,30.052,2004-01-23,,2004-01-23,,2004-01-23,,2004-01-23,,2004-09-10,28876.1413,2004-09-10,,2004-01-23,512.175,2004-01-23,99.425
4,2004-01-30,30.052,2004-01-30,,2004-01-30,,2004-01-30,,2004-01-30,,2004-09-17,32209.7963,2004-09-17,,2004-01-30,512.175,2004-01-30,99.425
5,2004-02-06,30.052,2004-02-06,,2004-02-06,,2004-02-06,,2004-02-06,,2004-09-24,32851.3055,2004-09-24,,2004-02-06,512.175,2004-02-06,99.425
6,2004-02-13,30.052,2004-02-13,,2004-02-13,,2004-02-13,,2004-02-13,,2004-10-01,36348.1803,2004-10-01,,2004-02-13,512.175,2004-02-13,99.425
7,2004-02-20,30.052,2004-02-20,,2004-02-20,,2004-02-20,,2004-02-20,,2004-10-08,37760.1062,2004-10-08,,2004-02-20,512.175,2004-02-20,99.425
8,2004-02-27,30.052,2004-02-27,,2004-02-27,,2004-02-27,,2004-02-27,,2004-10-15,39509.2493,2004-10-15,,2004-02-27,512.175,2004-02-27,99.425
9,2004-03-05,30.052,2004-03-05,,2004-03-05,,2004-03-05,,2004-03-05,,2004-10-22,47273.4706,2004-10-22,,2004-03-05,512.175,2004-03-05,99.425
10,2004-03-12,30.052,2004-03-12,,2004-03-12,,2004-03-12,,2004-03-12,,2004-10-29,55341.6399,2004-10-29,,2004-03-12,512.175,2004-03-12,99.425
11,2004-03-19,30.052,2004-03-19,,2004-03-19,,2004-03-19,,2004-03-19,,2004-11-05,49161.2816,2004-11-05,,2004-03-19,512.175,2004-03-19,99.425
12,2004-03-26,30.052,2004-03-26,,2004-03-26,,2004-03-26,,2004-03-26,,2004-11-12,52833.5001,2004-11-12,,2004-03-26,512.175,2004-03-26,99.425
13,2004-04-02,122.008,2004-04-02,,2004-04-02,,2004-04-02,,2004-04-02,,2004-11-19,46316.664,2004-11-19,,2004-04-02,651.623,2004-04-02,178.998
14,2004-04-09,122.008,2004-04-09,,2004-04-09,,2004-04-09,,2004-04-09,,2004-11-26,49048.0895,2004-11-26,,2004-04-09,651.623,2004-04-09,178.998
15,2004-04-16,122.008,2004-04-16,,2004-04-16,,2004-04-16,,2004-04-16,,2004-12-03,49324.2396,2004-12-03,,2004-04-16,651.623,2004-04-16,178.998
16,2004-04-23,122.008,2004-04-23,,2004-04-23,,2004-04-23,,2004-04-23,,2004-12-10,46931.8499,2004-12-10,,2004-04-23,651.623,2004-04-23,178.998
17,2004-04-30,122.008,2004-04-30,,2004-04-30,,2004-04-30,,2004-04-30,,2004-12-17,49236.7465,2004-12-17,,2004-04-30,651.623,2004-04-30,178.998
18,2004-05-07,122.008,2004-05-07,,2004-05-07,,2004-05-07,,2004-05-07,,2004-12-24,51374.8593,2004-12-24,,2004-05-07,651.623,2004-05-07,178.998
19,2004-05-14,122.008,2004-05-14,,2004-05-14,,2004-05-14,,2004-05-14,,2004-12-31,52711.8634,2004-12-31,,2004-05-14,651.623,2004-05-14,178.998
20,2004-05-21,122.008,2004-05-21,,2004-05-21,,2004-05-21,,2004-05-21,,2005-01-07,53001.6843,2005-01-07,,2004-05-21,651.623,2004-05-21,178.998
21,2004-05-28,122.008,2004-05-28,,2004-05-28,,2004-05-28,,2004-05-28,,2005-01-14,54674.99,2005-01-14,,2004-05-28,651.623,2004-05-28,178.998
22,2004-06-04,122.008,2004-06-04,,2004-06-04,,2004-06-04,,2004-06-04,,2005-01-21,51478.7574,2005-01-21,,2004-06-04,651.623,2004-06-04,178.998
23,2004-06-11,122.008,2004-06-11,,2004-06-11,,2004-06-11,,2004-06-11,,2005-01-28,52041.9942,2005-01-28,,2004-06-11,651.623,2004-06-11,178.998
24,2004-06-18,122.008,2004-06-18,,2004-06-18,,2004-06-18,,2004-06-18,,2005-02-04,55875.286,2005-02-04,,2004-06-18,651.623,2004-06-18,178.998
25,2004-06-25,122.008,2004-06-25,,2004-06-25,,2004-06-25,,2004-06-25,,2005-02-11,51238.1513,2005-02-11,,2004-06-25,651.623,2004-06-25,178.998
26,2004-07-02,66.313,2004-07-02,,2004-07-02,,2004-07-02,,2004-07-02,,2005-02-18,54122.6897,2005-02-18,,2004-07-02,700.212,2004-07-02,201.97
27,2004-07-09,66.313,2004-07-09,,2004-07-09,,2004-07-09,,2004-07-09,,2005-02-25,57794.4849,2005-02-25,,2004-07-09,700.212,2004-07-09,201.97
28,2004-07-16,66.313,2004-07-16,,2004-07-16,,2004-07-16,,2004-07-16,,2005-03-04,57803.8131,2005-03-04,,2004-07-16,700.212,2004-07-16,201.97
29,2004-07-23,66.313,2004-07-23,,2004-07-23,,2004-07-23,,2004-07-23,,2005-03-11,55285.1962,2005-03-11,,2004-07-23,700.212,2004-07-23,201.97
30,2004-07-30,66.313,2004-07-30,,2004-07-30,,2004-07-30,,2004-07-30,,2005-03-18,55981.7026,2005-03-18,,2004-07-30,700.212,2004-07-30,201.97
31,2004-08-06,66.313,2004-08-06,,2004-08-06,,2004-08-06,,2004-08-06,,2005-03-25,49213.858,2005-03-25,,2004-08-06,700.212,2004-08-06,201.97
32,2004-08-13,66.313,2004-08-13,,2004-08-13,,2004-08-13,,2004-08-13,,2005-04-01,49933.9687,2005-04-01,,2004-08-13,700.212,2004-08-13,201.97
33,2004-08-20,66.313,2004-08-20,,2004-08-20,,2004-08-20,,2004-08-20,,2005-04-08,53264.9339,2005-04-08,,2004-08-20,700.212,2004-08-20,201.97
34,2004-08-27,66.313,2004-08-27,,2004-08-27,,2004-08-27,,2004-08-27,,2005-04-15,51297.3361,2005-04-15,,2004-08-27,700.212,2004-08-27,201.97
35,2004-09-03,66.313,2004-09-03,,2004-09-03,,2004-09-03,,2004-09-03,,2005-04-22,59840.4222,2005-04-22,,2004-09-03,700.212,2004-09-03,201.97
36,2004-09-10,66.313,2004-09-10,,2004-09-10,,2004-09-10,,2004-09-10,,2005-04-29,61002.2375,2005-04-29,,2004-09-10,700.212,2004-09-10,201.97
37,2004-09-17,66.313,2004-09-17,,2004-09-17,,2004-09-17,,2004-09-17,,2005-05-06,63226.0464,2005-05-06,,2004-09-17,700.212,2004-09-17,201.97
38,2004-09-24,66.313,2004-09-24,,2004-09-24,,2004-09-24,,2004-09-24,,2005-05-13,63564.3315,2005-05-13,,2004-09-24,700.212,2004-09-24,201.97
39,2004-10-01,160.711,2004-10-01,,2004-10-01,,2004-10-01,,2004-10-01,,2005-05-20,67113.6531,2005-05-20,,2004-10-01,805.887,2004-10-01,253.438
40,2004-10-08,160.711,2004-10-08,,2004-10-08,,2004-10-08,,2004-10-08,,2005-05-27,73888.6293,2005-05-27,,2004-10-08,805.887,2004-10-08,253.438
41,2004-10-15,160.711,2004-10-15,,2004-10-15,,2004-10-15,,2004-10-15,,2005-06-03,77849.7265,2005-06-03,,2004-10-15,805.887,2004-10-15,253.438
42,2004-10-22,160.711,2004-10-22,,2004-10-22,,2004-10-22,,2004-10-22,,2005-06-10,78471.9466,2005-06-10,,2004-10-22,805.887,2004-10-22,253.438
43,2004-10-29,160.711,2004-10-29,,2004-10-29,,2004-10-29,,2004-10-29,,2005-06-17,77860.8376,2005-06-17,,2004-10-29,805.887,2004-10-29,253.438
44,2004-11-05,160.711,2004-11-05,,2004-11-05,,2004-11-05,,2004-11-05,,2005-06-24,82569.1544,2005-06-24,,2004-11-05,805.887,2004-11-05,253.438
