date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,2152330,2000-01-07,167.73199,2000-01-07,,2000-01-07,5879.0064,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,2617628,2000-01-14,167.73199,2000-01-14,,2000-01-14,6273.1766,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,2460630,2000-01-21,167.73199,2000-01-21,,2000-01-21,6222.857,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,1382657,2000-01-28,167.73199,2000-01-28,,2000-01-28,6524.7746,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,3517098,2000-02-04,167.73199,2000-02-04,,2000-02-04,8386.5997,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,2218215,2000-02-11,167.73199,2000-02-11,,2000-02-11,7713.9944,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,1627896,2000-02-18,167.73199,2000-02-18,,2000-02-18,6627.0911,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,1774611,2000-02-25,167.73199,2000-02-25,,2000-02-25,7051.4531,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,1427583,2000-03-03,167.73199,2000-03-03,,2000-03-03,7105.1273,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,2019341,2000-03-10,167.73199,2000-03-10,,2000-03-10,7945.4646,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,1930916,2000-03-17,167.73199,2000-03-17,,2000-03-17,8118.2285,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,1070972,2000-03-24,167.73199,2000-03-24,,2000-03-24,7715.6718,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,811372,2000-03-31,167.73199,2000-03-31,,2000-03-31,7128.6098,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,1231859,2000-04-07,167.73199,2000-04-07,,2000-04-07,7212.4758,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,492756,2000-04-14,167.73199,2000-04-14,,2000-04-14,6625.4138,2000-04-14,,2000-04-14,,2000-04-14,
