date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,53745649,2000-01-07,9291.76017,2000-01-07,,2000-01-07,62510.1857,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,63955596,2000-01-14,9291.76017,2000-01-14,,2000-01-14,61538.5248,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,79700206,2000-01-21,9291.76017,2000-01-21,,2000-01-21,58542.5703,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,69510335,2000-01-28,9291.76017,2000-01-28,,2000-01-28,59473.7454,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,81424247,2000-02-04,9291.76017,2000-02-04,,2000-02-04,56437.305,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,129059551,2000-02-11,9291.76017,2000-02-11,,2000-02-11,55384.6723,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,108141338,2000-02-18,9291.76017,2000-02-18,,2000-02-18,58097.2257,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,101847719,2000-02-25,9291.76017,2000-02-25,,2000-02-25,58542.5703,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,92429815,2000-03-03,9705.93321,2000-03-03,,2000-03-03,59671.8927,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,92515753,2000-03-10,9705.93321,2000-03-10,,2000-03-10,59967.9262,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,97846828,2000-03-17,9705.93321,2000-03-17,,2000-03-17,62082.4511,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,108633015,2000-03-24,9705.93321,2000-03-24,,2000-03-24,65338.8195,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,66118425,2000-03-31,9705.93321,2000-03-31,,2000-03-31,62674.5181,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,154667401,2000-04-07,9705.93321,2000-04-07,,2000-04-07,59883.3452,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,75090081,2000-04-14,9705.93321,2000-04-14,,2000-04-14,59629.6022,2000-04-14,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,102259663,2000-04-21,9705.93545,2000-04-21,,2000-04-21,60475.4262,2000-04-21,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,71209582,2000-04-28,9705.93545,2000-04-28,,2000-04-28,60137.1021,2000-04-28,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,91838321,2000-05-05,9705.93545,2000-05-05,,2000-05-05,59883.3591,2000-05-05,,2000-05-05,,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,82055476,2000-05-12,9705.93545,2000-05-12,,2000-05-12,61574.9794,2000-05-12,,2000-05-12,,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,63599505,2000-05-19,9705.93545,2000-05-19,,2000-05-19,60856.0407,2000-05-19,,2000-05-19,,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,107590921,2000-05-26,9705.93545,2000-05-26,,2000-05-26,61828.7224,2000-05-26,,2000-05-26,,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,111315653,2000-06-02,9705.93545,2000-06-02,,2000-06-02,64239.2814,2000-06-02,,2000-06-02,,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,109104804,2000-06-09,9705.93545,2000-06-09,,2000-06-09,65211.963,2000-06-09,,2000-06-09,,2000-06-09,
2000-06-16,,2000-06-16,,2000-06-16,125672008,2000-06-16,9705.93545,2000-06-16,,2000-06-16,65507.9966,2000-06-16,,2000-06-16,,2000-06-16,
2000-06-23,,2000-06-23,,2000-06-23,108785754,2000-06-23,9705.93545,2000-06-23,,2000-06-23,62589.9516,2000-06-23,,2000-06-23,,2000-06-23,
2000-06-30,,2000-06-30,,2000-06-30,122436265,2000-06-30,9705.93545,2000-06-30,,2000-06-30,63900.9573,2000-06-30,,2000-06-30,,2000-06-30,
2000-07-07,,2000-07-07,,2000-07-07,230751672,2000-07-07,9705.93545,2000-07-07,,2000-07-07,63308.8902,2000-07-07,,2000-07-07,,2000-07-07,
2000-07-14,,2000-07-14,,2000-07-14,261785516,2000-07-14,9705.93545,2000-07-14,,2000-07-14,70794.3101,2000-07-14,,2000-07-14,,2000-07-14,
2000-07-21,,2000-07-21,,2000-07-21,95383636,2000-07-21,9705.93545,2000-07-21,,2000-07-21,71682.4107,2000-07-21,,2000-07-21,,2000-07-21,
2000-07-28,,2000-07-28,,2000-07-28,257946191,2000-07-28,9705.93545,2000-07-28,,2000-07-28,74854.1988,2000-07-28,,2000-07-28,,2000-07-28,
2000-08-04,,2000-08-04,,2000-08-04,374017670,2000-08-04,11233.85979,2000-08-04,,2000-08-04,89623.695,2000-08-04,,2000-08-04,,2000-08-04,
2000-08-11,,2000-08-11,,2000-08-11,131085794,2000-08-11,11233.85979,2000-08-11,,2000-08-11,91238.9773,2000-08-11,,2000-08-11,,2000-08-11,
2000-08-18,,2000-08-18,,2000-08-18,108181258,2000-08-18,11233.85979,2000-08-18,,2000-08-18,92609.5199,2000-08-18,,2000-08-18,,2000-08-18,
2000-08-25,,2000-08-25,,2000-08-25,101039321,2000-08-25,11233.85979,2000-08-25,,2000-08-25,94861.1256,2000-08-25,,2000-08-25,,2000-08-25,
2000-09-01,,2000-09-01,,2000-09-01,60057258,2000-09-01,11233.85979,2000-09-01,,2000-09-01,99021.7013,2000-09-01,,2000-09-01,,2000-09-01,
2000-09-08,,2000-09-08,,2000-09-08,62118522,2000-09-08,11233.85979,2000-09-08,,2000-09-08,100734.8795,2000-09-08,,2000-09-08,,2000-09-08,
2000-09-15,,2000-09-15,,2000-09-15,102372789,2000-09-15,11233.85979,2000-09-15,,2000-09-15,97700.1066,2000-09-15,,2000-09-15,,2000-09-15,
