date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,587.0,2000-01-07,32.6014,2000-01-07,35914400,2000-01-07,3069.72998,2000-01-07,0.265,2000-01-07,148114.4716,2000-01-07,0.14,2000-01-07,6877.0,2000-01-07,1284.0
2000-01-14,587.0,2000-01-14,31.6512,2000-01-14,26316200,2000-01-14,3069.72998,2000-01-14,0.265,2000-01-14,143797.6638,2000-01-14,0.14,2000-01-14,6877.0,2000-01-14,1284.0
2000-01-21,587.0,2000-01-21,30.3632,2000-01-21,23750400,2000-01-21,3069.72998,2000-01-21,0.265,2000-01-21,137945.991,2000-01-21,0.14,2000-01-21,6877.0,2000-01-21,1284.0
2000-01-28,587.0,2000-01-28,28.5473,2000-01-28,58499200,2000-01-28,3069.72998,2000-01-28,0.265,2000-01-28,129696.0917,2000-01-28,0.14,2000-01-28,6877.0,2000-01-28,1284.0
2000-02-04,587.0,2000-02-04,27.7449,2000-02-04,38070200,2000-02-04,3069.72998,2000-02-04,0.265,2000-02-04,126050.7873,2000-02-04,0.14,2000-02-04,6877.0,2000-02-04,1284.0
2000-02-11,587.0,2000-02-11,26.1626,2000-02-11,45949600,2000-02-11,3069.72998,2000-02-11,0.265,2000-02-11,118862.1512,2000-02-11,0.14,2000-02-11,6877.0,2000-02-11,1284.0
2000-02-18,587.0,2000-02-18,26.1613,2000-02-18,40504200,2000-02-18,3069.72998,2000-02-18,0.265,2000-02-18,118856.1077,2000-02-18,0.14,2000-02-18,6877.0,2000-02-18,1284.0
2000-02-25,587.0,2000-02-25,24.3243,2000-02-25,47334600,2000-02-25,3069.72998,2000-02-25,0.265,2000-02-25,110510.2793,2000-02-25,0.14,2000-02-25,6877.0,2000-02-25,1284.0
2000-03-03,587.0,2000-03-03,24.8311,2000-03-03,45705800,2000-03-03,3069.72998,2000-03-03,0.265,2000-03-03,112812.5768,2000-03-03,0.14,2000-03-03,6877.0,2000-03-03,1284.0
2000-03-10,587.0,2000-03-10,23.9443,2000-03-10,55382200,2000-03-10,3069.72998,2000-03-10,0.265,2000-03-10,108783.5562,2000-03-10,0.14,2000-03-10,6877.0,2000-03-10,1284.0
2000-03-17,587.0,2000-03-17,26.8792,2000-03-17,54493200,2000-03-17,3069.72998,2000-03-17,0.265,2000-03-17,122117.6958,2000-03-17,0.14,2000-03-17,6877.0,2000-03-17,1284.0
2000-03-24,587.0,2000-03-24,24.4088,2000-03-24,73919400,2000-03-24,3069.72998,2000-03-24,0.265,2000-03-24,110893.9955,2000-03-24,0.14,2000-03-24,6877.0,2000-03-24,1284.0
2000-03-31,1466.0,2000-03-31,22.7346,2000-03-31,74030800,2000-03-31,2779.36597,2000-03-31,0.475,2000-03-31,97625.2296,2000-03-31,0.14,2000-03-31,7319.0,2000-03-31,2292.0
2000-04-07,1466.0,2000-04-07,23.9684,2000-04-07,61435000,2000-04-07,2779.36597,2000-04-07,0.475,2000-04-07,102923.396,2000-04-07,0.14,2000-04-07,7319.0,2000-04-07,2292.0
2000-04-14,1466.0,2000-04-14,23.7257,2000-04-14,40366600,2000-04-14,2779.36597,2000-04-14,0.475,2000-04-14,101881.1337,2000-04-14,0.14,2000-04-14,7319.0,2000-04-14,2292.0
2000-04-21,1466.0,2000-04-21,26.4159,2000-04-21,40406200,2000-04-21,2779.36597,2000-04-21,0.475,2000-04-21,113432.8735,2000-04-21,0.14,2000-04-21,7319.0,2000-04-21,2292.0
2000-04-28,1466.0,2000-04-28,26.699,2000-04-28,28282600,2000-04-28,2779.36597,2000-04-28,0.475,2000-04-28,114648.8461,2000-04-28,0.14,2000-04-28,7319.0,2000-04-28,2292.0
2000-05-05,1466.0,2000-05-05,27.1845,2000-05-05,23345400,2000-05-05,2779.36597,2000-05-05,0.475,2000-05-05,116733.3706,2000-05-05,0.14,2000-05-05,7319.0,2000-05-05,2292.0
2000-05-12,1466.0,2000-05-12,27.6699,2000-05-12,34435200,2000-05-12,2779.36597,2000-05-12,0.475,2000-05-12,118817.8951,2000-05-12,0.14,2000-05-12,7319.0,2000-05-12,2292.0
2000-05-19,1466.0,2000-05-19,28.7217,2000-05-19,26312600,2000-05-19,2781.78662,2000-05-19,0.475,2000-05-19,123441.7813,2000-05-19,0.14,2000-05-19,7319.0,2000-05-19,2292.0
2000-05-26,1466.0,2000-05-26,28.5194,2000-05-26,27583400,2000-05-26,2781.78662,2000-05-26,0.475,2000-05-26,122572.473,2000-05-26,0.14,2000-05-26,7319.0,2000-05-26,2292.0
2000-06-02,1466.0,2000-06-02,27.1845,2000-06-02,23188800,2000-06-02,2781.78662,2000-06-02,0.475,2000-06-02,116835.0381,2000-06-02,0.14,2000-06-02,7319.0,2000-06-02,2292.0
2000-06-09,1466.0,2000-06-09,27.8722,2000-06-09,20402000,2000-06-09,2781.78662,2000-06-09,0.475,2000-06-09,119790.6864,2000-06-09,0.14,2000-06-09,7319.0,2000-06-09,2292.0
2000-06-16,1466.0,2000-06-16,28.9846,2000-06-16,29998000,2000-06-16,2781.78662,2000-06-16,0.475,2000-06-16,124571.8821,2000-06-16,0.14,2000-06-16,7319.0,2000-06-16,2292.0
