,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,47398800,2000-01-07 00:00:00,1881.94354,2000-01-07 00:00:00,1.16,2000-01-07 00:00:00,91274.2618,2000-01-07 00:00:00,0.2733,2000-01-07 00:00:00,13933.0,2000-01-07 00:00:00,
1,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,37052100,2000-01-14 00:00:00,1881.94354,2000-01-14 00:00:00,1.16,2000-01-14 00:00:00,92685.7195,2000-01-14 00:00:00,0.2733,2000-01-14 00:00:00,13933.0,2000-01-14 00:00:00,
2,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,34261350,2000-01-21 00:00:00,1881.94354,2000-01-21 00:00:00,1.16,2000-01-21 00:00:00,91509.5048,2000-01-21 00:00:00,0.2733,2000-01-21 00:00:00,13933.0,2000-01-21 00:00:00,
3,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,38091750,2000-01-28 00:00:00,1881.94354,2000-01-28 00:00:00,1.16,2000-01-28 00:00:00,96214.3636,2000-01-28 00:00:00,0.2733,2000-01-28 00:00:00,13933.0,2000-01-28 00:00:00,
4,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,38252850,2000-02-04 00:00:00,1850.48401,2000-02-04 00:00:00,1.16,2000-02-04 00:00:00,100851.3785,2000-02-04 00:00:00,0.2733,2000-02-04 00:00:00,13933.0,2000-02-04 00:00:00,
5,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,34754400,2000-02-11 00:00:00,1850.48401,2000-02-11 00:00:00,1.16,2000-02-11 00:00:00,101930.8275,2000-02-11 00:00:00,0.2733,2000-02-11 00:00:00,13933.0,2000-02-11 00:00:00,
6,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,33537450,2000-02-18 00:00:00,1850.48401,2000-02-18 00:00:00,1.16,2000-02-18 00:00:00,92215.7864,2000-02-18 00:00:00,0.2733,2000-02-18 00:00:00,13933.0,2000-02-18 00:00:00,
7,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,21365700,2000-02-25 00:00:00,1850.48401,2000-02-25 00:00:00,1.16,2000-02-25 00:00:00,93603.6494,2000-02-25 00:00:00,0.2733,2000-02-25 00:00:00,13933.0,2000-02-25 00:00:00,
8,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,26649450,2000-03-03 00:00:00,1850.48401,2000-03-03 00:00:00,1.16,2000-03-03 00:00:00,100080.3435,2000-03-03 00:00:00,0.2733,2000-03-03 00:00:00,13933.0,2000-03-03 00:00:00,
9,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,24796950,2000-03-10 00:00:00,1850.48401,2000-03-10 00:00:00,1.16,2000-03-10 00:00:00,97073.307,2000-03-10 00:00:00,0.2733,2000-03-10 00:00:00,13933.0,2000-03-10 00:00:00,
10,2000-03-17 00:00:00,,2000-03-17 00:00:00,,2000-03-17 00:00:00,45238800,2000-03-17 00:00:00,1850.48401,2000-03-17 00:00:00,1.16,2000-03-17 00:00:00,112262.6965,2000-03-17 00:00:00,0.2733,2000-03-17 00:00:00,13933.0,2000-03-17 00:00:00,
11,2000-03-24 00:00:00,,2000-03-24 00:00:00,,2000-03-24 00:00:00,44946300,2000-03-24 00:00:00,1850.48401,2000-03-24 00:00:00,1.16,2000-03-24 00:00:00,118662.2871,2000-03-24 00:00:00,0.2733,2000-03-24 00:00:00,13933.0,2000-03-24 00:00:00,
12,2000-03-31 00:00:00,,2000-03-31 00:00:00,,2000-03-31 00:00:00,36065250,2000-03-31 00:00:00,1850.48401,2000-03-31 00:00:00,1.1,2000-03-31 00:00:00,107559.383,2000-03-31 00:00:00,0.32,2000-03-31 00:00:00,9373.0,2000-03-31 00:00:00,
13,2000-04-07 00:00:00,,2000-04-07 00:00:00,,2000-04-07 00:00:00,38031300,2000-04-07 00:00:00,1850.48401,2000-04-07 00:00:00,1.1,2000-04-07 00:00:00,106557.0375,2000-04-07 00:00:00,0.32,2000-04-07 00:00:00,9373.0,2000-04-07 00:00:00,
14,2000-04-14 00:00:00,,2000-04-14 00:00:00,,2000-04-14 00:00:00,45087150,2000-04-14 00:00:00,1850.48401,2000-04-14 00:00:00,1.1,2000-04-14 00:00:00,97304.6175,2000-04-14 00:00:00,0.32,2000-04-14 00:00:00,9373.0,2000-04-14 00:00:00,
15,2000-04-21 00:00:00,,2000-04-21 00:00:00,,2000-04-21 00:00:00,29139900,2000-04-21 00:00:00,1850.48401,2000-04-21 00:00:00,1.1,2000-04-21 00:00:00,95377.03,2000-04-21 00:00:00,0.32,2000-04-21 00:00:00,9373.0,2000-04-21 00:00:00,
16,2000-04-28 00:00:00,,2000-04-28 00:00:00,,2000-04-28 00:00:00,37521900,2000-04-28 00:00:00,1850.48401,2000-04-28 00:00:00,1.1,2000-04-28 00:00:00,88977.4394,2000-04-28 00:00:00,0.32,2000-04-28 00:00:00,9373.0,2000-04-28 00:00:00,
17,2000-05-05 00:00:00,,2000-05-05 00:00:00,,2000-05-05 00:00:00,46848900,2000-05-05 00:00:00,1837.42493,2000-05-05 00:00:00,1.1,2000-05-05 00:00:00,88426.0746,2000-05-05 00:00:00,0.32,2000-05-05 00:00:00,9373.0,2000-05-05 00:00:00,
18,2000-05-12 00:00:00,,2000-05-12 00:00:00,,2000-05-12 00:00:00,38566800,2000-05-12 00:00:00,1837.42493,2000-05-12 00:00:00,1.1,2000-05-12 00:00:00,87737.0403,2000-05-12 00:00:00,0.32,2000-05-12 00:00:00,9373.0,2000-05-12 00:00:00,
19,2000-05-19 00:00:00,,2000-05-19 00:00:00,,2000-05-19 00:00:00,29249700,2000-05-19 00:00:00,1236.75449,2000-05-19 00:00:00,1.1,2000-05-19 00:00:00,59776.4668,2000-05-19 00:00:00,0.32,2000-05-19 00:00:00,9373.0,2000-05-19 00:00:00,
20,2000-05-26 00:00:00,,2000-05-26 00:00:00,,2000-05-26 00:00:00,31830750,2000-05-26 00:00:00,1236.75449,2000-05-26 00:00:00,1.1,2000-05-26 00:00:00,58127.4608,2000-05-26 00:00:00,0.32,2000-05-26 00:00:00,9373.0,2000-05-26 00:00:00,
21,2000-06-02 00:00:00,,2000-06-02 00:00:00,,2000-06-02 00:00:00,26827950,2000-06-02 00:00:00,1236.75449,2000-06-02 00:00:00,1.1,2000-06-02 00:00:00,66527.0851,2000-06-02 00:00:00,0.32,2000-06-02 00:00:00,9373.0,2000-06-02 00:00:00,
22,2000-06-09 00:00:00,,2000-06-09 00:00:00,,2000-06-09 00:00:00,30608550,2000-06-09 00:00:00,1236.75449,2000-06-09 00:00:00,1.1,2000-06-09 00:00:00,60446.3755,2000-06-09 00:00:00,0.32,2000-06-09 00:00:00,9373.0,2000-06-09 00:00:00,
23,2000-06-16 00:00:00,,2000-06-16 00:00:00,,2000-06-16 00:00:00,43244900,2000-06-16 00:00:00,1236.75452,2000-06-16 00:00:00,1.1,2000-06-16 00:00:00,56195.0333,2000-06-16 00:00:00,0.32,2000-06-16 00:00:00,9373.0,2000-06-16 00:00:00,
24,2000-06-23 00:00:00,,2000-06-23 00:00:00,,2000-06-23 00:00:00,24365000,2000-06-23 00:00:00,1236.75452,2000-06-23 00:00:00,1.1,2000-06-23 00:00:00,57972.868,2000-06-23 00:00:00,0.32,2000-06-23 00:00:00,9373.0,2000-06-23 00:00:00,
25,2000-06-30 00:00:00,,2000-06-30 00:00:00,12.1324,2000-06-30 00:00:00,24914300,2000-06-30 00:00:00,1236.75452,2000-06-30 00:00:00,0.88,2000-06-30 00:00:00,56968.0049,2000-06-30 00:00:00,0.32,2000-06-30 00:00:00,9115.0,2000-06-30 00:00:00,
26,2000-07-07 00:00:00,,2000-07-07 00:00:00,13.1859,2000-07-07 00:00:00,17572600,2000-07-07 00:00:00,1236.75452,2000-07-07 00:00:00,0.88,2000-07-07 00:00:00,61915.023,2000-07-07 00:00:00,0.32,2000-07-07 00:00:00,9115.0,2000-07-07 00:00:00,
27,2000-07-14 00:00:00,,2000-07-14 00:00:00,13.8279,2000-07-14 00:00:00,21687700,2000-07-14 00:00:00,1236.75452,2000-07-14 00:00:00,0.88,2000-07-14 00:00:00,64929.6121,2000-07-14 00:00:00,0.32,2000-07-14 00:00:00,9115.0,2000-07-14 00:00:00,
28,2000-07-21 00:00:00,,2000-07-21 00:00:00,13.8886,2000-07-21 00:00:00,24217700,2000-07-21 00:00:00,1236.75452,2000-07-21 00:00:00,0.88,2000-07-21 00:00:00,65214.684,2000-07-21 00:00:00,0.32,2000-07-21 00:00:00,9115.0,2000-07-21 00:00:00,
29,2000-07-28 00:00:00,,2000-07-28 00:00:00,12.7414,2000-07-28 00:00:00,17020600,2000-07-28 00:00:00,1236.75452,2000-07-28 00:00:00,0.88,2000-07-28 00:00:00,59827.9997,2000-07-28 00:00:00,0.32,2000-07-28 00:00:00,9115.0,2000-07-28 00:00:00,
30,2000-08-04 00:00:00,,2000-08-04 00:00:00,13.8115,2000-08-04 00:00:00,35361100,2000-08-04 00:00:00,1302.755,2000-08-04 00:00:00,0.88,2000-08-04 00:00:00,68313.2156,2000-08-04 00:00:00,0.32,2000-08-04 00:00:00,9115.0,2000-08-04 00:00:00,
