,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,,2000-01-07,,2000-01-07,1887655,2000-01-07,117.438,2000-01-07,,2000-01-07,25754.1542,2000-01-07,,2000-01-07,,2000-01-07,
1,2000-01-14,,2000-01-14,,2000-01-14,1419744,2000-01-14,117.438,2000-01-14,,2000-01-14,28008.9638,2000-01-14,,2000-01-14,,2000-01-14,
2,2000-01-21,,2000-01-21,,2000-01-21,1415312,2000-01-21,117.438,2000-01-21,,2000-01-21,26188.6748,2000-01-21,,2000-01-21,,2000-01-21,
3,2000-01-28,,2000-01-28,,2000-01-28,3131213,2000-01-28,117.438,2000-01-28,,2000-01-28,24591.5179,2000-01-28,,2000-01-28,,2000-01-28,
4,2000-02-04,,2000-02-04,,2000-02-04,1444119,2000-02-04,117.438,2000-02-04,,2000-02-04,25754.1542,2000-02-04,,2000-02-04,,2000-02-04,
5,2000-02-11,,2000-02-11,,2000-02-11,1978972,2000-02-11,117.438,2000-02-11,,2000-02-11,22489.3777,2000-02-11,,2000-02-11,,2000-02-11,
6,2000-02-18,,2000-02-18,,2000-02-18,1483511,2000-02-18,117.438,2000-02-18,,2000-02-18,22548.0967,2000-02-18,,2000-02-18,,2000-02-18,
7,2000-02-25,,2000-02-25,,2000-02-25,1577639,2000-02-25,117.438,2000-02-25,,2000-02-25,25014.2948,2000-02-25,,2000-02-25,,2000-02-25,
8,2000-03-03,,2000-03-03,,2000-03-03,1330762,2000-03-03,117.438,2000-03-03,,2000-03-03,25965.5426,2000-03-03,,2000-03-03,,2000-03-03,
9,2000-03-10,,2000-03-10,,2000-03-10,1564831,2000-03-10,117.438,2000-03-10,,2000-03-10,24039.5593,2000-03-10,,2000-03-10,,2000-03-10,
10,2000-03-17,,2000-03-17,,2000-03-17,1497454,2000-03-17,117.438,2000-03-17,,2000-03-17,23734.2205,2000-03-17,,2000-03-17,,2000-03-17,
11,2000-03-24,,2000-03-24,,2000-03-24,1023634,2000-03-24,117.438,2000-03-24,,2000-03-24,23311.4437,2000-03-24,,2000-03-24,,2000-03-24,
12,2000-03-31,,2000-03-31,,2000-03-31,1247967,2000-03-31,117.438,2000-03-31,,2000-03-31,22735.9975,2000-03-31,,2000-03-31,,2000-03-31,
13,2000-04-07,,2000-04-07,,2000-04-07,1358149,2000-04-07,117.438,2000-04-07,,2000-04-07,23910.3775,2000-04-07,,2000-04-07,,2000-04-07,
14,2000-04-14,,2000-04-14,,2000-04-14,912755,2000-04-14,117.438,2000-04-14,,2000-04-14,23475.8569,2000-04-14,,2000-04-14,,2000-04-14,
15,2000-04-21,,2000-04-21,,2000-04-21,872478,2000-04-21,117.438,2000-04-21,,2000-04-21,24391.8733,2000-04-21,,2000-04-21,,2000-04-21,
16,2000-04-28,,2000-04-28,,2000-04-28,1417008,2000-04-28,117.438,2000-04-28,,2000-04-28,26059.493,2000-04-28,,2000-04-28,,2000-04-28,
17,2000-05-05,,2000-05-05,,2000-05-05,695181,2000-05-05,117.438,2000-05-05,,2000-05-05,25542.7658,2000-05-05,,2000-05-05,,2000-05-05,
18,2000-05-12,,2000-05-12,,2000-05-12,932114,2000-05-12,117.438,2000-05-12,,2000-05-12,24779.4187,2000-05-12,,2000-05-12,,2000-05-12,
19,2000-05-19,,2000-05-19,,2000-05-19,1023614,2000-05-19,117.038,2000-05-19,,2000-05-19,25865.3984,2000-05-19,,2000-05-19,,2000-05-19,
20,2000-05-26,,2000-05-26,,2000-05-26,900928,2000-05-26,118.369,2000-05-26,,2000-05-26,26088.5283,2000-05-26,,2000-05-26,,2000-05-26,
21,2000-06-02,,2000-06-02,,2000-06-02,1120656,2000-06-02,119.1811,2000-06-02,,2000-06-02,28388.9378,2000-06-02,,2000-06-02,,2000-06-02,
22,2000-06-09,,2000-06-09,,2000-06-09,789008,2000-06-09,119.1811,2000-06-09,,2000-06-09,27185.2087,2000-06-09,,2000-06-09,,2000-06-09,
23,2000-06-16,,2000-06-16,,2000-06-16,688037,2000-06-16,119.1811,2000-06-16,,2000-06-16,27316.3079,2000-06-16,,2000-06-16,,2000-06-16,
24,2000-06-23,,2000-06-23,,2000-06-23,689485,2000-06-23,119.1811,2000-06-23,,2000-06-23,27411.6528,2000-06-23,,2000-06-23,,2000-06-23,
25,2000-06-30,,2000-06-30,,2000-06-30,2228878,2000-06-30,119.1811,2000-06-30,,2000-06-30,27733.4417,2000-06-30,,2000-06-30,,2000-06-30,
26,2000-07-07,,2000-07-07,,2000-07-07,855509,2000-07-07,119.1811,2000-07-07,,2000-07-07,26577.3851,2000-07-07,,2000-07-07,,2000-07-07,
27,2000-07-14,,2000-07-14,,2000-07-14,619009,2000-07-14,119.1811,2000-07-14,,2000-07-14,26219.8418,2000-07-14,,2000-07-14,,2000-07-14,
28,2000-07-21,,2000-07-21,,2000-07-21,768402,2000-07-21,119.1811,2000-07-21,,2000-07-21,27018.3551,2000-07-21,,2000-07-21,,2000-07-21,
29,2000-07-28,,2000-07-28,,2000-07-28,1091174,2000-07-28,119.1811,2000-07-28,,2000-07-28,26196.0055,2000-07-28,,2000-07-28,,2000-07-28,
30,2000-08-04,,2000-08-04,,2000-08-04,650409,2000-08-04,119.1811,2000-08-04,,2000-08-04,26458.204,2000-08-04,,2000-08-04,,2000-08-04,
31,2000-08-11,,2000-08-11,,2000-08-11,694187,2000-08-11,119.1811,2000-08-11,,2000-08-11,25743.1174,2000-08-11,,2000-08-11,,2000-08-11,
32,2000-08-18,,2000-08-18,,2000-08-18,597340,2000-08-18,119.3811,2000-08-18,,2000-08-18,25081.9698,2000-08-18,,2000-08-18,,2000-08-18,
33,2000-08-25,,2000-08-25,,2000-08-25,943342,2000-08-25,119.3811,2000-08-25,,2000-08-25,24473.1262,2000-08-25,,2000-08-25,,2000-08-25,
34,2000-09-01,,2000-09-01,,2000-09-01,1359009,2000-09-01,119.3811,2000-09-01,,2000-09-01,26096.7092,2000-09-01,,2000-09-01,,2000-09-01,
35,2000-09-08,,2000-09-08,,2000-09-08,886240,2000-09-08,119.3811,2000-09-08,,2000-09-08,25846.0089,2000-09-08,,2000-09-08,,2000-09-08,
36,2000-09-15,,2000-09-15,,2000-09-15,1466719,2000-09-15,119.3811,2000-09-15,,2000-09-15,24401.4976,2000-09-15,,2000-09-15,,2000-09-15,
37,2000-09-22,,2000-09-22,,2000-09-22,2451396,2000-09-22,119.3861,2000-09-22,,2000-09-22,24772.6159,2000-09-22,,2000-09-22,,2000-09-22,
38,2000-09-29,,2000-09-29,,2000-09-29,1845267,2000-09-29,119.3861,2000-09-29,,2000-09-29,23817.5271,2000-09-29,,2000-09-29,,2000-09-29,
39,2000-10-06,,2000-10-06,,2000-10-06,1309486,2000-10-06,119.3861,2000-10-06,,2000-10-06,22910.1927,2000-10-06,,2000-10-06,,2000-10-06,
