date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,706.0,2000-01-07,46.7308,2000-01-07,46365600,2000-01-07,4939.60596,2000-01-07,-0.01,2000-01-07,150040.5309,2000-01-07,0.08,2000-01-07,4803.0,2000-01-07,532.0
2000-01-14,706.0,2000-01-14,46.9712,2000-01-14,40131000,2000-01-14,4939.60596,2000-01-14,-0.01,2000-01-14,150812.3444,2000-01-14,0.08,2000-01-14,4803.0,2000-01-14,532.0
2000-01-21,706.0,2000-01-21,51.4423,2000-01-21,54132000,2000-01-21,4939.60596,2000-01-21,-0.01,2000-01-21,165168.0742,2000-01-21,0.08,2000-01-21,4803.0,2000-01-21,532.0
2000-01-28,706.0,2000-01-28,43.7981,2000-01-28,73184400,2000-01-28,4939.60596,2000-01-28,-0.01,2000-01-28,140624.4071,2000-01-28,0.08,2000-01-28,4803.0,2000-01-28,532.0
2000-02-04,706.0,2000-02-04,43.2692,2000-02-04,46979400,2000-02-04,4939.60596,2000-02-04,-0.01,2000-02-04,138926.4175,2000-02-04,0.08,2000-02-04,4803.0,2000-02-04,532.0
2000-02-11,706.0,2000-02-11,42.7404,2000-02-11,39672800,2000-02-11,4939.60596,2000-02-11,-0.01,2000-02-11,137228.428,2000-02-11,0.08,2000-02-11,4803.0,2000-02-11,532.0
2000-02-18,706.0,2000-02-18,39.5192,2000-02-18,44958400,2000-02-18,4939.60596,2000-02-18,-0.01,2000-02-18,126886.128,2000-02-18,0.08,2000-02-18,4803.0,2000-02-18,532.0
2000-02-25,706.0,2000-02-25,37.4519,2000-02-25,47921400,2000-02-25,4939.60596,2000-02-25,-0.01,2000-02-25,120248.5325,2000-02-25,0.08,2000-02-25,4803.0,2000-02-25,532.0
2000-03-03,706.0,2000-03-03,38.5577,2000-03-03,57118400,2000-03-03,4939.60596,2000-03-03,-0.01,2000-03-03,123798.8743,2000-03-03,0.08,2000-03-03,4803.0,2000-03-03,532.0
2000-03-10,706.0,2000-03-10,35.0,2000-03-10,72196400,2000-03-10,4943.1499,2000-03-10,-0.01,2000-03-10,112456.6603,2000-03-10,0.08,2000-03-10,4803.0,2000-03-10,532.0
2000-03-17,706.0,2000-03-17,37.7885,2000-03-17,81087600,2000-03-17,4943.1499,2000-03-17,-0.01,2000-03-17,121416.1195,2000-03-17,0.08,2000-03-17,4803.0,2000-03-17,532.0
