date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,172774211,2000-01-07,10958.1103,2000-01-07,,2000-01-07,37315.74,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,262936543,2000-01-14,10958.1103,2000-01-14,,2000-01-14,37095.1,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,247327134,2000-01-21,10958.1103,2000-01-21,,2000-01-21,35302.4,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,147100004,2000-01-28,10958.1103,2000-01-28,,2000-01-28,35467.88,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,166692742,2000-02-04,10958.1103,2000-02-04,,2000-02-04,33647.6,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,266153964,2000-02-11,10958.1103,2000-02-11,,2000-02-11,34530.16,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,523641336,2000-02-18,10958.1103,2000-02-18,,2000-02-18,32820.2,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,256912668,2000-02-25,10958.1103,2000-02-25,,2000-02-25,28628.04,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,317705777,2000-03-03,10958.1103,2000-03-03,,2000-03-03,31192.98,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,453813634,2000-03-10,11038.74393,2000-03-10,,2000-03-10,30641.34,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,266925240,2000-03-17,11038.74393,2000-03-17,,2000-03-17,33391.56,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,235943177,2000-03-24,11038.74393,2000-03-24,,2000-03-24,36947.4,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,234175087,2000-03-31,11038.74393,2000-03-31,,2000-03-31,36780.72,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,232015277,2000-04-07,11038.74393,2000-04-07,,2000-04-07,36225.12,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,136021197,2000-04-14,11038.74393,2000-04-14,,2000-04-14,36558.48,2000-04-14,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,85944334,2000-04-21,11038.74393,2000-04-21,,2000-04-21,36752.94,2000-04-21,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,105283734,2000-04-28,11038.74393,2000-04-28,,2000-04-28,34891.68,2000-04-28,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,136942009,2000-05-05,11038.74393,2000-05-05,,2000-05-05,35475.06,2000-05-05,,2000-05-05,,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,148149902,2000-05-12,11038.74393,2000-05-12,,2000-05-12,34725.0,2000-05-12,,2000-05-12,,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,97644413,2000-05-19,11081.07659,2000-05-19,,2000-05-19,35943.765,2000-05-19,,2000-05-19,,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,212818613,2000-05-26,11081.07659,2000-05-26,,2000-05-26,40544.79,2000-05-26,,2000-05-26,,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,133017997,2000-06-02,11081.07659,2000-06-02,,2000-06-02,40433.25,2000-06-02,,2000-06-02,,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,169927168,2000-06-09,11083.09243,2000-06-09,,2000-06-09,38655.54,2000-06-09,,2000-06-09,,2000-06-09,
