,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,1025.0,2000-01-07,30.8967,2000-01-07,18080400,2000-01-07,1090.521,2000-01-07,0.73,2000-01-07,77495.1483,2000-01-07,0.23,2000-01-07,2820.5,2000-01-07,1068.8
1,2000-01-14,1025.0,2000-01-14,29.7011,2000-01-14,17103500,2000-01-14,1090.521,2000-01-14,0.73,2000-01-14,74496.2155,2000-01-14,0.23,2000-01-14,2820.5,2000-01-14,1068.8
2,2000-01-21,1025.0,2000-01-21,28.1522,2000-01-21,10475500,2000-01-21,1090.521,2000-01-21,0.73,2000-01-21,70611.2345,2000-01-21,0.23,2000-01-21,2820.5,2000-01-21,1068.8
3,2000-01-28,1025.0,2000-01-28,28.3967,2000-01-28,16925400,2000-01-28,1090.521,2000-01-28,0.73,2000-01-28,71224.6526,2000-01-28,0.23,2000-01-28,2820.5,2000-01-28,1068.8
4,2000-02-04,1025.0,2000-02-04,28.2065,2000-02-04,12742900,2000-02-04,1090.521,2000-02-04,0.73,2000-02-04,70747.5496,2000-02-04,0.23,2000-02-04,2820.5,2000-02-04,1068.8
5,2000-02-11,1025.0,2000-02-11,26.7935,2000-02-11,13053200,2000-02-11,1090.521,2000-02-11,0.73,2000-02-11,67203.3564,2000-02-11,0.23,2000-02-11,2820.5,2000-02-11,1068.8
6,2000-02-18,1025.0,2000-02-18,25.4348,2000-02-18,16014700,2000-02-18,1090.521,2000-02-18,0.73,2000-02-18,63795.4783,2000-02-18,0.23,2000-02-18,2820.5,2000-02-18,1068.8
7,2000-02-25,1025.0,2000-02-25,24.6467,2000-02-25,10373700,2000-02-25,1090.521,2000-02-25,0.73,2000-02-25,61818.909,2000-02-25,0.23,2000-02-25,2820.5,2000-02-25,1068.8
8,2000-03-03,1025.0,2000-03-03,25.2174,2000-03-03,16339300,2000-03-03,1090.521,2000-03-03,0.73,2000-03-03,63250.2178,2000-03-03,0.23,2000-03-03,2820.5,2000-03-03,1068.8
9,2000-03-10,1025.0,2000-03-10,26.6033,2000-03-10,18219700,2000-03-10,1090.521,2000-03-10,0.73,2000-03-10,66726.2534,2000-03-10,0.23,2000-03-10,2820.5,2000-03-10,1068.8
10,2000-03-17,1025.0,2000-03-17,26.6848,2000-03-17,18790400,2000-03-17,1090.521,2000-03-17,0.73,2000-03-17,66930.7261,2000-03-17,0.23,2000-03-17,2820.5,2000-03-17,1068.8
