date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2001-07-20,,2001-07-20,,2001-07-20,574375.0,2001-07-20,322.42446,2001-07-20,,2001-07-20,1084.05,2001-07-20,,2001-07-20,,2001-07-20,
2001-07-27,,2001-07-27,,2001-07-27,10733228.0,2001-07-27,322.42446,2001-07-27,,2001-07-27,993.465,2001-07-27,,2001-07-27,,2001-07-27,
2001-08-03,,2001-08-03,,2001-08-03,2369671.0,2001-08-03,322.42446,2001-08-03,,2001-08-03,1057.32,2001-08-03,,2001-08-03,,2001-08-03,
2001-08-10,,2001-08-10,,2001-08-10,4208723.0,2001-08-10,322.42446,2001-08-10,,2001-08-10,1079.595,2001-08-10,,2001-08-10,,2001-08-10,
2001-08-17,,2001-08-17,,2001-08-17,3209085.0,2001-08-17,322.42446,2001-08-17,,2001-08-17,1097.415,2001-08-17,,2001-08-17,,2001-08-17,
2001-08-24,,2001-08-24,,2001-08-24,5924458.0,2001-08-24,322.42446,2001-08-24,,2001-08-24,1092.96,2001-08-24,,2001-08-24,,2001-08-24,
2001-08-31,,2001-08-31,,2001-08-31,4032587.0,2001-08-31,322.42446,2001-08-31,,2001-08-31,1066.23,2001-08-31,,2001-08-31,,2001-08-31,
2001-09-07,,2001-09-07,,2001-09-07,13840761.0,2001-09-07,322.42446,2001-09-07,,2001-09-07,1023.9075,2001-09-07,,2001-09-07,,2001-09-07,
2001-09-14,,2001-09-14,,2001-09-14,8503583.0,2001-09-14,322.42446,2001-09-14,,2001-09-14,935.55,2001-09-14,,2001-09-14,,2001-09-14,
2001-09-21,,2001-09-21,,2001-09-21,12218065.0,2001-09-21,322.42446,2001-09-21,,2001-09-21,867.24,2001-09-21,,2001-09-21,,2001-09-21,
2001-09-28,36.5,2001-09-28,,2001-09-28,8865984.0,2001-09-28,322.42446,2001-09-28,0.0709,2001-09-28,1003.86,2001-09-28,0.0101,2001-09-28,102.6,2001-09-28,43.5
2001-10-05,36.5,2001-10-05,,2001-10-05,4258858.0,2001-10-05,322.42446,2001-10-05,0.0709,2001-10-05,986.04,2001-10-05,0.0101,2001-10-05,102.6,2001-10-05,43.5
2001-10-12,36.5,2001-10-12,,2001-10-12,2502823.0,2001-10-12,322.42446,2001-10-12,0.0709,2001-10-12,1024.65,2001-10-12,0.0101,2001-10-12,102.6,2001-10-12,43.5
2001-10-19,36.5,2001-10-19,,2001-10-19,2939685.0,2001-10-19,322.42446,2001-10-19,0.0709,2001-10-19,1027.62,2001-10-19,0.0101,2001-10-19,102.6,2001-10-19,43.5
2001-10-26,36.5,2001-10-26,,2001-10-26,2114738.0,2001-10-26,322.42446,2001-10-26,0.0709,2001-10-26,1035.7875,2001-10-26,0.0101,2001-10-26,102.6,2001-10-26,43.5
2001-11-02,36.5,2001-11-02,,2001-11-02,3540950.0,2001-11-02,322.42446,2001-11-02,0.0709,2001-11-02,1042.47,2001-11-02,0.0101,2001-11-02,102.6,2001-11-02,43.5
2001-11-09,36.5,2001-11-09,,2001-11-09,5980162.0,2001-11-09,322.42446,2001-11-09,0.0709,2001-11-09,1131.57,2001-11-09,0.0101,2001-11-09,102.6,2001-11-09,43.5
