date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,193.9151,2000-01-07,33.5325,2000-01-07,6873035,2000-01-07,464.28001,2000-01-07,1.32,2000-01-07,35656.7051,2000-01-07,0.2,2000-01-07,7998.5426,2000-01-07,1763.6827
2000-01-14,193.9151,2000-01-14,41.0424,2000-01-14,7399950,2000-01-14,464.28001,2000-01-14,1.32,2000-01-14,43642.3213,2000-01-14,0.2,2000-01-14,7998.5426,2000-01-14,1763.6827
2000-01-21,193.9151,2000-01-21,37.8114,2000-01-21,6009325,2000-01-21,464.28001,2000-01-21,1.32,2000-01-21,40206.6492,2000-01-21,0.2,2000-01-21,7998.5426,2000-01-21,1763.6827
2000-01-28,193.9151,2000-01-28,36.8508,2000-01-28,3660920,2000-01-28,464.28001,2000-01-28,1.32,2000-01-28,39185.2332,2000-01-28,0.2,2000-01-28,7998.5426,2000-01-28,1763.6827
2000-02-04,193.9151,2000-02-04,38.51,2000-02-04,4442880,2000-02-04,464.28001,2000-02-04,1.32,2000-02-04,40949.4972,2000-02-04,0.2,2000-02-04,7998.5426,2000-02-04,1763.6827
2000-02-11,193.9151,2000-02-11,35.7418,2000-02-11,6385245,2000-02-11,464.28001,2000-02-11,1.32,2000-02-11,38005.9619,2000-02-11,0.2,2000-02-11,7998.5426,2000-02-11,1763.6827
2000-02-18,193.9151,2000-02-18,32.8514,2000-02-18,5413360,2000-02-18,464.28001,2000-02-18,1.32,2000-02-18,34932.4283,2000-02-18,0.2,2000-02-18,7998.5426,2000-02-18,1763.6827
2000-02-25,193.9151,2000-02-25,34.3795,2000-02-25,5228715,2000-02-25,464.28001,2000-02-25,1.32,2000-02-25,36557.4083,2000-02-25,0.2,2000-02-25,7998.5426,2000-02-25,1763.6827
2000-03-03,193.9151,2000-03-03,31.8733,2000-03-03,5225715,2000-03-03,464.28001,2000-03-03,1.32,2000-03-03,33892.441,2000-03-03,0.2,2000-03-03,7998.5426,2000-03-03,1763.6827
2000-03-10,193.9151,2000-03-10,36.4142,2000-03-10,9704050,2000-03-10,464.28001,2000-03-10,1.32,2000-03-10,38720.9532,2000-03-10,0.2,2000-03-10,7998.5426,2000-03-10,1763.6827
