,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,193.9151,2000-01-07 00:00:00,33.5325,2000-01-07 00:00:00,6873035,2000-01-07 00:00:00,464.28001,2000-01-07 00:00:00,1.32,2000-01-07 00:00:00,35656.7051,2000-01-07 00:00:00,0.2,2000-01-07 00:00:00,7998.5426,2000-01-07 00:00:00,1763.6827
1,2000-01-14 00:00:00,193.9151,2000-01-14 00:00:00,41.0424,2000-01-14 00:00:00,7399950,2000-01-14 00:00:00,464.28001,2000-01-14 00:00:00,1.32,2000-01-14 00:00:00,43642.3213,2000-01-14 00:00:00,0.2,2000-01-14 00:00:00,7998.5426,2000-01-14 00:00:00,1763.6827
2,2000-01-21 00:00:00,193.9151,2000-01-21 00:00:00,37.8114,2000-01-21 00:00:00,6009325,2000-01-21 00:00:00,464.28001,2000-01-21 00:00:00,1.32,2000-01-21 00:00:00,40206.6492,2000-01-21 00:00:00,0.2,2000-01-21 00:00:00,7998.5426,2000-01-21 00:00:00,1763.6827
3,2000-01-28 00:00:00,193.9151,2000-01-28 00:00:00,36.8508,2000-01-28 00:00:00,3660920,2000-01-28 00:00:00,464.28001,2000-01-28 00:00:00,1.32,2000-01-28 00:00:00,39185.2332,2000-01-28 00:00:00,0.2,2000-01-28 00:00:00,7998.5426,2000-01-28 00:00:00,1763.6827
4,2000-02-04 00:00:00,193.9151,2000-02-04 00:00:00,38.51,2000-02-04 00:00:00,4442880,2000-02-04 00:00:00,464.28001,2000-02-04 00:00:00,1.32,2000-02-04 00:00:00,40949.4972,2000-02-04 00:00:00,0.2,2000-02-04 00:00:00,7998.5426,2000-02-04 00:00:00,1763.6827
5,2000-02-11 00:00:00,193.9151,2000-02-11 00:00:00,35.7418,2000-02-11 00:00:00,6385245,2000-02-11 00:00:00,464.28001,2000-02-11 00:00:00,1.32,2000-02-11 00:00:00,38005.9619,2000-02-11 00:00:00,0.2,2000-02-11 00:00:00,7998.5426,2000-02-11 00:00:00,1763.6827
6,2000-02-18 00:00:00,193.9151,2000-02-18 00:00:00,32.8514,2000-02-18 00:00:00,5413360,2000-02-18 00:00:00,464.28001,2000-02-18 00:00:00,1.32,2000-02-18 00:00:00,34932.4283,2000-02-18 00:00:00,0.2,2000-02-18 00:00:00,7998.5426,2000-02-18 00:00:00,1763.6827
7,2000-02-25 00:00:00,193.9151,2000-02-25 00:00:00,34.3795,2000-02-25 00:00:00,5228715,2000-02-25 00:00:00,464.28001,2000-02-25 00:00:00,1.32,2000-02-25 00:00:00,36557.4083,2000-02-25 00:00:00,0.2,2000-02-25 00:00:00,7998.5426,2000-02-25 00:00:00,1763.6827
8,2000-03-03 00:00:00,193.9151,2000-03-03 00:00:00,31.8733,2000-03-03 00:00:00,5225715,2000-03-03 00:00:00,464.28001,2000-03-03 00:00:00,1.32,2000-03-03 00:00:00,33892.441,2000-03-03 00:00:00,0.2,2000-03-03 00:00:00,7998.5426,2000-03-03 00:00:00,1763.6827
9,2000-03-10 00:00:00,193.9151,2000-03-10 00:00:00,36.4142,2000-03-10 00:00:00,9704050,2000-03-10 00:00:00,464.28001,2000-03-10 00:00:00,1.32,2000-03-10 00:00:00,38720.9532,2000-03-10 00:00:00,0.2,2000-03-10 00:00:00,7998.5426,2000-03-10 00:00:00,1763.6827
