date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,91.4,2000-01-07,28.4821,2000-01-07,23902800,2000-01-07,1354.0,2000-01-07,0.36,2000-01-07,53990.75,2000-01-07,0.0487,2000-01-07,3372.8999,2000-01-07,1008.2
2000-01-14,91.4,2000-01-14,30.4353,2000-01-14,26711500,2000-01-14,1354.0,2000-01-14,0.36,2000-01-14,57693.0938,2000-01-14,0.0487,2000-01-14,3372.8999,2000-01-14,1008.2
2000-01-21,91.4,2000-01-21,29.3304,2000-01-21,13779300,2000-01-21,1354.0,2000-01-21,0.36,2000-01-21,55598.625,2000-01-21,0.0487,2000-01-21,3372.8999,2000-01-21,1008.2
2000-01-28,91.4,2000-01-28,26.25,2000-01-28,40127600,2000-01-28,1354.0,2000-01-28,0.36,2000-01-28,49759.5,2000-01-28,0.0487,2000-01-28,3372.8999,2000-01-28,1008.2
2000-02-04,91.4,2000-02-04,25.0893,2000-02-04,32264500,2000-02-04,1354.0,2000-02-04,0.36,2000-02-04,47559.25,2000-02-04,0.0487,2000-02-04,3372.8999,2000-02-04,1008.2
2000-02-11,91.4,2000-02-11,24.9554,2000-02-11,37327200,2000-02-11,1354.0,2000-02-11,0.36,2000-02-11,47305.375,2000-02-11,0.0487,2000-02-11,3372.8999,2000-02-11,1008.2
2000-02-18,91.4,2000-02-18,23.2143,2000-02-18,22667400,2000-02-18,1354.0,2000-02-18,0.36,2000-02-18,44005.0,2000-02-18,0.0487,2000-02-18,3372.8999,2000-02-18,1008.2
2000-02-25,91.4,2000-02-25,22.1429,2000-02-25,20112400,2000-02-25,1354.0,2000-02-25,0.36,2000-02-25,41974.0,2000-02-25,0.0487,2000-02-25,3372.8999,2000-02-25,1008.2
2000-03-03,91.4,2000-03-03,23.0804,2000-03-03,23812800,2000-03-03,1354.0,2000-03-03,0.36,2000-03-03,43751.125,2000-03-03,0.0487,2000-03-03,3372.8999,2000-03-03,1008.2
2000-03-10,91.4,2000-03-10,22.6786,2000-03-10,23972700,2000-03-10,1354.0,2000-03-10,0.36,2000-03-10,42989.5,2000-03-10,0.0487,2000-03-10,3372.8999,2000-03-10,1008.2
2000-03-17,91.4,2000-03-17,24.1518,2000-03-17,31644900,2000-03-17,1354.0,2000-03-17,0.36,2000-03-17,45782.125,2000-03-17,0.0487,2000-03-17,3372.8999,2000-03-17,1008.2
2000-03-24,91.4,2000-03-24,24.8661,2000-03-24,17952900,2000-03-24,1354.0,2000-03-24,0.36,2000-03-24,47136.125,2000-03-24,0.0487,2000-03-24,3372.8999,2000-03-24,1008.2
2000-03-31,288.4,2000-03-31,25.9549,2000-03-31,19123600,2000-03-31,1350.80005,2000-03-31,0.34,2000-03-31,50486.1518,2000-03-31,0.0,2000-03-31,3343.8,2000-03-31,995.1
2000-04-07,288.4,2000-04-07,25.6944,2000-04-07,20933700,2000-04-07,1350.80005,2000-04-07,0.34,2000-04-07,49979.6018,2000-04-07,0.0,2000-04-07,3343.8,2000-04-07,995.1
2000-04-14,288.4,2000-04-14,23.3073,2000-04-14,24281900,2000-04-14,1350.80005,2000-04-14,0.34,2000-04-14,45336.2266,2000-04-14,0.0,2000-04-14,3343.8,2000-04-14,995.1
2000-04-21,288.4,2000-04-21,24.8698,2000-04-21,20651600,2000-04-21,1350.80005,2000-04-21,0.34,2000-04-21,48375.5267,2000-04-21,0.0,2000-04-21,3343.8,2000-04-21,995.1
2000-04-28,288.4,2000-04-28,26.4323,2000-04-28,22934410,2000-04-28,1350.80005,2000-04-28,0.34,2000-04-28,51414.8269,2000-04-28,0.0,2000-04-28,3343.8,2000-04-28,995.1
2000-05-05,288.4,2000-05-05,24.783,2000-05-05,22946200,2000-05-05,1350.80005,2000-05-05,0.34,2000-05-05,48206.6767,2000-05-05,0.0,2000-05-05,3343.8,2000-05-05,995.1
2000-05-12,288.4,2000-05-12,26.0851,2000-05-12,17872500,2000-05-12,1336.19995,2000-05-12,0.34,2000-05-12,50191.0107,2000-05-12,0.0,2000-05-12,3343.8,2000-05-12,995.1
2000-05-19,288.4,2000-05-19,26.2587,2000-05-19,12530400,2000-05-19,1336.19995,2000-05-19,0.34,2000-05-19,50525.0607,2000-05-19,0.0,2000-05-19,3343.8,2000-05-19,995.1
2000-05-26,288.4,2000-05-26,26.2153,2000-05-26,17594300,2000-05-26,1336.19995,2000-05-26,0.34,2000-05-26,50441.5482,2000-05-26,0.0,2000-05-26,3343.8,2000-05-26,995.1
2000-06-02,288.4,2000-06-02,25.0868,2000-06-02,14771800,2000-06-02,1336.19995,2000-06-02,0.34,2000-06-02,48270.2232,2000-06-02,0.0,2000-06-02,3343.8,2000-06-02,995.1
2000-06-09,288.4,2000-06-09,23.5243,2000-06-09,26667300,2000-06-09,1336.19995,2000-06-09,0.34,2000-06-09,45263.7733,2000-06-09,0.0,2000-06-09,3343.8,2000-06-09,995.1
2000-06-16,288.4,2000-06-16,21.7448,2000-06-16,33272500,2000-06-16,1336.19995,2000-06-16,0.34,2000-06-16,41839.761,2000-06-16,0.0,2000-06-16,3343.8,2000-06-16,995.1
2000-06-23,288.4,2000-06-23,22.6563,2000-06-23,24745100,2000-06-23,1336.19995,2000-06-23,0.34,2000-06-23,43593.5234,2000-06-23,0.0,2000-06-23,3343.8,2000-06-23,995.1
2000-06-30,192.2,2000-06-30,22.5599,2000-06-30,23181800,2000-06-30,1336.19995,2000-06-30,0.4,2000-06-30,44011.0859,2000-06-30,0.0,2000-06-30,3560.6001,2000-06-30,1099.1
2000-07-07,192.2,2000-07-07,22.2603,2000-07-07,14525100,2000-07-07,1336.19995,2000-07-07,0.4,2000-07-07,43426.4984,2000-07-07,0.0,2000-07-07,3560.6001,2000-07-07,1099.1
