date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2010-04-02,,2010-04-02,,2010-04-02,,2010-04-02,,2010-04-02,,2011-04-01,,2011-04-01,0.0,2010-04-02,345,2010-04-02,
2010-04-09,,2010-04-09,,2010-04-09,,2010-04-09,,2010-04-09,,2011-04-08,,2011-04-08,0.0,2010-04-09,345,2010-04-09,
2010-04-16,,2010-04-16,,2010-04-16,,2010-04-16,,2010-04-16,,2011-04-15,,2011-04-15,0.0,2010-04-16,345,2010-04-16,
2010-04-23,,2010-04-23,,2010-04-23,,2010-04-23,,2010-04-23,,2011-04-22,,2011-04-22,0.0,2010-04-23,345,2010-04-23,
2010-04-30,,2010-04-30,,2010-04-30,,2010-04-30,,2010-04-30,,2011-04-29,,2011-04-29,0.0,2010-04-30,345,2010-04-30,
2010-05-07,,2010-05-07,,2010-05-07,,2010-05-07,,2010-05-07,,2011-05-06,,2011-05-06,0.0,2010-05-07,345,2010-05-07,
2010-05-14,,2010-05-14,,2010-05-14,,2010-05-14,,2010-05-14,,2011-05-13,,2011-05-13,0.0,2010-05-14,345,2010-05-14,
2010-05-21,,2010-05-21,,2010-05-21,,2010-05-21,,2010-05-21,,2011-05-20,,2011-05-20,0.0,2010-05-21,345,2010-05-21,
2010-05-28,,2010-05-28,,2010-05-28,,2010-05-28,,2010-05-28,,2011-05-27,,2011-05-27,0.0,2010-05-28,345,2010-05-28,
2010-06-04,,2010-06-04,,2010-06-04,,2010-06-04,,2010-06-04,,2011-06-03,,2011-06-03,0.0,2010-06-04,345,2010-06-04,
2010-06-11,,2010-06-11,,2010-06-11,,2010-06-11,,2010-06-11,,2011-06-10,,2011-06-10,0.0,2010-06-11,345,2010-06-11,
2010-06-18,,2010-06-18,,2010-06-18,,2010-06-18,,2010-06-18,,2011-06-17,,2011-06-17,0.0,2010-06-18,345,2010-06-18,
2010-06-25,,2010-06-25,,2010-06-25,,2010-06-25,,2010-06-25,,2011-06-24,,2011-06-24,0.0,2010-06-25,345,2010-06-25,
2010-07-02,,2010-07-02,,2010-07-02,,2010-07-02,,2010-07-02,,2011-07-01,,2011-07-01,0.0,2010-07-02,431,2010-07-02,
2010-07-09,,2010-07-09,,2010-07-09,,2010-07-09,,2010-07-09,,2011-07-08,,2011-07-08,0.0,2010-07-09,431,2010-07-09,
2010-07-16,,2010-07-16,,2010-07-16,,2010-07-16,,2010-07-16,,2011-07-15,,2011-07-15,0.0,2010-07-16,431,2010-07-16,
2010-07-23,,2010-07-23,,2010-07-23,,2010-07-23,,2010-07-23,,2011-07-22,,2011-07-22,0.0,2010-07-23,431,2010-07-23,
2010-07-30,,2010-07-30,,2010-07-30,,2010-07-30,,2010-07-30,,2011-07-29,,2011-07-29,0.0,2010-07-30,431,2010-07-30,
2010-08-06,,2010-08-06,,2010-08-06,,2010-08-06,,2010-08-06,,2011-08-05,,2011-08-05,0.0,2010-08-06,431,2010-08-06,
2010-08-13,,2010-08-13,,2010-08-13,,2010-08-13,,2010-08-13,,2011-08-12,,2011-08-12,0.0,2010-08-13,431,2010-08-13,
2010-08-20,,2010-08-20,,2010-08-20,,2010-08-20,,2010-08-20,,2011-08-19,,2011-08-19,0.0,2010-08-20,431,2010-08-20,
2010-08-27,,2010-08-27,,2010-08-27,,2010-08-27,,2010-08-27,,2011-08-26,,2011-08-26,0.0,2010-08-27,431,2010-08-27,
2010-09-03,,2010-09-03,,2010-09-03,,2010-09-03,,2010-09-03,,2011-09-02,,2011-09-02,0.0,2010-09-03,431,2010-09-03,
2010-09-10,,2010-09-10,,2010-09-10,,2010-09-10,,2010-09-10,,2011-09-09,,2011-09-09,0.0,2010-09-10,431,2010-09-10,
2010-09-17,,2010-09-17,,2010-09-17,,2010-09-17,,2010-09-17,,2011-09-16,,2011-09-16,0.0,2010-09-17,431,2010-09-17,
2010-09-24,,2010-09-24,,2010-09-24,,2010-09-24,,2010-09-24,,2011-09-23,,2011-09-23,0.0,2010-09-24,431,2010-09-24,
2010-10-01,,2010-10-01,,2010-10-01,,2010-10-01,,2010-10-01,,2011-09-30,,2011-09-30,0.0,2010-10-01,467,2010-10-01,
2010-10-08,,2010-10-08,,2010-10-08,,2010-10-08,,2010-10-08,,2011-10-07,,2011-10-07,0.0,2010-10-08,467,2010-10-08,
2010-10-15,,2010-10-15,,2010-10-15,,2010-10-15,,2010-10-15,,2011-10-14,,2011-10-14,0.0,2010-10-15,467,2010-10-15,
2010-10-22,,2010-10-22,,2010-10-22,,2010-10-22,,2010-10-22,,2011-10-21,,2011-10-21,0.0,2010-10-22,467,2010-10-22,
2010-10-29,,2010-10-29,,2010-10-29,,2010-10-29,,2010-10-29,,2011-10-28,,2011-10-28,0.0,2010-10-29,467,2010-10-29,
2010-11-05,,2010-11-05,,2010-11-05,,2010-11-05,,2010-11-05,,2011-11-04,,2011-11-04,0.0,2010-11-05,467,2010-11-05,
2010-11-12,,2010-11-12,,2010-11-12,,2010-11-12,,2010-11-12,,2011-11-11,,2011-11-11,0.0,2010-11-12,467,2010-11-12,
2010-11-19,,2010-11-19,,2010-11-19,,2010-11-19,,2010-11-19,,2011-11-18,,2011-11-18,0.0,2010-11-19,467,2010-11-19,
2010-11-26,,2010-11-26,,2010-11-26,,2010-11-26,,2010-11-26,,2011-11-25,,2011-11-25,0.0,2010-11-26,467,2010-11-26,
2010-12-03,,2010-12-03,,2010-12-03,,2010-12-03,,2010-12-03,,2011-12-02,,2011-12-02,0.0,2010-12-03,467,2010-12-03,
2010-12-10,,2010-12-10,,2010-12-10,,2010-12-10,,2010-12-10,,2011-12-09,,2011-12-09,0.0,2010-12-10,467,2010-12-10,
2010-12-17,,2010-12-17,,2010-12-17,,2010-12-17,,2010-12-17,,2011-12-16,,2011-12-16,0.0,2010-12-17,467,2010-12-17,
2010-12-24,,2010-12-24,,2010-12-24,,2010-12-24,,2010-12-24,,2011-12-23,,2011-12-23,0.0,2010-12-24,467,2010-12-24,
2010-12-31,,2010-12-31,,2010-12-31,,2010-12-31,,2010-12-31,,2011-12-30,,2011-12-30,0.0,2010-12-31,731,2010-12-31,
