,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,-22646.0,2000-01-07,14.5313,2000-01-07,32198400,2000-01-07,1118.48804,2000-01-07,1.5,2000-01-07,70779.3211,2000-01-07,0.12,2000-01-07,8927.0,2000-01-07,
1,2000-01-14,-22646.0,2000-01-14,15.7656,2000-01-14,19802400,2000-01-14,1118.48804,2000-01-14,1.5,2000-01-14,76791.1943,2000-01-14,0.12,2000-01-14,8927.0,2000-01-14,
2,2000-01-21,-22646.0,2000-01-21,15.213,2000-01-21,15370800,2000-01-21,1118.48804,2000-01-21,1.5,2000-01-21,74099.8325,2000-01-21,0.12,2000-01-21,8927.0,2000-01-21,
3,2000-01-28,-22646.0,2000-01-28,14.5385,2000-01-28,20331300,2000-01-28,1118.48804,2000-01-28,1.5,2000-01-28,70814.2738,2000-01-28,0.12,2000-01-28,8927.0,2000-01-28,
4,2000-02-04,-22646.0,2000-02-04,15.0839,2000-02-04,15218100,2000-02-04,1118.48804,2000-02-04,1.5,2000-02-04,73470.6829,2000-02-04,0.12,2000-02-04,8927.0,2000-02-04,
5,2000-02-11,-22646.0,2000-02-11,15.3278,2000-02-11,13690500,2000-02-11,1118.48804,2000-02-11,1.5,2000-02-11,74659.0765,2000-02-11,0.12,2000-02-11,8927.0,2000-02-11,
6,2000-02-18,-22646.0,2000-02-18,14.0649,2000-02-18,13319600,2000-02-18,1118.48804,2000-02-18,1.5,2000-02-18,68507.3923,2000-02-18,0.12,2000-02-18,8927.0,2000-02-18,
7,2000-02-25,-22646.0,2000-02-25,16.0454,2000-02-25,16877800,2000-02-25,1104.63,2000-02-25,1.5,2000-02-25,77186.0216,2000-02-25,0.12,2000-02-25,8927.0,2000-02-25,
8,2000-03-03,-3309.0,2000-03-03,16.1312,2000-03-03,19219000,2000-03-03,1104.63,2000-03-03,1.4,2000-03-03,87472.8885,2000-03-03,0.2,2000-03-03,11583.0,2000-03-03,
9,2000-03-10,-3309.0,2000-03-10,17.6463,2000-03-10,17363400,2000-03-10,1104.63,2000-03-10,1.4,2000-03-10,95688.5742,2000-03-10,0.2,2000-03-10,11583.0,2000-03-10,
