,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2007-08-31,26.382,2007-08-31,,2007-08-31,,2007-08-31,,2007-08-31,0.255,2007-08-31,,2007-08-31,0.0,2007-08-31,92.407,2007-08-31,39.991
1,2007-09-07,26.382,2007-09-07,,2007-09-07,,2007-09-07,,2007-09-07,0.255,2007-09-07,,2007-09-07,0.0,2007-09-07,92.407,2007-09-07,39.991
2,2007-09-14,26.382,2007-09-14,,2007-09-14,,2007-09-14,,2007-09-14,0.255,2007-09-14,,2007-09-14,0.0,2007-09-14,92.407,2007-09-14,39.991
3,2007-09-21,26.382,2007-09-21,,2007-09-21,,2007-09-21,,2007-09-21,0.255,2007-09-21,,2007-09-21,0.0,2007-09-21,92.407,2007-09-21,39.991
4,2007-09-28,26.382,2007-09-28,,2007-09-28,,2007-09-28,,2007-09-28,0.255,2007-09-28,,2007-09-28,0.0,2007-09-28,92.407,2007-09-28,39.991
5,2007-10-05,26.382,2007-10-05,,2007-10-05,,2007-10-05,,2007-10-05,0.255,2007-10-05,,2007-10-05,0.0,2007-10-05,92.407,2007-10-05,39.991
6,2007-10-12,26.382,2007-10-12,,2007-10-12,,2007-10-12,,2007-10-12,0.255,2007-10-12,,2007-10-12,0.0,2007-10-12,92.407,2007-10-12,39.991
7,2007-10-19,26.382,2007-10-19,,2007-10-19,,2007-10-19,,2007-10-19,0.255,2007-10-19,,2007-10-19,0.0,2007-10-19,92.407,2007-10-19,39.991
8,2007-10-26,26.382,2007-10-26,,2007-10-26,,2007-10-26,,2007-10-26,0.255,2007-10-26,,2007-10-26,0.0,2007-10-26,92.407,2007-10-26,39.991
9,2007-11-02,26.382,2007-11-02,,2007-11-02,,2007-11-02,,2007-11-02,0.255,2007-11-02,,2007-11-02,0.0,2007-11-02,92.407,2007-11-02,39.991
10,2007-11-09,26.382,2007-11-09,,2007-11-09,,2007-11-09,,2007-11-09,0.255,2007-11-09,,2007-11-09,0.0,2007-11-09,92.407,2007-11-09,39.991
11,2007-11-16,26.382,2007-11-16,,2007-11-16,13013350.0,2007-11-16,14.0,2007-11-16,0.255,2007-11-16,2443.5791,2007-11-16,0.0,2007-11-16,92.407,2007-11-16,39.991
12,2007-11-23,26.382,2007-11-23,,2007-11-23,1259900.0,2007-11-23,14.0,2007-11-23,0.255,2007-11-23,2682.46,2007-11-23,0.0,2007-11-23,92.407,2007-11-23,39.991
13,2007-11-30,26.382,2007-11-30,,2007-11-30,1652263.0,2007-11-30,16.1,2007-11-30,0.21,2007-11-30,2765.0001,2007-11-30,0.0,2007-11-30,101.658,2007-11-30,47.946
14,2007-12-07,26.382,2007-12-07,,2007-12-07,858400.0,2007-12-07,16.1,2007-12-07,0.21,2007-12-07,2888.0001,2007-12-07,0.0,2007-12-07,101.658,2007-12-07,47.946
15,2007-12-14,26.382,2007-12-14,,2007-12-14,674828.0,2007-12-14,16.1,2007-12-14,0.21,2007-12-14,2872.0001,2007-12-14,0.0,2007-12-14,101.658,2007-12-14,47.946
16,2007-12-21,26.382,2007-12-21,,2007-12-21,1155001.0,2007-12-21,16.1,2007-12-21,0.21,2007-12-21,3372.0001,2007-12-21,0.0,2007-12-21,101.658,2007-12-21,47.946
17,2007-12-28,26.382,2007-12-28,,2007-12-28,730800.0,2007-12-28,16.1,2007-12-28,0.21,2007-12-28,3732.0001,2007-12-28,0.0,2007-12-28,101.658,2007-12-28,47.946
18,2008-01-04,26.382,2008-01-04,,2008-01-04,1329079.0,2008-01-04,16.1,2008-01-04,0.21,2008-01-04,3015.0001,2008-01-04,0.0,2008-01-04,101.658,2008-01-04,47.946
19,2008-01-11,26.382,2008-01-11,,2008-01-11,1603628.0,2008-01-11,16.1,2008-01-11,0.21,2008-01-11,3043.0001,2008-01-11,0.0,2008-01-11,101.658,2008-01-11,47.946
20,2008-01-18,26.382,2008-01-18,,2008-01-18,757386.0,2008-01-18,16.1,2008-01-18,0.21,2008-01-18,2932.0001,2008-01-18,0.0,2008-01-18,101.658,2008-01-18,47.946
21,2008-01-25,26.382,2008-01-25,,2008-01-25,839800.0,2008-01-25,16.1,2008-01-25,0.21,2008-01-25,3178.0001,2008-01-25,0.0,2008-01-25,101.658,2008-01-25,47.946
22,2008-02-01,26.382,2008-02-01,,2008-02-01,732307.0,2008-02-01,16.1,2008-02-01,0.21,2008-02-01,3460.0001,2008-02-01,0.0,2008-02-01,101.658,2008-02-01,47.946
23,2008-02-08,26.382,2008-02-08,,2008-02-08,561715.0,2008-02-08,16.1,2008-02-08,0.21,2008-02-08,3133.0001,2008-02-08,0.0,2008-02-08,101.658,2008-02-08,47.946
24,2008-02-15,26.382,2008-02-15,,2008-02-15,602386.0,2008-02-15,16.1,2008-02-15,0.21,2008-02-15,3174.0001,2008-02-15,0.0,2008-02-15,101.658,2008-02-15,47.946
25,2008-02-22,26.382,2008-02-22,,2008-02-22,695347.0,2008-02-22,16.1,2008-02-22,0.21,2008-02-22,3373.0001,2008-02-22,0.0,2008-02-22,101.658,2008-02-22,47.946
26,2008-02-29,19.78,2008-02-29,,2008-02-29,1125764.0,2008-02-29,16.1,2008-02-29,0.18,2008-02-29,2973.0001,2008-02-29,0.0,2008-02-29,104.951,2008-02-29,42.771
