,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,-16.936,2000-01-07 00:00:00,,2000-01-07 00:00:00,3046000,2000-01-07 00:00:00,19.77931,2000-01-07 00:00:00,-0.22,2000-01-07 00:00:00,8112.0858,2000-01-07 00:00:00,0.0,2000-01-07 00:00:00,46.162,2000-01-07 00:00:00,-11.166
1,2000-01-14 00:00:00,-16.936,2000-01-14 00:00:00,,2000-01-14 00:00:00,2068200,2000-01-14 00:00:00,19.77931,2000-01-14 00:00:00,-0.22,2000-01-14 00:00:00,8789.2979,2000-01-14 00:00:00,0.0,2000-01-14 00:00:00,46.162,2000-01-14 00:00:00,-11.166
2,2000-01-21 00:00:00,-16.936,2000-01-21 00:00:00,,2000-01-21 00:00:00,2489200,2000-01-21 00:00:00,19.77931,2000-01-21 00:00:00,-0.22,2000-01-21 00:00:00,11148.6954,2000-01-21 00:00:00,0.0,2000-01-21 00:00:00,46.162,2000-01-21 00:00:00,-11.166
3,2000-01-28 00:00:00,-16.936,2000-01-28 00:00:00,,2000-01-28 00:00:00,2887400,2000-01-28 00:00:00,23.56349,2000-01-28 00:00:00,-0.22,2000-01-28 00:00:00,12249.7154,2000-01-28 00:00:00,0.0,2000-01-28 00:00:00,46.162,2000-01-28 00:00:00,-11.166
4,2000-02-04 00:00:00,-16.936,2000-02-04 00:00:00,,2000-02-04 00:00:00,2001200,2000-02-04 00:00:00,23.56349,2000-02-04 00:00:00,-0.22,2000-02-04 00:00:00,11219.8503,2000-02-04 00:00:00,0.0,2000-02-04 00:00:00,46.162,2000-02-04 00:00:00,-11.166
5,2000-02-11 00:00:00,-16.936,2000-02-11 00:00:00,,2000-02-11 00:00:00,2371000,2000-02-11 00:00:00,23.56349,2000-02-11 00:00:00,-0.22,2000-02-11 00:00:00,13267.2321,2000-02-11 00:00:00,0.0,2000-02-11 00:00:00,46.162,2000-02-11 00:00:00,-11.166
6,2000-02-18 00:00:00,-16.936,2000-02-18 00:00:00,,2000-02-18 00:00:00,1815500,2000-02-18 00:00:00,23.56349,2000-02-18 00:00:00,-0.22,2000-02-18 00:00:00,12684.3828,2000-02-18 00:00:00,0.0,2000-02-18 00:00:00,46.162,2000-02-18 00:00:00,-11.166
7,2000-02-25 00:00:00,-16.936,2000-02-25 00:00:00,,2000-02-25 00:00:00,1853500,2000-02-25 00:00:00,23.56349,2000-02-25 00:00:00,-0.22,2000-02-25 00:00:00,11854.5633,2000-02-25 00:00:00,0.0,2000-02-25 00:00:00,46.162,2000-02-25 00:00:00,-11.166
8,2000-03-03 00:00:00,-16.936,2000-03-03 00:00:00,,2000-03-03 00:00:00,3126400,2000-03-03 00:00:00,23.56349,2000-03-03 00:00:00,-0.22,2000-03-03 00:00:00,14857.7194,2000-03-03 00:00:00,0.0,2000-03-03 00:00:00,46.162,2000-03-03 00:00:00,-11.166
9,2000-03-10 00:00:00,-16.936,2000-03-10 00:00:00,,2000-03-10 00:00:00,3275800,2000-03-10 00:00:00,23.56349,2000-03-10 00:00:00,-0.22,2000-03-10 00:00:00,24736.5222,2000-03-10 00:00:00,0.0,2000-03-10 00:00:00,46.162,2000-03-10 00:00:00,-11.166
10,2000-03-17 00:00:00,-16.936,2000-03-17 00:00:00,,2000-03-17 00:00:00,4042100,2000-03-17 00:00:00,23.56349,2000-03-17 00:00:00,-0.22,2000-03-17 00:00:00,17920.1482,2000-03-17 00:00:00,0.0,2000-03-17 00:00:00,46.162,2000-03-17 00:00:00,-11.166
11,2000-03-24 00:00:00,-16.936,2000-03-24 00:00:00,,2000-03-24 00:00:00,54152300,2000-03-24 00:00:00,23.56349,2000-03-24 00:00:00,-0.22,2000-03-24 00:00:00,10194.9245,2000-03-24 00:00:00,0.0,2000-03-24 00:00:00,46.162,2000-03-24 00:00:00,-11.166
12,2000-03-31 00:00:00,-33.687,2000-03-31 00:00:00,,2000-03-31 00:00:00,13580100,2000-03-31 00:00:00,23.56349,2000-03-31 00:00:00,-0.42,2000-03-31 00:00:00,6880.5861,2000-03-31 00:00:00,0.0,2000-03-31 00:00:00,50.615,2000-03-31 00:00:00,-33.356
13,2000-04-07 00:00:00,-33.687,2000-04-07 00:00:00,,2000-04-07 00:00:00,9179000,2000-04-07 00:00:00,23.56349,2000-04-07 00:00:00,-0.42,2000-04-07 00:00:00,5087.5834,2000-04-07 00:00:00,0.0,2000-04-07 00:00:00,50.615,2000-04-07 00:00:00,-33.356
14,2000-04-14 00:00:00,-33.687,2000-04-14 00:00:00,,2000-04-14 00:00:00,11883800,2000-04-14 00:00:00,23.56349,2000-04-14 00:00:00,-0.42,2000-04-14 00:00:00,2652.4585,2000-04-14 00:00:00,0.0,2000-04-14 00:00:00,50.615,2000-04-14 00:00:00,-33.356
15,2000-04-21 00:00:00,-33.687,2000-04-21 00:00:00,,2000-04-21 00:00:00,6971200,2000-04-21 00:00:00,23.56349,2000-04-21 00:00:00,-0.42,2000-04-21 00:00:00,2662.3373,2000-04-21 00:00:00,0.0,2000-04-21 00:00:00,50.615,2000-04-21 00:00:00,-33.356
16,2000-04-28 00:00:00,-33.687,2000-04-28 00:00:00,,2000-04-28 00:00:00,12429200,2000-04-28 00:00:00,23.56349,2000-04-28 00:00:00,-0.42,2000-04-28 00:00:00,2044.9122,2000-04-28 00:00:00,0.0,2000-04-28 00:00:00,50.615,2000-04-28 00:00:00,-33.356
17,2000-05-05 00:00:00,-33.687,2000-05-05 00:00:00,,2000-05-05 00:00:00,6296600,2000-05-05 00:00:00,23.56349,2000-05-05 00:00:00,-0.42,2000-05-05 00:00:00,1975.7606,2000-05-05 00:00:00,0.0,2000-05-05 00:00:00,50.615,2000-05-05 00:00:00,-33.356
18,2000-05-12 00:00:00,-33.687,2000-05-12 00:00:00,,2000-05-12 00:00:00,7056800,2000-05-12 00:00:00,23.56349,2000-05-12 00:00:00,-0.42,2000-05-12 00:00:00,1886.8513,2000-05-12 00:00:00,0.0,2000-05-12 00:00:00,50.615,2000-05-12 00:00:00,-33.356
19,2000-05-19 00:00:00,-33.687,2000-05-19 00:00:00,,2000-05-19 00:00:00,11466400,2000-05-19 00:00:00,24.3584,2000-05-19 00:00:00,-0.42,2000-05-19 00:00:00,1739.8832,2000-05-19 00:00:00,0.0,2000-05-19 00:00:00,50.615,2000-05-19 00:00:00,-33.356
20,2000-05-26 00:00:00,-33.687,2000-05-26 00:00:00,,2000-05-26 00:00:00,6831400,2000-05-26 00:00:00,24.3584,2000-05-26 00:00:00,-0.42,2000-05-26 00:00:00,1426.7042,2000-05-26 00:00:00,0.0,2000-05-26 00:00:00,50.615,2000-05-26 00:00:00,-33.356
21,2000-06-02 00:00:00,-33.687,2000-06-02 00:00:00,,2000-06-02 00:00:00,5628000,2000-06-02 00:00:00,24.3584,2000-06-02 00:00:00,-0.42,2000-06-02 00:00:00,1799.5363,2000-06-02 00:00:00,0.0,2000-06-02 00:00:00,50.615,2000-06-02 00:00:00,-33.356
22,2000-06-09 00:00:00,-33.687,2000-06-09 00:00:00,,2000-06-09 00:00:00,66193100,2000-06-09 00:00:00,24.3584,2000-06-09 00:00:00,-0.42,2000-06-09 00:00:00,4951.2103,2000-06-09 00:00:00,0.0,2000-06-09 00:00:00,50.615,2000-06-09 00:00:00,-33.356
23,2000-06-16 00:00:00,-33.687,2000-06-16 00:00:00,,2000-06-16 00:00:00,51079400,2000-06-16 00:00:00,24.3584,2000-06-16 00:00:00,-0.42,2000-06-16 00:00:00,3067.1654,2000-06-16 00:00:00,0.0,2000-06-16 00:00:00,50.615,2000-06-16 00:00:00,-33.356
24,2000-06-23 00:00:00,-33.687,2000-06-23 00:00:00,,2000-06-23 00:00:00,16172800,2000-06-23 00:00:00,24.3584,2000-06-23 00:00:00,-0.42,2000-06-23 00:00:00,2674.449,2000-06-23 00:00:00,0.0,2000-06-23 00:00:00,50.615,2000-06-23 00:00:00,-33.356
