,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,328.9,2000-01-07,64.0909,2000-01-07,36355800,2000-01-07,536.0,2000-01-07,0.635,2000-01-07,18894.0,2000-01-07,0.0,2000-01-07,1584.4,2000-01-07,761.5
1,2000-01-14,328.9,2000-01-14,66.5909,2000-01-14,41967600,2000-01-14,536.0,2000-01-14,0.635,2000-01-14,19631.0,2000-01-14,0.0,2000-01-14,1584.4,2000-01-14,761.5
2,2000-01-21,328.9,2000-01-21,61.0227,2000-01-21,47439200,2000-01-21,536.0,2000-01-21,0.635,2000-01-21,17989.5,2000-01-21,0.0,2000-01-21,1584.4,2000-01-21,761.5
3,2000-01-28,328.9,2000-01-28,54.0909,2000-01-28,63681800,2000-01-28,536.0,2000-01-28,0.635,2000-01-28,15946.0,2000-01-28,0.0,2000-01-28,1584.4,2000-01-28,761.5
4,2000-02-04,328.9,2000-02-04,61.25,2000-02-04,49095000,2000-02-04,536.0,2000-02-04,0.635,2000-02-04,18056.5,2000-02-04,0.0,2000-02-04,1584.4,2000-02-04,761.5
5,2000-02-11,328.9,2000-02-11,64.6591,2000-02-11,62211600,2000-02-11,536.0,2000-02-11,0.635,2000-02-11,19061.5,2000-02-11,0.0,2000-02-11,1584.4,2000-02-11,761.5
6,2000-02-18,328.9,2000-02-18,57.3864,2000-02-18,54792800,2000-02-18,536.0,2000-02-18,0.635,2000-02-18,16917.5,2000-02-18,0.0,2000-02-18,1584.4,2000-02-18,761.5
7,2000-02-25,328.9,2000-02-25,66.9318,2000-02-25,41149000,2000-02-25,536.0,2000-02-25,0.635,2000-02-25,19731.5,2000-02-25,0.0,2000-02-25,1584.4,2000-02-25,761.5
8,2000-03-03,244.5,2000-03-03,70.8333,2000-03-03,120983800,2000-03-03,536.0,2000-03-03,0.15,2000-03-03,25058.0,2000-03-03,0.0,2000-03-03,1159.1,2000-03-03,735.2
9,2000-03-10,244.5,2000-03-10,80.5871,2000-03-10,57198800,2000-03-10,536.0,2000-03-10,0.15,2000-03-10,28508.5,2000-03-10,0.0,2000-03-10,1159.1,2000-03-10,735.2
10,2000-03-17,244.5,2000-03-17,97.6326,2000-03-17,67264400,2000-03-17,536.0,2000-03-17,0.15,2000-03-17,34538.5,2000-03-17,0.0,2000-03-17,1159.1,2000-03-17,735.2
11,2000-03-24,244.5,2000-03-24,102.0833,2000-03-24,67340800,2000-03-24,536.0,2000-03-24,0.15,2000-03-24,36113.0,2000-03-24,0.0,2000-03-24,1159.1,2000-03-24,735.2
12,2000-03-31,244.5,2000-03-31,95.4545,2000-03-31,50295200,2000-03-31,536.0,2000-03-31,0.15,2000-03-31,33768.0,2000-03-31,0.0,2000-03-31,1159.1,2000-03-31,735.2
13,2000-04-07,244.5,2000-04-07,97.2538,2000-04-07,47866600,2000-04-07,536.0,2000-04-07,0.15,2000-04-07,34404.5,2000-04-07,0.0,2000-04-07,1159.1,2000-04-07,735.2
14,2000-04-14,244.5,2000-04-14,72.7746,2000-04-14,54810200,2000-04-14,536.0,2000-04-14,0.15,2000-04-14,25744.75,2000-04-14,0.0,2000-04-14,1159.1,2000-04-14,735.2
15,2000-04-21,244.5,2000-04-21,94.8864,2000-04-21,40695400,2000-04-21,536.0,2000-04-21,0.15,2000-04-21,33567.0,2000-04-21,0.0,2000-04-21,1159.1,2000-04-21,735.2
16,2000-04-28,244.5,2000-04-28,105.5398,2000-04-28,48218000,2000-04-28,536.0,2000-04-28,0.15,2000-04-28,37335.75,2000-04-28,0.0,2000-04-28,1159.1,2000-04-28,735.2
17,2000-05-05,244.5,2000-05-05,91.6667,2000-05-05,33694900,2000-05-05,523.20398,2000-05-05,0.15,2000-05-05,31653.8408,2000-05-05,0.0,2000-05-05,1159.1,2000-05-05,735.2
18,2000-05-12,244.5,2000-05-12,92.0455,2000-05-12,26379000,2000-05-12,523.20398,2000-05-12,0.15,2000-05-12,31784.6418,2000-05-12,0.0,2000-05-12,1159.1,2000-05-12,735.2
19,2000-05-19,244.5,2000-05-19,91.7614,2000-05-19,21304900,2000-05-19,523.20428,2000-05-19,0.15,2000-05-19,33601.6184,2000-05-19,0.0,2000-05-19,1159.1,2000-05-19,735.2
20,2000-05-26,244.5,2000-05-26,97.9167,2000-05-26,27991700,2000-05-26,523.20428,2000-05-26,0.15,2000-05-26,35855.6163,2000-05-26,0.0,2000-05-26,1159.1,2000-05-26,735.2
