date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,190.4,2000-01-07,25.1974,2000-01-07,33252000,2000-01-07,1434.96777,2000-01-07,0.0488,2000-01-07,13406.9651,2000-01-07,0.015,2000-01-07,2059.7,2000-01-07,244.4
2000-01-14,190.4,2000-01-14,27.0066,2000-01-14,37798400,2000-01-14,1404.29456,2000-01-14,0.0488,2000-01-14,14162.5154,2000-01-14,0.015,2000-01-14,2059.7,2000-01-14,244.4
2000-01-21,190.4,2000-01-21,26.6776,2000-01-21,34030400,2000-01-21,1404.29456,2000-01-21,0.0488,2000-01-21,13990.0122,2000-01-21,0.015,2000-01-21,2059.7,2000-01-21,244.4
2000-01-28,190.4,2000-01-28,24.6711,2000-01-28,32303200,2000-01-28,1404.29456,2000-01-28,0.0488,2000-01-28,12937.7425,2000-01-28,0.015,2000-01-28,2059.7,2000-01-28,244.4
2000-02-04,190.4,2000-02-04,24.5724,2000-02-04,32630400,2000-02-04,1404.29456,2000-02-04,0.0488,2000-02-04,12885.9915,2000-02-04,0.015,2000-02-04,2059.7,2000-02-04,244.4
2000-02-11,190.4,2000-02-11,17.8947,2000-02-11,172411200,2000-02-11,1404.29456,2000-02-11,0.0488,2000-02-11,9384.1759,2000-02-11,0.015,2000-02-11,2059.7,2000-02-11,244.4
2000-02-18,190.4,2000-02-18,14.7368,2000-02-18,111660800,2000-02-18,1404.29456,2000-02-18,0.0488,2000-02-18,7728.1448,2000-02-18,0.015,2000-02-18,2059.7,2000-02-18,244.4
2000-02-25,190.4,2000-02-25,13.9803,2000-02-25,56459200,2000-02-25,1404.29456,2000-02-25,0.0488,2000-02-25,7331.3874,2000-02-25,0.015,2000-02-25,2059.7,2000-02-25,244.4
2000-03-03,108.1,2000-03-03,14.8359,2000-03-03,57019200,2000-03-03,1404.29456,2000-03-03,0.0663,2000-03-03,8107.6519,2000-03-03,0.015,2000-03-03,2161.6,2000-03-03,381.1
2000-03-10,108.1,2000-03-10,13.5732,2000-03-10,53842400,2000-03-10,1404.29456,2000-03-10,0.0663,2000-03-10,7417.639,2000-03-10,0.015,2000-03-10,2161.6,2000-03-10,381.1
2000-03-17,108.1,2000-03-17,17.1717,2000-03-17,112571200,2000-03-17,1404.29456,2000-03-17,0.0663,2000-03-17,9384.1759,2000-03-17,0.015,2000-03-17,2161.6,2000-03-17,381.1
2000-03-24,108.1,2000-03-24,17.1086,2000-03-24,59820000,2000-03-24,1404.29456,2000-03-24,0.0663,2000-03-24,9349.6752,2000-03-24,0.015,2000-03-24,2161.6,2000-03-24,381.1
2000-03-31,108.1,2000-03-31,20.0126,2000-03-31,70972000,2000-03-31,1404.29456,2000-03-31,0.0663,2000-03-31,10936.705,2000-03-31,0.015,2000-03-31,2161.6,2000-03-31,381.1
2000-04-07,108.1,2000-04-07,21.6856,2000-04-07,55368800,2000-04-07,1404.29456,2000-04-07,0.0663,2000-04-07,11850.9721,2000-04-07,0.015,2000-04-07,2161.6,2000-04-07,381.1
2000-04-14,108.1,2000-04-14,21.5278,2000-04-14,62252000,2000-04-14,1384.14282,2000-04-14,0.0663,2000-04-14,11655.8851,2000-04-14,0.015,2000-04-14,2161.6,2000-04-14,381.1
