date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,5.23,2000-01-07,45.0269,2000-01-07,981408000,2000-01-07,14744.15955,2000-01-07,0.0008,2000-01-07,1286.2743,2000-01-07,0.0,2000-01-07,97.015,2000-01-07,17.61
2000-01-14,5.23,2000-01-14,47.2446,2000-01-14,1248288000,2000-01-14,14744.15955,2000-01-14,0.0008,2000-01-14,1349.6281,2000-01-14,0.0,2000-01-14,97.015,2000-01-14,17.61
2000-01-21,5.23,2000-01-21,48.1183,2000-01-21,1150176000,2000-01-21,14744.15955,2000-01-21,0.0008,2000-01-21,1374.5857,2000-01-21,0.0,2000-01-21,97.015,2000-01-21,17.61
2000-01-28,3.663,2000-01-28,35.9375,2000-01-28,1379184000,2000-01-28,14744.15955,2000-01-28,0.001,2000-01-28,1148.0478,2000-01-28,0.0,2000-01-28,128.455,2000-01-28,23.702
2000-02-04,3.663,2000-02-04,39.0024,2000-02-04,656352000,2000-02-04,14744.15955,2000-02-04,0.001,2000-02-04,1245.9583,2000-02-04,0.0,2000-02-04,128.455,2000-02-04,23.702
2000-02-11,3.663,2000-02-11,48.0769,2000-02-11,2669472000,2000-02-11,14744.15955,2000-02-11,0.001,2000-02-11,1535.85,2000-02-11,0.0,2000-02-11,128.455,2000-02-11,23.702
2000-02-18,3.663,2000-02-18,64.7837,2000-02-18,3616800000,2000-02-18,14744.15955,2000-02-18,0.001,2000-02-18,2069.5578,2000-02-18,0.0,2000-02-18,128.455,2000-02-18,23.702
2000-02-25,3.663,2000-02-25,58.8341,2000-02-25,1576944000,2000-02-25,14744.15955,2000-02-25,0.001,2000-02-25,1879.4964,2000-02-25,0.0,2000-02-25,128.455,2000-02-25,23.702
2000-03-03,3.663,2000-03-03,56.6106,2000-03-03,1672224000,2000-03-03,14744.15955,2000-03-03,0.001,2000-03-03,1808.4633,2000-03-03,0.0,2000-03-03,128.455,2000-03-03,23.702
2000-03-10,3.663,2000-03-10,113.4615,2000-03-10,6168192000,2000-03-10,14744.15955,2000-03-10,0.001,2000-03-10,3624.6059,2000-03-10,0.0,2000-03-10,128.455,2000-03-10,23.702
2000-03-17,3.663,2000-03-17,96.0337,2000-03-17,6286896000,2000-03-17,14928.00018,2000-03-17,0.001,2000-03-17,3106.1125,2000-03-17,0.0,2000-03-17,128.455,2000-03-17,23.702
2000-03-24,3.663,2000-03-24,89.6034,2000-03-24,1673520000,2000-03-24,14928.00018,2000-03-24,0.001,2000-03-24,2898.1313,2000-03-24,0.0,2000-03-24,128.455,2000-03-24,23.702
2000-03-31,3.663,2000-03-31,81.235,2000-03-31,2576592000,2000-03-31,14928.00018,2000-03-31,0.001,2000-03-31,2627.4641,2000-03-31,0.0,2000-03-31,128.455,2000-03-31,23.702
