,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,2650000,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-05-19 00:00:00,11241.6914,2000-05-19 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,
1,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,4560000,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-05-26 00:00:00,12199.1857,2000-05-26 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,
2,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,2580000,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-06-02 00:00:00,11924.3024,2000-06-02 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,
3,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,3365000,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-06-09 00:00:00,11667.1985,2000-06-09 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,
4,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,2600000,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-06-16 00:00:00,11897.7054,2000-06-16 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,
5,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,1910000,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-06-23 00:00:00,11835.6459,2000-06-23 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,
6,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,4385000,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-06-30 00:00:00,11986.3619,2000-06-30 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,
7,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,1355000,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-07-07 00:00:00,13582.1794,2000-07-07 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,
8,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,3645000,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-07-14 00:00:00,13209.822,2000-07-14 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,
9,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,3240000,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-07-21 00:00:00,12802.002,2000-07-21 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,
10,2000-03-17 00:00:00,,2000-03-17 00:00:00,,2000-03-17 00:00:00,2905000,2000-03-17 00:00:00,,2000-03-17 00:00:00,,2000-07-28 00:00:00,13591.045,2000-07-28 00:00:00,,2000-03-17 00:00:00,,2000-03-17 00:00:00,
11,2000-03-24 00:00:00,,2000-03-24 00:00:00,,2000-03-24 00:00:00,2260000,2000-03-24 00:00:00,,2000-03-24 00:00:00,,2000-08-04 00:00:00,14681.5202,2000-08-04 00:00:00,,2000-03-24 00:00:00,,2000-03-24 00:00:00,
