date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,12353361,2000-01-07,1187.56529,2000-01-07,,2000-01-07,122441.608,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,8706896,2000-01-14,1187.56529,2000-01-14,,2000-01-14,124900.6864,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,13758674,2000-01-21,1187.56529,2000-01-21,,2000-01-21,130433.6126,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,12023837,2000-01-28,1187.56529,2000-01-28,,2000-01-28,141192.0802,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,12049308,2000-02-04,1187.56529,2000-02-04,,2000-02-04,165987.7866,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,10794023,2000-02-11,1187.56529,2000-02-11,,2000-02-11,177156.1007,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,10102574,2000-02-18,1187.56529,2000-02-18,,2000-02-18,168037.0186,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,9089694,2000-02-25,1187.56529,2000-02-25,,2000-02-25,173057.6368,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,19210361,2000-03-03,1187.56529,2000-03-03,,2000-03-03,220804.7408,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,11530377,2000-03-10,1187.56529,2000-03-10,,2000-03-10,201849.3455,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,12976143,2000-03-17,1187.56529,2000-03-17,,2000-03-17,191603.1858,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,10416038,2000-03-24,1187.56529,2000-03-24,,2000-03-24,195701.6497,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,12368425,2000-03-31,1187.56529,2000-03-31,,2000-03-31,184430.874,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,15245824,2000-04-07,1187.56529,2000-04-07,,2000-04-07,173877.3296,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,13709718,2000-04-14,1187.56529,2000-04-14,,2000-04-14,158815.4749,2000-04-14,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,10953239,2000-04-21,1187.56529,2000-04-21,,2000-04-21,169164.0961,2000-04-21,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,10393316,2000-04-28,1187.56529,2000-04-28,,2000-04-28,174389.6375,2000-04-28,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,8691175,2000-05-05,1187.56529,2000-05-05,,2000-05-05,174492.0991,2000-05-05,,2000-05-05,,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,15197655,2000-05-12,1187.56529,2000-05-12,,2000-05-12,161172.0916,2000-05-12,,2000-05-12,,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,11947351,2000-05-19,1187.56529,2000-05-19,,2000-05-19,141192.0802,2000-05-19,,2000-05-19,,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,18397885,2000-05-26,1187.56529,2000-05-26,,2000-05-26,145290.5441,2000-05-26,,2000-05-26,,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,22691080,2000-06-02,1187.56515,2000-06-02,,2000-06-02,173160.0778,2000-06-02,,2000-06-02,,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,10205705,2000-06-09,1187.56515,2000-06-09,,2000-06-09,164963.151,2000-06-09,,2000-06-09,,2000-06-09,
2000-06-16,,2000-06-16,,2000-06-16,7731208,2000-06-16,1187.56515,2000-06-16,,2000-06-16,157176.0706,2000-06-16,,2000-06-16,,2000-06-16,
2000-06-23,,2000-06-23,,2000-06-23,10785047,2000-06-23,1187.56515,2000-06-23,,2000-06-23,164450.8431,2000-06-23,,2000-06-23,,2000-06-23,
2000-06-30,,2000-06-30,,2000-06-30,15964196,2000-06-30,1187.56515,2000-06-30,3.2096,2000-06-30,150003.7597,2000-06-30,,2000-06-30,15324.0,2000-06-30,
2000-07-07,,2000-07-07,,2000-07-07,13997243,2000-07-07,1187.56515,2000-07-07,3.2096,2000-07-07,154716.9926,2000-07-07,,2000-07-07,15324.0,2000-07-07,
2000-07-14,,2000-07-14,,2000-07-14,7032936,2000-07-14,1187.56515,2000-07-14,3.2096,2000-07-14,158610.5328,2000-07-14,,2000-07-14,15324.0,2000-07-14,
2000-07-21,,2000-07-21,,2000-07-21,9957271,2000-07-21,1187.56515,2000-07-21,3.2096,2000-07-21,146007.7579,2000-07-21,,2000-07-21,15324.0,2000-07-21,
2000-07-28,,2000-07-28,,2000-07-28,12179040,2000-07-28,1187.56515,2000-07-28,3.2096,2000-07-28,136273.9073,2000-07-28,,2000-07-28,15324.0,2000-07-28,
2000-08-04,,2000-08-04,,2000-08-04,10030529,2000-08-04,1187.56515,2000-08-04,3.2096,2000-08-04,139655.1396,2000-08-04,,2000-08-04,15324.0,2000-08-04,
2000-08-11,,2000-08-11,,2000-08-11,10501176,2000-08-11,1187.56515,2000-08-11,3.2096,2000-08-11,140782.2171,2000-08-11,,2000-08-11,15324.0,2000-08-11,
2000-08-18,,2000-08-18,,2000-08-18,11199427,2000-08-18,1187.56515,2000-08-18,3.2096,2000-08-18,132175.444,2000-08-18,,2000-08-18,15324.0,2000-08-18,
2000-08-25,,2000-08-25,,2000-08-25,23740394,2000-08-25,1337.31447,2000-08-25,3.2096,2000-08-25,152303.9268,2000-08-25,,2000-08-25,15324.0,2000-08-25,
2000-09-01,,2000-09-01,,2000-09-01,16822908,2000-09-01,1337.31447,2000-09-01,3.2096,2000-09-01,163380.576,2000-09-01,,2000-09-01,15324.0,2000-09-01,
2000-09-08,,2000-09-08,,2000-09-08,23850734,2000-09-08,1337.31447,2000-09-08,3.2096,2000-09-08,159457.596,2000-09-08,,2000-09-08,15324.0,2000-09-08,
2000-09-15,,2000-09-15,,2000-09-15,31788080,2000-09-15,1337.31447,2000-09-15,3.2096,2000-09-15,145496.4028,2000-09-15,,2000-09-15,15324.0,2000-09-15,
2000-09-22,,2000-09-22,,2000-09-22,26093512,2000-09-22,1337.31447,2000-09-22,3.2096,2000-09-22,132689.0271,2000-09-22,,2000-09-22,15324.0,2000-09-22,
2000-09-29,,2000-09-29,,2000-09-29,16038164,2000-09-29,1337.31447,2000-09-29,3.2096,2000-09-29,140073.4599,2000-09-29,,2000-09-29,15324.0,2000-09-29,
2000-10-06,,2000-10-06,,2000-10-06,12259551,2000-10-06,1337.31447,2000-10-06,3.2096,2000-10-06,132689.0271,2000-10-06,,2000-10-06,15324.0,2000-10-06,
2000-10-13,,2000-10-13,,2000-10-13,25307444,2000-10-13,1337.31447,2000-10-13,3.2096,2000-10-13,116535.5803,2000-10-13,,2000-10-13,15324.0,2000-10-13,
2000-10-20,,2000-10-20,,2000-10-20,19403689,2000-10-20,1337.31447,2000-10-20,3.2096,2000-10-20,124150.7767,2000-10-20,,2000-10-20,15324.0,2000-10-20,
2000-10-27,,2000-10-27,,2000-10-27,25484725,2000-10-27,1337.31447,2000-10-27,3.2096,2000-10-27,145265.6392,2000-10-27,,2000-10-27,15324.0,2000-10-27,
2000-11-03,,2000-11-03,,2000-11-03,13326051,2000-11-03,1337.31447,2000-11-03,3.2096,2000-11-03,140534.987,2000-11-03,,2000-11-03,15324.0,2000-11-03,
2000-11-10,,2000-11-10,,2000-11-10,15269318,2000-11-10,1337.31447,2000-11-10,3.2096,2000-11-10,124612.3037,2000-11-10,,2000-11-10,15324.0,2000-11-10,
2000-11-17,,2000-11-17,,2000-11-17,14468167,2000-11-17,1337.31447,2000-11-17,3.2096,2000-11-17,124727.6855,2000-11-17,,2000-11-17,15324.0,2000-11-17,
2000-11-24,,2000-11-24,,2000-11-24,14990085,2000-11-24,1337.31447,2000-11-24,3.2096,2000-11-24,125189.2125,2000-11-24,,2000-11-24,15324.0,2000-11-24,
2000-12-01,,2000-12-01,,2000-12-01,22331872,2000-12-01,1337.31447,2000-12-01,3.2096,2000-12-01,111920.3098,2000-12-01,,2000-12-01,15324.0,2000-12-01,
2000-12-08,,2000-12-08,,2000-12-08,16878411,2000-12-08,1337.31447,2000-12-08,3.2096,2000-12-08,111458.7828,2000-12-08,,2000-12-08,15324.0,2000-12-08,
2000-12-15,,2000-12-15,,2000-12-15,19540924,2000-12-15,1337.31447,2000-12-15,3.2096,2000-12-15,113535.6545,2000-12-15,,2000-12-15,15324.0,2000-12-15,
2000-12-22,,2000-12-22,,2000-12-22,13737594,2000-12-22,1337.31447,2000-12-22,3.2096,2000-12-22,107939.639,2000-12-22,,2000-12-22,15324.0,2000-12-22,
2000-12-29,,2000-12-29,25.6844,2000-12-29,3980715,2000-12-29,1337.31447,2000-12-29,-0.1208,2000-12-29,106093.5308,2000-12-29,,2000-12-29,18350.0,2000-12-29,
2001-01-05,,2001-01-05,25.9637,2001-01-05,15576542,2001-01-05,1337.31447,2001-01-05,-0.1208,2001-01-05,107247.3484,2001-01-05,,2001-01-05,18350.0,2001-01-05,
2001-01-12,,2001-01-12,26.5363,2001-01-12,24532371,2001-01-12,1337.31447,2001-01-12,-0.1208,2001-01-12,109612.6746,2001-01-12,,2001-01-12,18350.0,2001-01-12,
2001-01-19,,2001-01-19,26.5503,2001-01-19,23351534,2001-01-19,1337.31447,2001-01-19,-0.1208,2001-01-19,109670.3654,2001-01-19,,2001-01-19,18350.0,2001-01-19,
2001-01-26,,2001-01-26,26.9972,2001-01-26,27322948,2001-01-26,1337.31447,2001-01-26,-0.1208,2001-01-26,111516.4736,2001-01-26,,2001-01-26,18350.0,2001-01-26,
2001-02-02,,2001-02-02,25.8659,2001-02-02,19970291,2001-02-02,1337.31447,2001-02-02,-0.1208,2001-02-02,106843.5123,2001-02-02,,2001-02-02,18350.0,2001-02-02,
2001-02-09,,2001-02-09,23.2123,2001-02-09,29783644,2001-02-09,1337.31447,2001-02-09,-0.1208,2001-02-09,95882.2448,2001-02-09,,2001-02-09,18350.0,2001-02-09,
2001-02-16,,2001-02-16,19.3436,2001-02-16,45588603,2001-02-16,1337.31447,2001-02-16,-0.1208,2001-02-16,79901.8707,2001-02-16,,2001-02-16,18350.0,2001-02-16,
2001-02-23,,2001-02-23,17.8771,2001-02-23,27140493,2001-02-23,1337.31447,2001-02-23,-0.1208,2001-02-23,73844.3281,2001-02-23,,2001-02-23,18350.0,2001-02-23,
2001-03-02,,2001-03-02,17.4302,2001-03-02,28573962,2001-03-02,1337.31447,2001-03-02,-0.1208,2001-03-02,71998.2199,2001-03-02,,2001-03-02,18350.0,2001-03-02,
