date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,42.408,2000-01-07,107.6823,2000-01-07,582629200,2000-01-07,5694.68799,2000-01-07,0.0675,2000-01-07,147172.0927,2000-01-07,0.0,2000-01-07,2321.8831,2000-01-07,672.487
2000-01-14,42.408,2000-01-14,111.263,2000-01-14,374404000,2000-01-14,5643.06006,2000-01-14,0.0675,2000-01-14,150687.3381,2000-01-14,0.0,2000-01-14,2321.8831,2000-01-14,672.487
2000-01-21,42.408,2000-01-21,124.349,2000-01-21,221393800,2000-01-21,5643.06006,2000-01-21,0.0675,2000-01-21,168410.0736,2000-01-21,0.0,2000-01-21,2321.8831,2000-01-21,672.487
2000-01-28,42.408,2000-01-28,98.6979,2000-01-28,298098800,2000-01-28,5643.06006,2000-01-28,0.0675,2000-01-28,133669.9851,2000-01-28,0.0,2000-01-28,2321.8831,2000-01-28,672.487
2000-02-04,42.408,2000-02-04,120.4427,2000-02-04,285635800,2000-02-04,5643.06006,2000-02-04,0.0675,2000-02-04,163119.7048,2000-02-04,0.0,2000-02-04,2321.8831,2000-02-04,672.487
2000-02-11,42.408,2000-02-11,124.349,2000-02-11,253943400,2000-02-11,5643.06006,2000-02-11,0.0675,2000-02-11,168410.0736,2000-02-11,0.0,2000-02-11,2321.8831,2000-02-11,672.487
2000-02-18,42.408,2000-02-18,122.0052,2000-02-18,223341400,2000-02-18,5643.06006,2000-02-18,0.0675,2000-02-18,165235.8523,2000-02-18,0.0,2000-02-18,2321.8831,2000-02-18,672.487
2000-02-25,42.408,2000-02-25,147.1354,2000-02-25,319360400,2000-02-25,5643.06006,2000-02-25,0.0675,2000-02-25,199270.5583,2000-02-25,0.0,2000-02-25,2321.8831,2000-02-25,672.487
2000-03-03,887.887,2000-03-03,136.3636,2000-03-03,323122800,2000-03-03,5643.06006,2000-03-03,0.135,2000-03-03,211614.7522,2000-03-03,0.0,2000-03-03,2449.418,2000-03-03,871.213
2000-03-10,887.887,2000-03-10,148.4091,2000-03-10,263460200,2000-03-10,5643.06006,2000-03-10,0.135,2000-03-10,230307.3886,2000-03-10,0.0,2000-03-10,2449.418,2000-03-10,871.213
2000-03-17,887.887,2000-03-17,145.1136,2000-03-17,444565200,2000-03-17,5643.06006,2000-03-17,0.135,2000-03-17,225193.3655,2000-03-17,0.0,2000-03-17,2449.418,2000-03-17,871.213
2000-03-24,887.887,2000-03-24,158.1818,2000-03-24,256628000,2000-03-24,5643.06006,2000-03-24,0.135,2000-03-24,245473.1125,2000-03-24,0.0,2000-03-24,2449.418,2000-03-24,871.213
2000-03-31,887.887,2000-03-31,141.9318,2000-03-31,271430600,2000-03-31,5643.06006,2000-03-31,0.135,2000-03-31,220255.6879,2000-03-31,0.0,2000-03-31,2449.418,2000-03-31,871.213
2000-04-07,887.887,2000-04-07,158.4091,2000-04-07,378141400,2000-04-07,5643.06006,2000-04-07,0.135,2000-04-07,245825.8038,2000-04-07,0.0,2000-04-07,2449.418,2000-04-07,871.213
