,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2010-10-29,,2010-10-29,,2010-10-29,,2010-10-29,,2010-10-29,,2010-10-29,,2010-10-29,0.0,2010-10-29,20.162,2010-10-29,
1,2010-11-05,,2010-11-05,,2010-11-05,,2010-11-05,,2010-11-05,,2010-11-05,,2010-11-05,0.0,2010-11-05,20.162,2010-11-05,
2,2010-11-12,,2010-11-12,,2010-11-12,,2010-11-12,,2010-11-12,,2010-11-12,,2010-11-12,0.0,2010-11-12,20.162,2010-11-12,
3,2010-11-19,,2010-11-19,,2010-11-19,,2010-11-19,,2010-11-19,,2010-11-19,,2010-11-19,0.0,2010-11-19,20.162,2010-11-19,
4,2010-11-26,,2010-11-26,,2010-11-26,,2010-11-26,,2010-11-26,,2010-11-26,,2010-11-26,0.0,2010-11-26,20.162,2010-11-26,
5,2010-12-03,,2010-12-03,,2010-12-03,,2010-12-03,,2010-12-03,,2010-12-03,,2010-12-03,0.0,2010-12-03,20.162,2010-12-03,
6,2010-12-10,,2010-12-10,,2010-12-10,,2010-12-10,,2010-12-10,,2010-12-10,,2010-12-10,0.0,2010-12-10,20.162,2010-12-10,
7,2010-12-17,,2010-12-17,,2010-12-17,,2010-12-17,,2010-12-17,,2010-12-17,,2010-12-17,0.0,2010-12-17,20.162,2010-12-17,
8,2010-12-24,,2010-12-24,,2010-12-24,,2010-12-24,,2010-12-24,,2010-12-24,,2010-12-24,0.0,2010-12-24,20.162,2010-12-24,
9,2010-12-31,,2010-12-31,,2010-12-31,,2010-12-31,,2010-12-31,,2010-12-31,,2010-12-31,0.0,2010-12-31,20.162,2010-12-31,
10,2011-01-07,,2011-01-07,,2011-01-07,,2011-01-07,,2011-01-07,,2011-01-07,,2011-01-07,0.0,2011-01-07,20.162,2011-01-07,
11,2011-01-14,,2011-01-14,,2011-01-14,,2011-01-14,,2011-01-14,,2011-01-14,,2011-01-14,0.0,2011-01-14,20.162,2011-01-14,
12,2011-01-21,,2011-01-21,,2011-01-21,,2011-01-21,,2011-01-21,,2011-01-21,,2011-01-21,0.0,2011-01-21,20.162,2011-01-21,
13,2011-01-28,,2011-01-28,,2011-01-28,,2011-01-28,,2011-01-28,,2011-01-28,,2011-01-28,0.0,2011-01-28,20.162,2011-01-28,
14,2011-02-04,,2011-02-04,,2011-02-04,,2011-02-04,,2011-02-04,,2011-02-04,,2011-02-04,0.0,2011-02-04,27.05,2011-02-04,
15,2011-02-11,,2011-02-11,,2011-02-11,,2011-02-11,,2011-02-11,,2011-02-11,,2011-02-11,0.0,2011-02-11,27.05,2011-02-11,
16,2011-02-18,,2011-02-18,,2011-02-18,,2011-02-18,,2011-02-18,,2011-02-18,,2011-02-18,0.0,2011-02-18,27.05,2011-02-18,
17,2011-02-25,,2011-02-25,,2011-02-25,,2011-02-25,,2011-02-25,,2011-02-25,,2011-02-25,0.0,2011-02-25,27.05,2011-02-25,
18,2011-03-04,,2011-03-04,,2011-03-04,,2011-03-04,,2011-03-04,,2011-03-04,,2011-03-04,0.0,2011-03-04,27.05,2011-03-04,
19,2011-03-11,,2011-03-11,,2011-03-11,,2011-03-11,,2011-03-11,,2011-03-11,,2011-03-11,0.0,2011-03-11,27.05,2011-03-11,
20,2011-03-18,,2011-03-18,,2011-03-18,,2011-03-18,,2011-03-18,,2011-03-18,,2011-03-18,0.0,2011-03-18,27.05,2011-03-18,
21,2011-03-25,,2011-03-25,,2011-03-25,,2011-03-25,,2011-03-25,,2011-03-25,,2011-03-25,0.0,2011-03-25,27.05,2011-03-25,
22,2011-04-01,,2011-04-01,,2011-04-01,,2011-04-01,,2011-04-01,,2011-04-01,,2011-04-01,0.0,2011-04-01,27.05,2011-04-01,
23,2011-04-08,,2011-04-08,,2011-04-08,,2011-04-08,,2011-04-08,,2011-04-08,,2011-04-08,0.0,2011-04-08,27.05,2011-04-08,
24,2011-04-15,,2011-04-15,,2011-04-15,,2011-04-15,,2011-04-15,,2011-04-15,,2011-04-15,0.0,2011-04-15,27.05,2011-04-15,
25,2011-04-22,,2011-04-22,,2011-04-22,,2011-04-22,,2011-04-22,,2011-04-22,,2011-04-22,0.0,2011-04-22,27.05,2011-04-22,
26,2011-04-29,,2011-04-29,,2011-04-29,,2011-04-29,,2011-04-29,,2011-04-29,,2011-04-29,0.0,2011-04-29,31.159,2011-04-29,
27,2011-05-06,,2011-05-06,,2011-05-06,,2011-05-06,,2011-05-06,,2011-05-06,,2011-05-06,0.0,2011-05-06,31.159,2011-05-06,
28,2011-05-13,,2011-05-13,,2011-05-13,,2011-05-13,,2011-05-13,,2011-05-13,,2011-05-13,0.0,2011-05-13,31.159,2011-05-13,
