,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2017-03-31,387.782,2017-03-31,,2017-03-31,,2017-03-31,,2017-03-31,-0.4,2017-03-31,,2017-03-31,0.0,2017-03-31,37.019,2017-03-31,-215.363
1,2017-04-07,387.782,2017-04-07,,2017-04-07,,2017-04-07,,2017-04-07,-0.4,2017-04-07,,2017-04-07,0.0,2017-04-07,37.019,2017-04-07,-215.363
2,2017-04-14,387.782,2017-04-14,,2017-04-14,,2017-04-14,,2017-04-14,-0.4,2017-04-14,,2017-04-14,0.0,2017-04-14,37.019,2017-04-14,-215.363
3,2017-04-21,387.782,2017-04-21,,2017-04-21,,2017-04-21,,2017-04-21,-0.4,2017-04-21,,2017-04-21,0.0,2017-04-21,37.019,2017-04-21,-215.363
4,2017-04-28,387.782,2017-04-28,,2017-04-28,,2017-04-28,,2017-04-28,-0.4,2017-04-28,,2017-04-28,0.0,2017-04-28,37.019,2017-04-28,-215.363
5,2017-05-05,387.782,2017-05-05,,2017-05-05,,2017-05-05,,2017-05-05,-0.4,2017-05-05,,2017-05-05,0.0,2017-05-05,37.019,2017-05-05,-215.363
6,2017-05-12,387.782,2017-05-12,,2017-05-12,,2017-05-12,,2017-05-12,-0.4,2017-05-12,,2017-05-12,0.0,2017-05-12,37.019,2017-05-12,-215.363
7,2017-05-19,387.782,2017-05-19,,2017-05-19,,2017-05-19,,2017-05-19,-0.4,2017-05-19,,2017-05-19,0.0,2017-05-19,37.019,2017-05-19,-215.363
8,2017-05-26,387.782,2017-05-26,,2017-05-26,,2017-05-26,,2017-05-26,-0.4,2017-05-26,,2017-05-26,0.0,2017-05-26,37.019,2017-05-26,-215.363
9,2017-06-02,387.782,2017-06-02,,2017-06-02,,2017-06-02,,2017-06-02,-0.4,2017-06-02,,2017-06-02,0.0,2017-06-02,37.019,2017-06-02,-215.363
10,2017-06-09,387.782,2017-06-09,,2017-06-09,,2017-06-09,,2017-06-09,-0.4,2017-06-09,,2017-06-09,0.0,2017-06-09,37.019,2017-06-09,-215.363
11,2017-06-16,387.782,2017-06-16,,2017-06-16,,2017-06-16,,2017-06-16,-0.4,2017-06-16,,2017-06-16,0.0,2017-06-16,37.019,2017-06-16,-215.363
12,2017-06-23,387.782,2017-06-23,,2017-06-23,,2017-06-23,,2017-06-23,-0.4,2017-06-23,,2017-06-23,0.0,2017-06-23,37.019,2017-06-23,-215.363
13,2017-06-30,1283.568,2017-06-30,,2017-06-30,,2017-06-30,,2017-06-30,-0.24,2017-06-30,,2017-06-30,0.0,2017-06-30,104.617,2017-06-30,-215.363
14,2017-07-07,1283.568,2017-07-07,,2017-07-07,,2017-07-07,,2017-07-07,-0.24,2017-07-07,,2017-07-07,0.0,2017-07-07,104.617,2017-07-07,-215.363
15,2017-07-14,1283.568,2017-07-14,,2017-07-14,,2017-07-14,,2017-07-14,-0.24,2017-07-14,,2017-07-14,0.0,2017-07-14,104.617,2017-07-14,-215.363
16,2017-07-21,1283.568,2017-07-21,,2017-07-21,,2017-07-21,,2017-07-21,-0.24,2017-07-21,,2017-07-21,0.0,2017-07-21,104.617,2017-07-21,-215.363
17,2017-07-28,1283.568,2017-07-28,,2017-07-28,,2017-07-28,,2017-07-28,-0.24,2017-07-28,,2017-07-28,0.0,2017-07-28,104.617,2017-07-28,-215.363
18,2017-08-04,1283.568,2017-08-04,,2017-08-04,,2017-08-04,,2017-08-04,-0.24,2017-08-04,,2017-08-04,0.0,2017-08-04,104.617,2017-08-04,-215.363
19,2017-08-11,1283.568,2017-08-11,,2017-08-11,,2017-08-11,,2017-08-11,-0.24,2017-08-11,,2017-08-11,0.0,2017-08-11,104.617,2017-08-11,-215.363
20,2017-08-18,1283.568,2017-08-18,,2017-08-18,,2017-08-18,,2017-08-18,-0.24,2017-08-18,,2017-08-18,0.0,2017-08-18,104.617,2017-08-18,-215.363
21,2017-08-25,1283.568,2017-08-25,,2017-08-25,,2017-08-25,,2017-08-25,-0.24,2017-08-25,,2017-08-25,0.0,2017-08-25,104.617,2017-08-25,-215.363
22,2017-09-01,1283.568,2017-09-01,,2017-09-01,,2017-09-01,,2017-09-01,-0.24,2017-09-01,,2017-09-01,0.0,2017-09-01,104.617,2017-09-01,-215.363
23,2017-09-08,1283.568,2017-09-08,,2017-09-08,,2017-09-08,,2017-09-08,-0.24,2017-09-08,,2017-09-08,0.0,2017-09-08,104.617,2017-09-08,-215.363
24,2017-09-15,1283.568,2017-09-15,,2017-09-15,,2017-09-15,,2017-09-15,-0.24,2017-09-15,,2017-09-15,0.0,2017-09-15,104.617,2017-09-15,-215.363
25,2017-09-22,1283.568,2017-09-22,,2017-09-22,,2017-09-22,,2017-09-22,-0.24,2017-09-22,,2017-09-22,0.0,2017-09-22,104.617,2017-09-22,-215.363
26,2017-09-29,-682.119,2017-09-29,,2017-09-29,,2017-09-29,,2017-09-29,-0.52,2017-09-29,,2017-09-29,0.0,2017-09-29,423.038,2017-09-29,-215.363
27,2017-10-06,-682.119,2017-10-06,,2017-10-06,,2017-10-06,,2017-10-06,-0.52,2017-10-06,,2017-10-06,0.0,2017-10-06,423.038,2017-10-06,-215.363
28,2017-10-13,-682.119,2017-10-13,,2017-10-13,,2017-10-13,,2017-10-13,-0.52,2017-10-13,,2017-10-13,0.0,2017-10-13,423.038,2017-10-13,-215.363
29,2017-10-20,-682.119,2017-10-20,,2017-10-20,,2017-10-20,,2017-10-20,-0.52,2017-10-20,,2017-10-20,0.0,2017-10-20,423.038,2017-10-20,-215.363
30,2017-10-27,-682.119,2017-10-27,,2017-10-27,,2017-10-27,,2017-10-27,-0.52,2017-10-27,,2017-10-27,0.0,2017-10-27,423.038,2017-10-27,-215.363
31,2017-11-03,-682.119,2017-11-03,,2017-11-03,,2017-11-03,,2017-11-03,-0.52,2017-11-03,,2017-11-03,0.0,2017-11-03,423.038,2017-11-03,-215.363
32,2017-11-10,-682.119,2017-11-10,,2017-11-10,,2017-11-10,,2017-11-10,-0.52,2017-11-10,,2017-11-10,0.0,2017-11-10,423.038,2017-11-10,-215.363
33,2017-11-17,-682.119,2017-11-17,,2017-11-17,,2017-11-17,,2017-11-17,-0.52,2017-11-17,,2017-11-17,0.0,2017-11-17,423.038,2017-11-17,-215.363
34,2017-11-24,-682.119,2017-11-24,,2017-11-24,,2017-11-24,,2017-11-24,-0.52,2017-11-24,,2017-11-24,0.0,2017-11-24,423.038,2017-11-24,-215.363
35,2017-12-01,-682.119,2017-12-01,,2017-12-01,,2017-12-01,,2017-12-01,-0.52,2017-12-01,,2017-12-01,0.0,2017-12-01,423.038,2017-12-01,-215.363
36,2017-12-08,-682.119,2017-12-08,,2017-12-08,,2017-12-08,,2017-12-08,-0.52,2017-12-08,,2017-12-08,0.0,2017-12-08,423.038,2017-12-08,-215.363
37,2017-12-15,-682.119,2017-12-15,,2017-12-15,,2017-12-15,,2017-12-15,-0.52,2017-12-15,,2017-12-15,0.0,2017-12-15,423.038,2017-12-15,-215.363
38,2017-12-22,-682.119,2017-12-22,,2017-12-22,,2017-12-22,,2017-12-22,-0.52,2017-12-22,,2017-12-22,0.0,2017-12-22,423.038,2017-12-22,-215.363
39,2017-12-29,9620.608,2017-12-29,,2017-12-29,,2017-12-29,,2017-12-29,0.0309,2017-12-29,,2017-12-29,0.0,2017-12-29,1179.402,2017-12-29,-20.985
40,2018-01-05,9620.608,2018-01-05,,2018-01-05,,2018-01-05,,2018-01-05,0.0309,2018-01-05,,2018-01-05,0.0,2018-01-05,1179.402,2018-01-05,-20.985
41,2018-01-12,9620.608,2018-01-12,,2018-01-12,,2018-01-12,,2018-01-12,0.0309,2018-01-12,,2018-01-12,0.0,2018-01-12,1179.402,2018-01-12,-20.985
