date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,730.0,2000-01-07,26.6844,2000-01-07,32946900,2000-01-07,1460.0,2000-01-07,0.34,2000-01-07,54932.5,2000-01-07,0.135,2000-01-07,5680.0,2000-01-07,1071.0
2000-01-14,730.0,2000-01-14,25.6649,2000-01-14,24839300,2000-01-14,1460.0,2000-01-14,0.34,2000-01-14,52833.75,2000-01-14,0.135,2000-01-14,5680.0,2000-01-14,1071.0
2000-01-21,730.0,2000-01-21,25.6206,2000-01-21,16393000,2000-01-21,1460.0,2000-01-21,0.34,2000-01-21,52742.5,2000-01-21,0.135,2000-01-21,5680.0,2000-01-21,1071.0
2000-01-28,730.0,2000-01-28,23.5816,2000-01-28,18004300,2000-01-28,1460.0,2000-01-28,0.34,2000-01-28,48545.0,2000-01-28,0.135,2000-01-28,5680.0,2000-01-28,1071.0
2000-02-04,730.0,2000-02-04,23.227,2000-02-04,17459300,2000-02-04,1460.0,2000-02-04,0.34,2000-02-04,47815.0,2000-02-04,0.135,2000-02-04,5680.0,2000-02-04,1071.0
2000-02-11,730.0,2000-02-11,24.3794,2000-02-11,28882600,2000-02-11,1460.0,2000-02-11,0.34,2000-02-11,50187.5,2000-02-11,0.135,2000-02-11,5680.0,2000-02-11,1071.0
2000-02-18,730.0,2000-02-18,24.2908,2000-02-18,18521900,2000-02-18,1460.0,2000-02-18,0.34,2000-02-18,50005.0,2000-02-18,0.135,2000-02-18,5680.0,2000-02-18,1071.0
2000-02-25,730.0,2000-02-25,23.227,2000-02-25,13997000,2000-02-25,1460.0,2000-02-25,0.34,2000-02-25,47815.0,2000-02-25,0.135,2000-02-25,5680.0,2000-02-25,1071.0
2000-03-03,730.0,2000-03-03,22.4291,2000-03-03,23576600,2000-03-03,1460.0,2000-03-03,0.34,2000-03-03,46172.5,2000-03-03,0.135,2000-03-03,5680.0,2000-03-03,1071.0
2000-03-10,730.0,2000-03-10,21.8085,2000-03-10,24233200,2000-03-10,1460.0,2000-03-10,0.34,2000-03-10,44895.0,2000-03-10,0.135,2000-03-10,5680.0,2000-03-10,1071.0
2000-03-17,65.0,2000-03-17,22.7586,2000-03-17,24249500,2000-03-17,1460.0,2000-03-17,0.29,2000-03-17,48180.0,2000-03-17,0.135,2000-03-17,4191.0,2000-03-17,857.0
2000-03-24,65.0,2000-03-24,22.7155,2000-03-24,18693300,2000-03-24,1455.0,2000-03-24,0.29,2000-03-24,47924.0625,2000-03-24,0.135,2000-03-24,4191.0,2000-03-24,857.0
2000-03-31,65.0,2000-03-31,24.0517,2000-03-31,24274400,2000-03-31,1455.0,2000-03-31,0.29,2000-03-31,50743.125,2000-03-31,0.135,2000-03-31,4191.0,2000-03-31,857.0
2000-04-07,65.0,2000-04-07,24.8276,2000-04-07,22657100,2000-04-07,1455.0,2000-04-07,0.29,2000-04-07,52380.0,2000-04-07,0.135,2000-04-07,4191.0,2000-04-07,857.0
2000-04-14,65.0,2000-04-14,25.1293,2000-04-14,15272600,2000-04-14,1455.0,2000-04-14,0.29,2000-04-14,53016.5625,2000-04-14,0.135,2000-04-14,4191.0,2000-04-14,857.0
2000-04-21,65.0,2000-04-21,25.6466,2000-04-21,14510700,2000-04-21,1455.0,2000-04-21,0.29,2000-04-21,54107.8125,2000-04-21,0.135,2000-04-21,4191.0,2000-04-21,857.0
2000-04-28,65.0,2000-04-28,25.3017,2000-04-28,16286500,2000-04-28,1441.0,2000-04-28,0.29,2000-04-28,52866.6875,2000-04-28,0.135,2000-04-28,4191.0,2000-04-28,857.0
2000-05-05,65.0,2000-05-05,25.8621,2000-05-05,13733600,2000-05-05,1441.0,2000-05-05,0.29,2000-05-05,54037.5,2000-05-05,0.135,2000-05-05,4191.0,2000-05-05,857.0
2000-05-12,65.0,2000-05-12,27.2414,2000-05-12,25676800,2000-05-12,1441.0,2000-05-12,0.29,2000-05-12,56919.5,2000-05-12,0.135,2000-05-12,4191.0,2000-05-12,857.0
2000-05-19,65.0,2000-05-19,27.069,2000-05-19,15341400,2000-05-19,1441.01819,2000-05-19,0.29,2000-05-19,56559.9639,2000-05-19,0.135,2000-05-19,4191.0,2000-05-19,857.0
2000-05-26,65.0,2000-05-26,28.2759,2000-05-26,22530600,2000-05-26,1441.01819,2000-05-26,0.29,2000-05-26,59081.7457,2000-05-26,0.135,2000-05-26,4191.0,2000-05-26,857.0
2000-06-02,65.0,2000-06-02,27.8017,2000-06-02,14316800,2000-06-02,1441.01819,2000-06-02,0.29,2000-06-02,58091.0457,2000-06-02,0.135,2000-06-02,4191.0,2000-06-02,857.0
2000-06-09,655.0,2000-06-09,30.7836,2000-06-09,18423600,2000-06-09,1441.01819,2000-06-09,0.39,2000-06-09,59442.0003,2000-06-09,0.14,2000-06-09,4928.0,2000-06-09,1025.0
2000-06-16,655.0,2000-06-16,32.6493,2000-06-16,27728300,2000-06-16,1441.01819,2000-06-16,0.39,2000-06-16,63044.5457,2000-06-16,0.14,2000-06-16,4928.0,2000-06-16,1025.0
2000-06-23,655.0,2000-06-23,31.3899,2000-06-23,18799400,2000-06-23,1441.01819,2000-06-23,0.39,2000-06-23,60612.8276,2000-06-23,0.14,2000-06-23,4928.0,2000-06-23,1025.0
2000-06-30,655.0,2000-06-30,33.1623,2000-06-30,21616300,2000-06-30,1441.01819,2000-06-30,0.39,2000-06-30,64035.2458,2000-06-30,0.14,2000-06-30,4928.0,2000-06-30,1025.0
2000-07-07,655.0,2000-07-07,31.6698,2000-07-07,11589900,2000-07-07,1441.01819,2000-07-07,0.39,2000-07-07,61153.2094,2000-07-07,0.14,2000-07-07,4928.0,2000-07-07,1025.0
2000-07-14,655.0,2000-07-14,31.1101,2000-07-14,23904200,2000-07-14,1441.01819,2000-07-14,0.39,2000-07-14,60072.4457,2000-07-14,0.14,2000-07-14,4928.0,2000-07-14,1025.0
2000-07-21,655.0,2000-07-21,33.0224,2000-07-21,20288500,2000-07-21,1443.073,2000-07-21,0.39,2000-07-21,63855.9802,2000-07-21,0.14,2000-07-21,4928.0,2000-07-21,1025.0
2000-07-28,655.0,2000-07-28,33.3955,2000-07-28,18484400,2000-07-28,1443.073,2000-07-28,0.39,2000-07-28,64577.5167,2000-07-28,0.14,2000-07-28,4928.0,2000-07-28,1025.0
2000-08-04,655.0,2000-08-04,33.6287,2000-08-04,18308100,2000-08-04,1443.073,2000-08-04,0.39,2000-08-04,65028.477,2000-08-04,0.14,2000-08-04,4928.0,2000-08-04,1025.0
2000-08-11,655.0,2000-08-11,34.1884,2000-08-11,16112900,2000-08-11,1443.073,2000-08-11,0.39,2000-08-11,66110.7817,2000-08-11,0.14,2000-08-11,4928.0,2000-08-11,1025.0
2000-08-18,655.0,2000-08-18,32.7425,2000-08-18,18210800,2000-08-18,1443.073,2000-08-18,0.39,2000-08-18,63314.8278,2000-08-18,0.14,2000-08-18,4928.0,2000-08-18,1025.0
2000-08-25,655.0,2000-08-25,31.903,2000-08-25,8064000,2000-08-25,1443.073,2000-08-25,0.39,2000-08-25,61691.3707,2000-08-25,0.14,2000-08-25,4928.0,2000-08-25,1025.0
2000-09-01,1120.0,2000-09-01,29.7975,2000-09-01,11895900,2000-09-01,1443.073,2000-09-01,0.43,2000-09-01,61060.0262,2000-09-01,0.14,2000-09-01,6421.0,2000-09-01,1391.0
2000-09-08,1120.0,2000-09-08,29.9736,2000-09-08,10327800,2000-09-08,1443.073,2000-09-08,0.43,2000-09-08,61420.7945,2000-09-08,0.14,2000-09-08,6421.0,2000-09-08,1391.0
2000-09-15,1120.0,2000-09-15,30.8099,2000-09-15,13236000,2000-09-15,1443.073,2000-09-15,0.43,2000-09-15,63134.4437,2000-09-15,0.14,2000-09-15,6421.0,2000-09-15,1391.0
2000-09-22,1120.0,2000-09-22,31.9542,2000-09-22,14994900,2000-09-22,1443.073,2000-09-22,0.43,2000-09-22,65479.4373,2000-09-22,0.14,2000-09-22,6421.0,2000-09-22,1391.0
2000-09-29,1120.0,2000-09-29,32.3944,2000-09-29,13242900,2000-09-29,1443.073,2000-09-29,0.43,2000-09-29,66381.3579,2000-09-29,0.14,2000-09-29,6421.0,2000-09-29,1391.0
2000-10-06,1120.0,2000-10-06,32.6585,2000-10-06,22266500,2000-10-06,1443.073,2000-10-06,0.43,2000-10-06,66922.5103,2000-10-06,0.14,2000-10-06,6421.0,2000-10-06,1391.0
2000-10-13,1120.0,2000-10-13,32.0423,2000-10-13,17459500,2000-10-13,1444.0,2000-10-13,0.43,2000-10-13,65702.0,2000-10-13,0.14,2000-10-13,6421.0,2000-10-13,1391.0
2000-10-20,1120.0,2000-10-20,32.7905,2000-10-20,18941100,2000-10-20,1444.0,2000-10-20,0.43,2000-10-20,67236.25,2000-10-20,0.14,2000-10-20,6421.0,2000-10-20,1391.0
2000-10-27,1120.0,2000-10-27,33.8908,2000-10-27,18994400,2000-10-27,1444.0,2000-10-27,0.43,2000-10-27,69492.5,2000-10-27,0.14,2000-10-27,6421.0,2000-10-27,1391.0
2000-11-03,1120.0,2000-11-03,32.2623,2000-11-03,23525900,2000-11-03,1444.0,2000-11-03,0.43,2000-11-03,66153.25,2000-11-03,0.14,2000-11-03,6421.0,2000-11-03,1391.0
2000-11-10,1120.0,2000-11-10,34.375,2000-11-10,17911800,2000-11-10,1444.0,2000-11-10,0.43,2000-11-10,70485.25,2000-11-10,0.14,2000-11-10,6421.0,2000-11-10,1391.0
2000-11-17,1120.0,2000-11-17,30.9419,2000-11-17,25483300,2000-11-17,1444.0,2000-11-17,0.43,2000-11-17,63445.75,2000-11-17,0.14,2000-11-17,6421.0,2000-11-17,1391.0
2000-11-24,1120.0,2000-11-24,31.338,2000-11-24,18796100,2000-11-24,1444.0,2000-11-24,0.43,2000-11-24,64258.0,2000-11-24,0.14,2000-11-24,6421.0,2000-11-24,1391.0
2000-12-01,1120.0,2000-12-01,29.8415,2000-12-01,25108100,2000-12-01,1444.0,2000-12-01,0.43,2000-12-01,61189.5,2000-12-01,0.14,2000-12-01,6421.0,2000-12-01,1391.0
2000-12-08,1120.0,2000-12-08,33.4067,2000-12-08,38847900,2000-12-08,1444.0,2000-12-08,0.43,2000-12-08,68499.75,2000-12-08,0.14,2000-12-08,6421.0,2000-12-08,1391.0
2000-12-15,1120.0,2000-12-15,34.375,2000-12-15,26162000,2000-12-15,1444.0,2000-12-15,0.43,2000-12-15,70485.25,2000-12-15,0.14,2000-12-15,6421.0,2000-12-15,1391.0
2000-12-22,1120.0,2000-12-22,34.243,2000-12-22,20859400,2000-12-22,1444.0,2000-12-22,0.43,2000-12-22,70214.5,2000-12-22,0.14,2000-12-22,6421.0,2000-12-22,1391.0
2000-12-29,1248.0,2000-12-29,32.1834,2000-12-29,11826800,2000-12-29,1444.0,2000-12-29,0.4,2000-12-29,71568.25,2000-12-29,0.14,2000-12-29,9939.0,2000-12-29,1822.0
2001-01-05,1248.0,2001-01-05,29.4237,2001-01-05,28872800,2001-01-05,1444.0,2001-01-05,0.4,2001-01-05,65431.25,2001-01-05,0.14,2001-01-05,9939.0,2001-01-05,1822.0
2001-01-12,1248.0,2001-01-12,29.6672,2001-01-12,17847800,2001-01-12,1444.0,2001-01-12,0.4,2001-01-12,65972.75,2001-01-12,0.14,2001-01-12,9939.0,2001-01-12,1822.0
2001-01-19,1248.0,2001-01-19,28.4497,2001-01-19,15139000,2001-01-19,1444.0,2001-01-19,0.4,2001-01-19,63265.25,2001-01-19,0.14,2001-01-19,9939.0,2001-01-19,1822.0
2001-01-26,1248.0,2001-01-26,28.612,2001-01-26,24979400,2001-01-26,1444.0,2001-01-26,0.4,2001-01-26,63626.25,2001-01-26,0.14,2001-01-26,9939.0,2001-01-26,1822.0
2001-02-02,1248.0,2001-02-02,29.2143,2001-02-02,23145900,2001-02-02,1444.0,2001-02-02,0.4,2001-02-02,64965.56,2001-02-02,0.14,2001-02-02,9939.0,2001-02-02,1822.0
2001-02-09,1248.0,2001-02-09,30.0,2001-02-09,22566800,2001-02-09,1444.0,2001-02-09,0.4,2001-02-09,66712.8,2001-02-09,0.14,2001-02-09,9939.0,2001-02-09,1822.0
2001-02-16,1248.0,2001-02-16,30.7273,2001-02-16,19792300,2001-02-16,1444.0,2001-02-16,0.4,2001-02-16,68330.08,2001-02-16,0.14,2001-02-16,9939.0,2001-02-16,1822.0
2001-02-23,1248.0,2001-02-23,30.1169,2001-02-23,22510100,2001-02-23,1444.0,2001-02-23,0.4,2001-02-23,66972.72,2001-02-23,0.14,2001-02-23,9939.0,2001-02-23,1822.0
