date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2014-11-21,,2014-11-21,,2014-11-21,74218161.0,2014-11-21,192.24702,2014-11-21,,2014-11-21,3543.1127,2014-11-21,,2014-11-21,,2014-11-21,
2014-11-28,,2014-11-28,,2014-11-28,11655946.0,2014-11-28,211.89702,2014-11-28,,2014-11-28,3983.6639,2014-11-28,,2014-11-28,,2014-11-28,
2014-12-05,,2014-12-05,,2014-12-05,9543885.0,2014-12-05,211.89702,2014-12-05,,2014-12-05,3901.0241,2014-12-05,,2014-12-05,,2014-12-05,
2014-12-12,,2014-12-12,,2014-12-12,11081512.0,2014-12-12,211.89702,2014-12-12,,2014-12-12,3886.1913,2014-12-12,,2014-12-12,,2014-12-12,
2014-12-19,,2014-12-19,,2014-12-19,17801107.0,2014-12-19,211.89702,2014-12-19,,2014-12-19,3831.0981,2014-12-19,,2014-12-19,,2014-12-19,
2014-12-26,,2014-12-26,,2014-12-26,6800586.0,2014-12-26,211.89702,2014-12-26,,2014-12-26,3949.7604,2014-12-26,,2014-12-26,,2014-12-26,
2015-01-02,,2015-01-02,,2015-01-02,3604201.0,2015-01-02,211.89702,2015-01-02,,2015-01-02,3979.426,2015-01-02,,2015-01-02,,2015-01-02,
2015-01-09,,2015-01-09,,2015-01-09,5386159.0,2015-01-09,211.89702,2015-01-09,,2015-01-09,4129.8729,2015-01-09,,2015-01-09,,2015-01-09,
2015-01-16,,2015-01-16,,2015-01-16,3691204.0,2015-01-16,211.89702,2015-01-16,,2015-01-16,4095.9694,2015-01-16,,2015-01-16,,2015-01-16,
2015-01-23,,2015-01-23,,2015-01-23,2894840.0,2015-01-23,211.89702,2015-01-23,,2015-01-23,4091.7314,2015-01-23,,2015-01-23,,2015-01-23,
2015-01-30,,2015-01-30,,2015-01-30,3789883.0,2015-01-30,211.89702,2015-01-30,,2015-01-30,4100.2073,2015-01-30,,2015-01-30,,2015-01-30,
2015-02-06,,2015-02-06,,2015-02-06,5943744.0,2015-02-06,211.89702,2015-02-06,,2015-02-06,3941.2845,2015-02-06,,2015-02-06,,2015-02-06,
2015-02-13,,2015-02-13,,2015-02-13,5198168.0,2015-02-13,211.89702,2015-02-13,,2015-02-13,3928.5707,2015-02-13,,2015-02-13,,2015-02-13,
2015-02-20,,2015-02-20,,2015-02-20,4202788.0,2015-02-20,211.89702,2015-02-20,,2015-02-20,3977.307,2015-02-20,,2015-02-20,,2015-02-20,
2015-02-27,,2015-02-27,,2015-02-27,5821034.0,2015-02-27,211.89702,2015-02-27,,2015-02-27,3888.3103,2015-02-27,,2015-02-27,,2015-02-27,
2015-03-06,,2015-03-06,,2015-03-06,4947152.0,2015-03-06,211.89702,2015-03-06,,2015-03-06,3805.6705,2015-03-06,,2015-03-06,,2015-03-06,
2015-03-13,,2015-03-13,,2015-03-13,8172601.0,2015-03-13,211.89702,2015-03-13,,2015-03-13,3992.1398,2015-03-13,,2015-03-13,,2015-03-13,
2015-03-20,,2015-03-20,,2015-03-20,28581048.0,2015-03-20,212.10672,2015-03-20,,2015-03-20,4153.0496,2015-03-20,,2015-03-20,,2015-03-20,
2015-03-27,,2015-03-27,,2015-03-27,6847464.0,2015-03-27,212.10672,2015-03-27,,2015-03-27,4059.7226,2015-03-27,,2015-03-27,,2015-03-27,
2015-04-03,-22.3,2015-04-03,,2015-04-03,10170366.0,2015-04-03,212.10672,2015-04-03,-0.05,2015-04-03,4097.9018,2015-04-03,0.095,2015-04-03,161.226,2015-04-03,86.729
2015-04-10,-22.3,2015-04-10,,2015-04-10,5112489.0,2015-04-10,212.10672,2015-04-10,-0.05,2015-04-10,3960.0325,2015-04-10,0.095,2015-04-10,161.226,2015-04-10,86.729
2015-04-17,-22.3,2015-04-17,,2015-04-17,6443474.0,2015-04-17,212.10672,2015-04-17,-0.05,2015-04-17,3979.1221,2015-04-17,0.095,2015-04-17,161.226,2015-04-17,86.729
2015-04-24,-22.3,2015-04-24,,2015-04-24,5779946.0,2015-04-24,212.10672,2015-04-24,-0.05,2015-04-24,4046.9962,2015-04-24,0.095,2015-04-24,161.226,2015-04-24,86.729
2015-05-01,-22.3,2015-05-01,,2015-05-01,6337210.0,2015-05-01,212.10672,2015-05-01,-0.05,2015-05-01,3892.1583,2015-05-01,0.095,2015-05-01,161.226,2015-05-01,86.729
2015-05-08,-22.3,2015-05-08,,2015-05-08,7871553.0,2015-05-08,212.10672,2015-05-08,-0.05,2015-05-08,3902.7636,2015-05-08,0.095,2015-05-08,161.226,2015-05-08,86.729
2015-05-15,-22.3,2015-05-15,,2015-05-15,8189431.0,2015-05-15,212.10672,2015-05-15,-0.05,2015-05-15,3945.185,2015-05-15,0.095,2015-05-15,161.226,2015-05-15,86.729
2015-05-22,-22.3,2015-05-22,,2015-05-22,9026913.0,2015-05-22,212.10672,2015-05-22,-0.05,2015-05-22,4061.8437,2015-05-22,0.095,2015-05-22,161.226,2015-05-22,86.729
2015-05-29,-22.3,2015-05-29,,2015-05-29,22351803.0,2015-05-29,212.10672,2015-05-29,-0.05,2015-05-29,3890.0372,2015-05-29,0.095,2015-05-29,161.226,2015-05-29,86.729
2015-06-05,-22.3,2015-06-05,,2015-06-05,6649717.0,2015-06-05,212.10672,2015-06-05,-0.05,2015-06-05,3815.7999,2015-06-05,0.095,2015-06-05,161.226,2015-06-05,86.729
2015-06-12,-22.3,2015-06-12,,2015-06-12,10226433.0,2015-06-12,212.10672,2015-06-12,-0.05,2015-06-12,3796.7103,2015-06-12,0.095,2015-06-12,161.226,2015-06-12,86.729
2015-06-19,-22.3,2015-06-19,,2015-06-19,8988764.0,2015-06-19,212.10672,2015-06-19,-0.05,2015-06-19,3815.7999,2015-06-19,0.095,2015-06-19,161.226,2015-06-19,86.729
2015-06-26,-22.3,2015-06-26,,2015-06-26,9306161.0,2015-06-26,212.10672,2015-06-26,-0.05,2015-06-26,3697.0201,2015-06-26,0.095,2015-06-26,161.226,2015-06-26,86.729
2015-07-03,42.712,2015-07-03,,2015-07-03,8841960.0,2015-07-03,212.10672,2015-07-03,-0.02,2015-07-03,3788.226,2015-07-03,0.095,2015-07-03,162.928,2015-07-03,87.806
2015-07-10,42.712,2015-07-10,,2015-07-10,7415132.0,2015-07-10,212.10672,2015-07-10,-0.02,2015-07-10,3788.226,2015-07-10,0.095,2015-07-10,162.928,2015-07-10,87.806
2015-07-17,42.712,2015-07-17,,2015-07-17,4985593.0,2015-07-17,212.10672,2015-07-17,-0.02,2015-07-17,3788.226,2015-07-17,0.095,2015-07-17,162.928,2015-07-17,87.806
2015-07-24,42.712,2015-07-24,,2015-07-24,4384094.0,2015-07-24,212.10672,2015-07-24,-0.02,2015-07-24,3794.5892,2015-07-24,0.095,2015-07-24,162.928,2015-07-24,87.806
2015-07-31,42.712,2015-07-31,,2015-07-31,5080546.0,2015-07-31,212.10672,2015-07-31,-0.02,2015-07-31,3790.3471,2015-07-31,0.095,2015-07-31,162.928,2015-07-31,87.806
2015-08-07,42.712,2015-08-07,,2015-08-07,3909963.0,2015-08-07,212.10672,2015-08-07,-0.02,2015-08-07,3807.3156,2015-08-07,0.095,2015-08-07,162.928,2015-08-07,87.806
2015-08-14,42.712,2015-08-14,,2015-08-14,5047898.0,2015-08-14,212.11194,2015-08-14,-0.02,2015-08-14,3847.7106,2015-08-14,0.095,2015-08-14,162.928,2015-08-14,87.806
2015-08-21,42.712,2015-08-21,,2015-08-21,2916678.0,2015-08-21,212.11194,2015-08-21,-0.02,2015-08-21,3720.4434,2015-08-21,0.095,2015-08-21,162.928,2015-08-21,87.806
2015-08-28,42.712,2015-08-28,,2015-08-28,4411348.0,2015-08-28,212.11194,2015-08-28,-0.02,2015-08-28,3567.7228,2015-08-28,0.095,2015-08-28,162.928,2015-08-28,87.806
2015-09-04,42.712,2015-09-04,,2015-09-04,5833512.0,2015-09-04,212.11194,2015-09-04,-0.02,2015-09-04,3334.3997,2015-09-04,0.095,2015-09-04,162.928,2015-09-04,87.806
2015-09-11,42.712,2015-09-11,,2015-09-11,4145607.0,2015-09-11,212.11194,2015-09-11,-0.02,2015-09-11,3406.5177,2015-09-11,0.095,2015-09-11,162.928,2015-09-11,87.806
2015-09-18,42.712,2015-09-18,,2015-09-18,4159207.0,2015-09-18,212.11194,2015-09-18,-0.02,2015-09-18,3620.7508,2015-09-18,0.095,2015-09-18,162.928,2015-09-18,87.806
2015-09-25,42.712,2015-09-25,,2015-09-25,4257518.0,2015-09-25,212.11194,2015-09-25,-0.02,2015-09-25,3554.9961,2015-09-25,0.095,2015-09-25,162.928,2015-09-25,87.806
2015-10-02,-30.68,2015-10-02,,2015-10-02,9150627.0,2015-10-02,212.11194,2015-10-02,0.01,2015-10-02,3550.7539,2015-10-02,0.095,2015-10-02,167.726,2015-10-02,97.221
2015-10-09,-30.68,2015-10-09,,2015-10-09,5436776.0,2015-10-09,212.11194,2015-10-09,0.01,2015-10-09,3701.3533,2015-10-09,0.095,2015-10-09,167.726,2015-10-09,97.221
2015-10-16,-30.68,2015-10-16,,2015-10-16,2164552.0,2015-10-16,212.11194,2015-10-16,0.01,2015-10-16,3762.8658,2015-10-16,0.095,2015-10-16,167.726,2015-10-16,97.221
2015-10-23,-30.68,2015-10-23,,2015-10-23,4421609.0,2015-10-23,212.11194,2015-10-23,0.01,2015-10-23,3824.3783,2015-10-23,0.095,2015-10-23,167.726,2015-10-23,97.221
2015-10-30,-30.68,2015-10-30,,2015-10-30,3578306.0,2015-10-30,212.11194,2015-10-30,0.01,2015-10-30,3769.2291,2015-10-30,0.095,2015-10-30,167.726,2015-10-30,97.221
2015-11-06,-30.68,2015-11-06,,2015-11-06,3806759.0,2015-11-06,212.11194,2015-11-06,0.01,2015-11-06,3845.5894,2015-11-06,0.095,2015-11-06,167.726,2015-11-06,97.221
2015-11-13,-30.68,2015-11-13,,2015-11-13,3392797.0,2015-11-13,212.11194,2015-11-13,0.01,2015-11-13,3764.9869,2015-11-13,0.095,2015-11-13,167.726,2015-11-13,97.221
2015-11-20,-30.68,2015-11-20,,2015-11-20,3941584.0,2015-11-20,212.11194,2015-11-20,0.01,2015-11-20,3875.2851,2015-11-20,0.095,2015-11-20,167.726,2015-11-20,97.221
2015-11-27,-30.68,2015-11-27,,2015-11-27,1430489.0,2015-11-27,212.11194,2015-11-27,0.01,2015-11-27,3915.5864,2015-11-27,0.095,2015-11-27,167.726,2015-11-27,97.221
2015-12-04,-30.68,2015-12-04,,2015-12-04,3106296.0,2015-12-04,212.11194,2015-12-04,0.01,2015-12-04,3832.8627,2015-12-04,0.095,2015-12-04,167.726,2015-12-04,97.221
2015-12-11,-30.68,2015-12-11,,2015-12-11,4095623.0,2015-12-11,212.11194,2015-12-11,0.01,2015-12-11,3716.2012,2015-12-11,0.095,2015-12-11,167.726,2015-12-11,97.221
2015-12-18,-30.68,2015-12-18,,2015-12-18,4717150.0,2015-12-18,212.11194,2015-12-18,0.01,2015-12-18,3762.8658,2015-12-18,0.095,2015-12-18,167.726,2015-12-18,97.221
2015-12-25,-30.68,2015-12-25,,2015-12-25,2193630.0,2015-12-25,212.11194,2015-12-25,0.01,2015-12-25,3781.9559,2015-12-25,0.095,2015-12-25,167.726,2015-12-25,97.221
2016-01-01,-114.56,2016-01-01,,2016-01-01,1209140.0,2016-01-01,212.11194,2016-01-01,0.04,2016-01-01,3839.2261,2016-01-01,0.095,2016-01-01,170.528,2016-01-01,94.626
2016-01-08,-114.56,2016-01-08,,2016-01-08,4297686.0,2016-01-08,212.11194,2016-01-08,0.04,2016-01-08,3741.6546,2016-01-08,0.095,2016-01-08,170.528,2016-01-08,94.626
2016-01-15,-114.56,2016-01-15,,2016-01-15,3450391.0,2016-01-15,212.11194,2016-01-15,0.04,2016-01-15,3567.7228,2016-01-15,0.095,2016-01-15,170.528,2016-01-15,94.626
2016-01-22,-114.56,2016-01-22,,2016-01-22,2748849.0,2016-01-22,212.11194,2016-01-22,0.04,2016-01-22,3584.6918,2016-01-22,0.095,2016-01-22,170.528,2016-01-22,94.626
2016-01-29,-114.56,2016-01-29,,2016-01-29,5882724.0,2016-01-29,212.11194,2016-01-29,0.04,2016-01-29,3478.6358,2016-01-29,0.095,2016-01-29,170.528,2016-01-29,94.626
