date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,1211.8846,2000-01-07,25.8854,2000-01-07,23940921,2000-01-07,1283.93039,2000-01-07,0.4645,2000-01-07,23697.907,2000-01-07,0.3177,2000-01-07,3897.421,2000-01-07,1404.1703
2000-01-14,1211.8846,2000-01-14,23.5436,2000-01-14,23485712,2000-01-14,1283.93039,2000-01-14,0.4645,2000-01-14,21781.8891,2000-01-14,0.3177,2000-01-14,3897.421,2000-01-14,1404.1703
2000-01-21,1211.8846,2000-01-21,22.5602,2000-01-21,30878915,2000-01-21,1283.93039,2000-01-21,0.4645,2000-01-21,20736.9784,2000-01-21,0.3177,2000-01-21,3897.421,2000-01-21,1404.1703
2000-01-28,1211.8846,2000-01-28,20.3223,2000-01-28,21490746,2000-01-28,1283.93039,2000-01-28,0.4645,2000-01-28,18832.0009,2000-01-28,0.3177,2000-01-28,3897.421,2000-01-28,1404.1703
2000-02-04,1211.8846,2000-02-04,19.4086,2000-02-04,20378951,2000-02-04,1283.93039,2000-02-04,0.4645,2000-02-04,18595.0643,2000-02-04,0.3177,2000-02-04,3897.421,2000-02-04,1404.1703
2000-02-11,1211.8846,2000-02-11,17.651,2000-02-11,33187135,2000-02-11,1283.93039,2000-02-11,0.4645,2000-02-11,17103.984,2000-02-11,0.3177,2000-02-11,3897.421,2000-02-11,1404.1703
2000-02-18,1211.8846,2000-02-18,18.175,2000-02-18,21706369,2000-02-18,1283.93039,2000-02-18,0.4645,2000-02-18,17600.4613,2000-02-18,0.3177,2000-02-18,3897.421,2000-02-18,1404.1703
2000-02-25,1211.8846,2000-02-25,16.421,2000-02-25,29589656,2000-02-25,1283.93039,2000-02-25,0.4645,2000-02-25,16020.1589,2000-02-25,0.3177,2000-02-25,3897.421,2000-02-25,1404.1703
2000-03-03,1211.8846,2000-03-03,16.5481,2000-03-03,28946004,2000-03-03,1283.93039,2000-03-03,0.4645,2000-03-03,16193.3246,2000-03-03,0.3177,2000-03-03,3897.421,2000-03-03,1404.1703
2000-03-10,1211.8846,2000-03-10,15.6068,2000-03-10,24863934,2000-03-10,1283.93039,2000-03-10,0.4645,2000-03-10,15208.581,2000-03-10,0.3177,2000-03-10,3897.421,2000-03-10,1404.1703
