,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,334455,2000-01-07 00:00:00,110.451,2000-01-07 00:00:00,,2000-01-07 00:00:00,4896.6612,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,
1,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,395244,2000-01-14 00:00:00,110.451,2000-01-14 00:00:00,,2000-01-14 00:00:00,5702.9535,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,
2,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,257814,2000-01-21 00:00:00,110.451,2000-01-21 00:00:00,,2000-01-21 00:00:00,4970.2952,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,
3,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,257226,2000-01-28 00:00:00,110.451,2000-01-28 00:00:00,,2000-01-28 00:00:00,5275.8763,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,
4,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,200289,2000-02-04 00:00:00,110.451,2000-02-04 00:00:00,,2000-02-04 00:00:00,4988.7037,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,
5,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,306366,2000-02-11 00:00:00,110.451,2000-02-11 00:00:00,,2000-02-11 00:00:00,5522.5502,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,
6,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,303954,2000-02-18 00:00:00,110.451,2000-02-18 00:00:00,,2000-02-18 00:00:00,5117.5632,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,
7,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,295791,2000-02-25 00:00:00,110.451,2000-02-25 00:00:00,,2000-02-25 00:00:00,4657.3507,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,
8,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,292440,2000-03-03 00:00:00,110.451,2000-03-03 00:00:00,,2000-03-03 00:00:00,4609.4886,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,
9,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,323373,2000-03-10 00:00:00,110.451,2000-03-10 00:00:00,,2000-03-10 00:00:00,5345.8286,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,
10,2000-03-17 00:00:00,,2000-03-17 00:00:00,,2000-03-17 00:00:00,216651,2000-03-17 00:00:00,110.451,2000-03-17 00:00:00,,2000-03-17 00:00:00,5467.3247,2000-03-17 00:00:00,,2000-03-17 00:00:00,,2000-03-17 00:00:00,
11,2000-03-24 00:00:00,,2000-03-24 00:00:00,,2000-03-24 00:00:00,922881,2000-03-24 00:00:00,110.451,2000-03-24 00:00:00,,2000-03-24 00:00:00,5338.4652,2000-03-24 00:00:00,,2000-03-24 00:00:00,,2000-03-24 00:00:00,
12,2000-03-31 00:00:00,,2000-03-31 00:00:00,,2000-03-31 00:00:00,194535,2000-03-31 00:00:00,110.451,2000-03-31 00:00:00,,2000-03-31 00:00:00,5338.4652,2000-03-31 00:00:00,,2000-03-31 00:00:00,,2000-03-31 00:00:00,
13,2000-04-07 00:00:00,,2000-04-07 00:00:00,,2000-04-07 00:00:00,296073,2000-04-07 00:00:00,110.451,2000-04-07 00:00:00,,2000-04-07 00:00:00,5099.1547,2000-04-07 00:00:00,,2000-04-07 00:00:00,,2000-04-07 00:00:00,
14,2000-04-14 00:00:00,,2000-04-14 00:00:00,,2000-04-14 00:00:00,277461,2000-04-14 00:00:00,110.451,2000-04-14 00:00:00,,2000-04-14 00:00:00,5235.3776,2000-04-14 00:00:00,,2000-04-14 00:00:00,,2000-04-14 00:00:00,
15,2000-04-21 00:00:00,,2000-04-21 00:00:00,,2000-04-21 00:00:00,413394,2000-04-21 00:00:00,110.451,2000-04-21 00:00:00,,2000-04-21 00:00:00,5290.6031,2000-04-21 00:00:00,,2000-04-21 00:00:00,,2000-04-21 00:00:00,
16,2000-04-28 00:00:00,,2000-04-28 00:00:00,,2000-04-28 00:00:00,418782,2000-04-28 00:00:00,110.451,2000-04-28 00:00:00,,2000-04-28 00:00:00,5743.4522,2000-04-28 00:00:00,,2000-04-28 00:00:00,,2000-04-28 00:00:00,
17,2000-05-05 00:00:00,,2000-05-05 00:00:00,,2000-05-05 00:00:00,130344,2000-05-05 00:00:00,110.451,2000-05-05 00:00:00,,2000-05-05 00:00:00,5702.9535,2000-05-05 00:00:00,,2000-05-05 00:00:00,,2000-05-05 00:00:00,
18,2000-05-12 00:00:00,,2000-05-12 00:00:00,,2000-05-12 00:00:00,285531,2000-05-12 00:00:00,110.451,2000-05-12 00:00:00,,2000-05-12 00:00:00,5725.0437,2000-05-12 00:00:00,,2000-05-12 00:00:00,,2000-05-12 00:00:00,
19,2000-05-19 00:00:00,,2000-05-19 00:00:00,,2000-05-19 00:00:00,278937,2000-05-19 00:00:00,110.163,2000-05-19 00:00:00,,2000-05-19 00:00:00,5324.5451,2000-05-19 00:00:00,,2000-05-19 00:00:00,,2000-05-19 00:00:00,
20,2000-05-26 00:00:00,,2000-05-26 00:00:00,,2000-05-26 00:00:00,221991,2000-05-26 00:00:00,110.163,2000-05-26 00:00:00,,2000-05-26 00:00:00,5599.9526,2000-05-26 00:00:00,,2000-05-26 00:00:00,,2000-05-26 00:00:00,
