date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,12.0767,2000-01-07,142316207,2000-01-07,4385.57219,2000-01-07,0.0367,2000-01-07,3435.1352,2000-01-07,,2000-01-07,2530.0,2000-01-07,123.0
2000-01-14,,2000-01-14,12.328,2000-01-14,82408039,2000-01-14,4385.57219,2000-01-14,0.0367,2000-01-14,3506.6221,2000-01-14,,2000-01-14,2530.0,2000-01-14,123.0
2000-01-21,,2000-01-21,12.0503,2000-01-21,90860876,2000-01-21,4385.57219,2000-01-21,0.0367,2000-01-21,3427.6103,2000-01-21,,2000-01-21,2530.0,2000-01-21,123.0
2000-01-28,,2000-01-28,11.1772,2000-01-28,72130586,2000-01-28,4385.57219,2000-01-28,0.0367,2000-01-28,3179.2872,2000-01-28,,2000-01-28,2530.0,2000-01-28,123.0
2000-02-04,,2000-02-04,11.3095,2000-02-04,77355575,2000-02-04,4385.57219,2000-02-04,0.0367,2000-02-04,3216.9119,2000-02-04,,2000-02-04,2530.0,2000-02-04,123.0
2000-02-11,,2000-02-11,10.754,2000-02-11,102378500,2000-02-11,4385.57219,2000-02-11,0.0367,2000-02-11,3058.8882,2000-02-11,,2000-02-11,2530.0,2000-02-11,123.0
2000-02-18,,2000-02-18,10.8333,2000-02-18,93937544,2000-02-18,4385.57219,2000-02-18,0.0367,2000-02-18,3081.463,2000-02-18,,2000-02-18,2530.0,2000-02-18,123.0
2000-02-25,,2000-02-25,10.8069,2000-02-25,147741404,2000-02-25,4385.57219,2000-02-25,0.0367,2000-02-25,3073.9381,2000-02-25,,2000-02-25,2530.0,2000-02-25,123.0
2000-03-03,,2000-03-03,9.9471,2000-03-03,189968552,2000-03-03,4502.23811,2000-03-03,0.0367,2000-03-03,2904.6452,2000-03-03,,2000-03-03,2530.0,2000-03-03,123.0
2000-03-10,,2000-03-10,9.8016,2000-03-10,124427246,2000-03-10,4502.23811,2000-03-10,0.0367,2000-03-10,2862.157,2000-03-10,,2000-03-10,2530.0,2000-03-10,123.0
2000-03-17,,2000-03-17,10.582,2000-03-17,128520381,2000-03-17,4502.23811,2000-03-17,0.0367,2000-03-17,3090.0481,2000-03-17,,2000-03-17,2530.0,2000-03-17,123.0
2000-03-24,,2000-03-24,10.5291,2000-03-24,58361330,2000-03-24,4502.23811,2000-03-24,0.0367,2000-03-24,3074.5979,2000-03-24,,2000-03-24,2530.0,2000-03-24,123.0
2000-03-31,,2000-03-31,10.754,2000-03-31,134007273,2000-03-31,4502.23811,2000-03-31,0.0367,2000-03-31,3140.2614,2000-03-31,,2000-03-31,2530.0,2000-03-31,123.0
2000-04-07,,2000-04-07,11.1905,2000-04-07,95643565,2000-04-07,4502.23811,2000-04-07,0.0367,2000-04-07,3267.7259,2000-04-07,,2000-04-07,2530.0,2000-04-07,123.0
2000-04-14,,2000-04-14,11.8386,2000-04-14,74575427,2000-04-14,4502.23811,2000-04-14,0.0367,2000-04-14,3456.9913,2000-04-14,,2000-04-14,2530.0,2000-04-14,123.0
2000-04-21,,2000-04-21,12.0106,2000-04-21,51190883,2000-04-21,4502.23811,2000-04-21,0.0367,2000-04-21,3507.2046,2000-04-21,,2000-04-21,2530.0,2000-04-21,123.0
2000-04-28,,2000-04-28,12.5794,2000-04-28,88809399,2000-04-28,4502.23811,2000-04-28,0.0367,2000-04-28,3673.2947,2000-04-28,,2000-04-28,2530.0,2000-04-28,123.0
2000-05-05,,2000-05-05,12.0503,2000-05-05,78891397,2000-05-05,4502.23811,2000-05-05,0.0367,2000-05-05,3518.7923,2000-05-05,,2000-05-05,2530.0,2000-05-05,123.0
2000-05-12,,2000-05-12,12.4206,2000-05-12,80419005,2000-05-12,4502.23811,2000-05-12,0.0367,2000-05-12,3626.944,2000-05-12,,2000-05-12,2530.0,2000-05-12,123.0
2000-05-19,,2000-05-19,13.1085,2000-05-19,113051992,2000-05-19,4540.05035,2000-05-19,0.0367,2000-05-19,3859.945,2000-05-19,,2000-05-19,2530.0,2000-05-19,123.0
2000-05-26,,2000-05-26,13.2011,2000-05-26,128830867,2000-05-26,4540.05035,2000-05-26,0.0367,2000-05-26,3887.21,2000-05-26,,2000-05-26,2530.0,2000-05-26,123.0
2000-06-02,,2000-06-02,12.5397,2000-06-02,76202927,2000-06-02,4540.05035,2000-06-02,0.0367,2000-06-02,3692.46,2000-06-02,,2000-06-02,2530.0,2000-06-02,123.0
2000-06-09,,2000-06-09,13.1746,2000-06-09,69469921,2000-06-09,4540.05035,2000-06-09,0.0367,2000-06-09,3879.42,2000-06-09,,2000-06-09,2530.0,2000-06-09,123.0
2000-06-16,,2000-06-16,13.254,2000-06-16,55331357,2000-06-16,4540.05035,2000-06-16,0.0367,2000-06-16,3902.79,2000-06-16,,2000-06-16,2530.0,2000-06-16,123.0
2000-06-23,,2000-06-23,13.2407,2000-06-23,51645911,2000-06-23,4540.05035,2000-06-23,0.0367,2000-06-23,3898.895,2000-06-23,,2000-06-23,2530.0,2000-06-23,123.0
2000-06-30,,2000-06-30,19.7059,2000-06-30,78763064,2000-06-30,4540.05035,2000-06-30,0.0041,2000-06-30,3653.51,2000-06-30,,2000-06-30,2641.0,2000-06-30,289.0
2000-07-07,,2000-07-07,19.6849,2000-07-07,94363376,2000-07-07,4566.27658,2000-07-07,0.0041,2000-07-07,3670.6975,2000-07-07,,2000-07-07,2641.0,2000-07-07,289.0
2000-07-14,,2000-07-14,18.8025,2000-07-14,155094237,2000-07-14,4566.27658,2000-07-14,0.0041,2000-07-14,3506.1625,2000-07-14,,2000-07-14,2641.0,2000-07-14,289.0
2000-07-21,,2000-07-21,19.5378,2000-07-21,97882142,2000-07-21,4566.27658,2000-07-21,0.0041,2000-07-21,3643.275,2000-07-21,,2000-07-21,2641.0,2000-07-21,289.0
2000-07-28,,2000-07-28,20.084,2000-07-28,94010799,2000-07-28,4566.27658,2000-07-28,0.0041,2000-07-28,3745.13,2000-07-28,,2000-07-28,2641.0,2000-07-28,289.0
2000-08-04,,2000-08-04,20.042,2000-08-04,61269611,2000-08-04,4566.27658,2000-08-04,0.0041,2000-08-04,3737.295,2000-08-04,,2000-08-04,2641.0,2000-08-04,289.0
2000-08-11,,2000-08-11,20.3151,2000-08-11,68558776,2000-08-11,4566.27658,2000-08-11,0.0041,2000-08-11,3788.2225,2000-08-11,,2000-08-11,2641.0,2000-08-11,289.0
2000-08-18,,2000-08-18,19.3277,2000-08-18,79976373,2000-08-18,4566.27658,2000-08-18,0.0041,2000-08-18,3604.1,2000-08-18,,2000-08-18,2641.0,2000-08-18,289.0
2000-08-25,,2000-08-25,14.7059,2000-08-25,559391724,2000-08-25,4566.27658,2000-08-25,0.0041,2000-08-25,2742.25,2000-08-25,,2000-08-25,2641.0,2000-08-25,289.0
2000-09-01,,2000-09-01,15.8824,2000-09-01,321994280,2000-09-01,4566.27658,2000-09-01,0.0041,2000-09-01,2961.63,2000-09-01,,2000-09-01,2641.0,2000-09-01,289.0
2000-09-08,,2000-09-08,15.1471,2000-09-08,183582566,2000-09-08,4566.27658,2000-09-08,0.0041,2000-09-08,2824.5175,2000-09-08,,2000-09-08,2641.0,2000-09-08,289.0
2000-09-15,,2000-09-15,14.1597,2000-09-15,215668707,2000-09-15,4566.27658,2000-09-15,0.0041,2000-09-15,2640.395,2000-09-15,,2000-09-15,2641.0,2000-09-15,289.0
2000-09-22,,2000-09-22,13.6975,2000-09-22,146201036,2000-09-22,4567.44226,2000-09-22,0.0041,2000-09-22,2554.862,2000-09-22,,2000-09-22,2641.0,2000-09-22,289.0
2000-09-29,,2000-09-29,14.3277,2000-09-29,219152459,2000-09-29,4567.44226,2000-09-29,0.0041,2000-09-29,2672.417,2000-09-29,,2000-09-29,2641.0,2000-09-29,289.0
