,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,6345660,2000-01-07 00:00:00,732.0,2000-01-07 00:00:00,,2000-01-07 00:00:00,59204.4595,2000-01-07 00:00:00,,2000-01-07 00:00:00,,2000-01-07 00:00:00,
1,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,9653676,2000-01-14 00:00:00,732.0,2000-01-14 00:00:00,,2000-01-14 00:00:00,68288.3594,2000-01-14 00:00:00,,2000-01-14 00:00:00,,2000-01-14 00:00:00,
2,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,5789352,2000-01-21 00:00:00,732.0,2000-01-21 00:00:00,,2000-01-21 00:00:00,65613.2074,2000-01-21 00:00:00,,2000-01-21 00:00:00,,2000-01-21 00:00:00,
3,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,12250716,2000-01-28 00:00:00,732.0,2000-01-28 00:00:00,,2000-01-28 00:00:00,75056.3564,2000-01-28 00:00:00,,2000-01-28 00:00:00,,2000-01-28 00:00:00,
4,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,8868756,2000-02-04 00:00:00,732.0,2000-02-04 00:00:00,,2000-02-04 00:00:00,75433.6744,2000-02-04 00:00:00,,2000-02-04 00:00:00,,2000-02-04 00:00:00,
5,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,7924668,2000-02-11 00:00:00,732.0,2000-02-11 00:00:00,,2000-02-11 00:00:00,76679.5404,2000-02-11 00:00:00,,2000-02-11 00:00:00,,2000-02-11 00:00:00,
6,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,5667204,2000-02-18 00:00:00,732.0,2000-02-18 00:00:00,,2000-02-18 00:00:00,79169.1105,2000-02-18 00:00:00,,2000-02-18 00:00:00,,2000-02-18 00:00:00,
7,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,4939128,2000-02-25 00:00:00,732.0,2000-02-25 00:00:00,,2000-02-25 00:00:00,80056.8405,2000-02-25 00:00:00,,2000-02-25 00:00:00,,2000-02-25 00:00:00,
8,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,4535124,2000-03-03 00:00:00,732.0,2000-03-03 00:00:00,,2000-03-03 00:00:00,85370.3005,2000-03-03 00:00:00,,2000-03-03 00:00:00,,2000-03-03 00:00:00,
9,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,6812856,2000-03-10 00:00:00,732.0,2000-03-10 00:00:00,,2000-03-10 00:00:00,94525.0205,2000-03-10 00:00:00,,2000-03-10 00:00:00,,2000-03-10 00:00:00,
